Unnamed: 0,UTC time,carbon_intensity,coal,nat_gas,oil,solar,wind,biomass
40104,2023-07-30 00:00:00,130.2,119.0,92.0,24.0,0.0,1318.0,295.0
40105,2023-07-30 01:00:00,135.31,120.0,92.0,24.0,0.0,1243.0,289.0
40106,2023-07-30 02:00:00,153.22,126.0,106.0,25.0,0.0,1145.0,400.0
40107,2023-07-30 03:00:00,154.42,120.0,93.0,24.0,12.0,1019.0,324.0
40108,2023-07-30 04:00:00,162.74,120.0,92.0,24.0,119.0,839.0,307.0
40109,2023-07-30 05:00:00,164.42,118.0,90.0,23.0,363.0,624.0,324.0
40110,2023-07-30 06:00:00,130.62,116.0,90.0,23.0,786.0,669.0,232.0
40111,2023-07-30 07:00:00,112.92,118.0,93.0,23.0,1163.0,796.0,250.0
40112,2023-07-30 08:00:00,102.64,117.0,103.0,23.0,1469.0,901.0,242.0
40113,2023-07-30 09:00:00,96.24,114.0,103.0,23.0,1491.0,1141.0,283.0
40114,2023-07-30 10:00:00,106.06,112.0,102.0,22.0,996.0,1086.0,266.0
40115,2023-07-30 11:00:00,97.93,113.0,101.0,22.0,1064.0,1205.0,210.0
40116,2023-07-30 12:00:00,91.73,118.0,95.0,23.0,920.0,1485.0,190.0
40117,2023-07-30 13:00:00,98.37,113.0,99.0,22.0,862.0,1428.0,291.0
40118,2023-07-30 14:00:00,92.95,112.0,97.0,22.0,744.0,1668.0,293.0
40119,2023-07-30 15:00:00,91.97,117.0,91.0,23.0,600.0,1845.0,314.0
40120,2023-07-30 16:00:00,93.8,120.0,92.0,24.0,433.0,1971.0,348.0
40121,2023-07-30 17:00:00,95.42,124.0,96.0,25.0,313.0,1940.0,282.0
40122,2023-07-30 18:00:00,99.55,126.0,99.0,25.0,114.0,1927.0,258.0
40123,2023-07-30 19:00:00,94.98,130.0,102.0,26.0,14.0,2068.0,188.0
40124,2023-07-30 20:00:00,87.47,129.0,102.0,25.0,0.0,2333.0,202.0
40125,2023-07-30 21:00:00,80.6,125.0,97.0,25.0,0.0,2539.0,203.0
40126,2023-07-30 22:00:00,77.91,123.0,92.0,24.0,0.0,2577.0,194.0
40127,2023-07-30 23:00:00,84.24,124.0,95.0,24.0,0.0,2445.0,245.0
