Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,oil,solar,wind,biomass
41760,2023-10-07 00:00:00,2024-07-17 00:00:00,3.1,65.99,122.0,95.0,24.0,0.0,3042.0,128.0
41761,2023-10-07 01:00:00,2024-07-17 00:00:00,3.1,72.14,118.0,91.0,23.0,0.0,2616.0,129.0
41762,2023-10-07 02:00:00,2024-07-17 00:00:00,3.1,64.41,92.0,75.0,18.0,0.0,2487.0,126.0
41763,2023-10-07 03:00:00,2024-07-17 00:00:00,3.1,72.69,118.0,92.0,23.0,0.0,2583.0,124.0
41764,2023-10-07 04:00:00,2024-07-17 00:00:00,3.1,79.99,134.0,102.0,26.0,0.0,2541.0,130.0
41765,2023-10-07 05:00:00,2024-07-17 00:00:00,3.1,71.61,134.0,102.0,26.0,7.0,2954.0,134.0
41766,2023-10-07 06:00:00,2024-07-17 00:00:00,3.1,76.56,134.0,103.0,26.0,151.0,2635.0,133.0
41767,2023-10-07 07:00:00,2024-07-17 00:00:00,3.1,80.09,132.0,101.0,26.0,376.0,2323.0,132.0
41768,2023-10-07 08:00:00,2024-07-17 00:00:00,3.1,75.31,129.0,100.0,25.0,517.0,2426.0,128.0
41769,2023-10-07 09:00:00,2024-07-17 00:00:00,3.1,78.62,120.0,93.0,24.0,565.0,2092.0,129.0
41770,2023-10-07 10:00:00,2024-07-17 00:00:00,3.1,81.15,117.0,91.0,23.0,643.0,1883.0,125.0
41771,2023-10-07 11:00:00,2024-07-17 00:00:00,3.1,94.35,119.0,92.0,23.0,789.0,1351.0,118.0
41772,2023-10-07 12:00:00,2024-07-17 00:00:00,3.1,90.65,120.0,96.0,24.0,840.0,1479.0,121.0
41773,2023-10-07 13:00:00,2024-07-17 00:00:00,3.1,90.45,119.0,91.0,23.0,730.0,1553.0,147.0
41774,2023-10-07 14:00:00,2024-07-17 00:00:00,3.1,104.93,132.0,99.0,26.0,504.0,1437.0,148.0
41775,2023-10-07 15:00:00,2024-07-17 00:00:00,3.1,138.24,139.0,116.0,27.0,172.0,1162.0,158.0
41776,2023-10-07 16:00:00,2024-07-17 00:00:00,3.1,178.29,143.0,133.0,28.0,17.0,910.0,156.0
41777,2023-10-07 17:00:00,2024-07-17 00:00:00,3.1,233.51,203.0,214.0,40.0,0.0,854.0,168.0
41778,2023-10-07 18:00:00,2024-07-17 00:00:00,3.1,177.47,148.0,140.0,29.0,0.0,971.0,173.0
41779,2023-10-07 19:00:00,2024-07-17 00:00:00,3.1,172.78,182.0,183.0,36.0,0.0,1255.0,175.0
41780,2023-10-07 20:00:00,2024-07-17 00:00:00,3.1,140.78,138.0,111.0,27.0,0.0,1252.0,182.0
41781,2023-10-07 21:00:00,2024-07-17 00:00:00,3.1,143.7,124.0,97.0,24.0,0.0,1164.0,288.0
41782,2023-10-07 22:00:00,2024-07-17 00:00:00,3.1,142.28,124.0,96.0,24.0,0.0,1169.0,272.0
41783,2023-10-07 23:00:00,2024-07-17 00:00:00,3.1,145.51,123.0,96.0,24.0,0.0,1143.0,303.0
