UTC time,coal,nat_gas,nuclear,hydro,solar,other
2023-03-12 00:00:00,2840.0,2327.0,6182.0,97.0,6.0,13.0
2023-03-12 01:00:00,2913.0,2344.0,6180.0,687.0,0.0,12.0
2023-03-12 02:00:00,2839.0,2352.0,6181.0,678.0,0.0,13.0
2023-03-12 03:00:00,2837.0,2313.0,6178.0,563.0,0.0,13.0
2023-03-12 04:00:00,2885.0,2336.0,6179.0,196.0,0.0,12.0
2023-03-12 05:00:00,2741.0,2347.0,6183.0,164.0,0.0,13.0
2023-03-12 06:00:00,2676.0,2313.0,6177.0,57.0,0.0,13.0
2023-03-12 07:00:00,2642.0,2306.0,6177.0,57.0,0.0,12.0
2023-03-12 08:00:00,2631.0,2297.0,6177.0,65.0,0.0,13.0
2023-03-12 09:00:00,2636.0,2263.0,6177.0,109.0,0.0,13.0
2023-03-12 10:00:00,2656.0,2350.0,6186.0,243.0,0.0,13.0
2023-03-12 11:00:00,2941.0,2388.0,6179.0,309.0,0.0,12.0
2023-03-12 12:00:00,3086.0,2395.0,6183.0,730.0,0.0,13.0
2023-03-12 13:00:00,3150.0,2443.0,6180.0,1571.0,7.0,13.0
2023-03-12 14:00:00,3223.0,2490.0,6184.0,2121.0,44.0,13.0
2023-03-12 15:00:00,3287.0,2703.0,6179.0,2175.0,85.0,13.0
2023-03-12 16:00:00,3339.0,2823.0,6182.0,2021.0,72.0,13.0
2023-03-12 17:00:00,3370.0,2969.0,6182.0,1898.0,82.0,12.0
2023-03-12 18:00:00,3377.0,3155.0,6181.0,1658.0,86.0,13.0
2023-03-12 19:00:00,3378.0,3201.0,6180.0,1401.0,74.0,13.0
2023-03-12 20:00:00,3361.0,3410.0,6177.0,1262.0,66.0,13.0
2023-03-12 21:00:00,3277.0,3679.0,6182.0,1226.0,56.0,13.0
2023-03-12 22:00:00,3227.0,4063.0,6183.0,934.0,37.0,12.0
2023-03-12 23:00:00,3237.0,4083.0,6180.0,974.0,14.0,13.0
