UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast,avg_unknown_production_forecast
2023-02-18 00:00:00,2024-07-17 00:00:00,3.1,6.673477916087189,271.34367703713275,267.7290549255246,0.0,0.5521083080926735,0.00325,5703.15487,6506.61475,6.50533,6052.00005,1091.15928
2023-02-18 01:00:00,2024-07-17 00:00:00,3.1,6.962844084503992,271.04551397744115,267.03816003447446,0.0,0.2305430880923389,0.43358,5700.96706,6392.4628,6.0828,6212.00006,1086.78143
2023-02-18 02:00:00,2024-07-17 00:00:00,3.1,6.962844084503992,271.04551397744115,267.03816003447446,0.0,0.2305430880923389,1.05449,5712.58502,6455.01607,5.34431,6368.00011,1093.91759
2023-02-18 03:00:00,2024-07-17 00:00:00,3.1,6.962844084503992,271.04551397744115,267.03816003447446,0.0,0.2305430880923389,1.18154,5728.59576,6648.97528,3.89704,6536.00005,1116.5244
2023-02-18 04:00:00,2024-07-17 00:00:00,3.1,6.881272219260824,270.7811049328341,266.4882905051685,1.699077514727521e-05,0.4386875494684848,0.65294,5717.11665,6999.93994,1.32401,6684.00016,1151.20097
2023-02-18 05:00:00,2024-07-17 00:00:00,3.1,6.881272219260824,270.7811049328341,266.4882905051685,1.699077514727521e-05,0.4386875494684848,2.33028,5709.77286,7668.05743,0.0,6810.99975,1175.58359
2023-02-18 06:00:00,2024-07-17 00:00:00,3.1,6.881272219260824,270.7811049328341,266.4882905051685,1.699077514727521e-05,0.4386875494684848,2.08186,5744.28499,8202.42445,0.0,6958.99987,1211.02863
2023-02-18 07:00:00,2024-07-17 00:00:00,3.1,6.830977941916979,271.6436403228627,266.7998496904487,66.52258062001218,0.1903178866038978,1.64464,5709.41732,8412.08477,0.0,7099.00006,1237.80759
2023-02-18 08:00:00,2024-07-17 00:00:00,3.1,6.830977941916979,271.6436403228627,266.7998496904487,66.52258062001218,0.1903178866038978,2.0697,5686.62338,8654.50914,0.38197,7284.99984,1263.10398
2023-02-18 09:00:00,2024-07-17 00:00:00,3.1,6.830977941916979,271.6436403228627,266.7998496904487,66.52258062001218,0.1903178866038978,2.18621,5672.46881,8916.36265,2.69792,7469.00035,1281.51371
2023-02-18 10:00:00,2024-07-17 00:00:00,3.1,6.88229223532076,272.7912675444215,267.46646760493184,148.39262629260426,0.3620741133792833,2.39085,5672.84213,8933.62006,2.86821,7638.00028,1300.2554
2023-02-18 11:00:00,2024-07-17 00:00:00,3.1,6.88229223532076,272.7912675444215,267.46646760493184,148.39262629260426,0.3620741133792833,1.93996,5681.02022,8944.77332,2.18684,7774.99978,1305.46343
2023-02-18 12:00:00,2024-07-17 00:00:00,3.1,6.88229223532076,272.7912675444215,267.46646760493184,148.39262629260426,0.3620741133792833,1.22087,5695.12483,8899.96312,1.84812,7823.00007,1301.53157
2023-02-18 13:00:00,2024-07-17 00:00:00,3.1,6.308301958428076,271.974388341618,267.4794238395424,154.80659130634373,0.165635262251725,1.38517,5689.05578,8864.54854,3.27886,7797.0003,1296.82877
2023-02-18 14:00:00,2024-07-17 00:00:00,3.1,6.308301958428076,271.974388341618,267.4794238395424,154.80659130634373,0.165635262251725,1.4944,5696.96874,8927.37433,3.79589,7768.99983,1290.74172
2023-02-18 15:00:00,2024-07-17 00:00:00,3.1,6.308301958428076,271.974388341618,267.4794238395424,154.80659130634373,0.165635262251725,0.0,5690.08226,8950.09343,1.14052,7808.0002,1261.74655
2023-02-18 16:00:00,2024-07-17 00:00:00,3.1,5.504437254963351,270.3310045881084,266.69635173635135,80.05257030995172,0.3350990735071654,0.0,5700.53551,8872.47884,0.0,7852.9998,1229.08396
