Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,hydro,wind,biomass,unknown
36840,2023-03-16 00:00:00,2024-07-17 00:00:00,3.1,87.73,151.0,567.0,10.0,31.0,22.0
36841,2023-03-16 01:00:00,2024-07-17 00:00:00,3.1,88.66,152.0,568.0,4.0,31.0,22.0
36842,2023-03-16 02:00:00,2024-07-17 00:00:00,3.1,79.96,151.0,621.0,4.0,28.0,17.0
36843,2023-03-16 03:00:00,2024-07-17 00:00:00,3.1,80.72,152.0,620.0,5.0,30.0,18.0
36844,2023-03-16 04:00:00,2024-07-17 00:00:00,3.1,79.42,152.0,622.0,3.0,31.0,16.0
36845,2023-03-16 05:00:00,2024-07-17 00:00:00,3.1,69.74,151.0,732.0,2.0,32.0,16.0
36846,2023-03-16 06:00:00,2024-07-17 00:00:00,3.1,71.06,157.0,815.0,2.0,42.0,28.0
36847,2023-03-16 07:00:00,2024-07-17 00:00:00,3.1,70.59,158.0,814.0,2.0,40.0,26.0
36848,2023-03-16 08:00:00,2024-07-17 00:00:00,3.1,69.06,157.0,819.0,3.0,38.0,24.0
36849,2023-03-16 09:00:00,2024-07-17 00:00:00,3.1,72.18,158.0,809.0,4.0,41.0,29.0
36850,2023-03-16 10:00:00,2024-07-17 00:00:00,3.1,71.96,157.0,774.0,9.0,35.0,24.0
36851,2023-03-16 11:00:00,2024-07-17 00:00:00,3.1,62.08,157.0,884.0,30.0,30.0,20.0
36852,2023-03-16 12:00:00,2024-07-17 00:00:00,3.1,66.69,156.0,865.0,2.0,33.0,25.0
36853,2023-03-16 13:00:00,2024-07-17 00:00:00,3.1,66.19,158.0,860.0,10.0,32.0,23.0
36854,2023-03-16 14:00:00,2024-07-17 00:00:00,3.1,97.17,242.0,773.0,12.0,42.0,30.0
36855,2023-03-16 15:00:00,2024-07-17 00:00:00,3.1,98.94,247.0,774.0,3.0,44.0,30.0
36856,2023-03-16 16:00:00,2024-07-17 00:00:00,3.1,98.43,248.0,773.0,0.0,42.0,27.0
36857,2023-03-16 17:00:00,2024-07-17 00:00:00,3.1,97.02,248.0,776.0,0.0,40.0,24.0
36858,2023-03-16 18:00:00,2024-07-17 00:00:00,3.1,104.25,247.0,691.0,0.0,38.0,22.0
36859,2023-03-16 19:00:00,2024-07-17 00:00:00,3.1,105.14,246.0,688.0,0.0,39.0,24.0
36860,2023-03-16 20:00:00,2024-07-17 00:00:00,3.1,114.85,243.0,596.0,1.0,39.0,24.0
36861,2023-03-16 21:00:00,2024-07-17 00:00:00,3.1,91.51,163.0,567.0,3.0,37.0,21.0
36862,2023-03-16 22:00:00,2024-07-17 00:00:00,3.1,86.75,151.0,566.0,0.0,34.0,19.0
36863,2023-03-16 23:00:00,2024-07-17 00:00:00,3.1,87.1,150.0,555.0,0.0,33.0,18.0
