UTC time,nat_gas,hydro,wind,biomass,unknown
2023-06-19 00:00:00,0.0,0.0,3.0,16.0,14.0
2023-06-19 01:00:00,0.0,0.0,4.0,16.0,14.0
2023-06-19 02:00:00,0.0,0.0,4.0,16.0,14.0
2023-06-19 03:00:00,21.0,5.0,5.0,19.0,14.0
2023-06-19 04:00:00,30.0,17.0,2.0,25.0,16.0
2023-06-19 05:00:00,29.0,18.0,2.0,27.0,17.0
2023-06-19 06:00:00,29.0,35.0,1.0,27.0,17.0
2023-06-19 07:00:00,57.0,63.0,0.0,26.0,16.0
2023-06-19 08:00:00,75.0,92.0,0.0,26.0,16.0
2023-06-19 09:00:00,101.0,48.0,0.0,26.0,16.0
2023-06-19 10:00:00,136.0,42.0,1.0,25.0,16.0
2023-06-19 11:00:00,162.0,0.0,1.0,25.0,16.0
2023-06-19 12:00:00,204.0,0.0,2.0,25.0,15.0
2023-06-19 13:00:00,274.0,0.0,3.0,25.0,15.0
2023-06-19 14:00:00,332.0,33.0,3.0,25.0,15.0
2023-06-19 15:00:00,432.0,91.0,2.0,25.0,16.0
2023-06-19 16:00:00,527.0,171.0,1.0,25.0,17.0
2023-06-19 17:00:00,674.0,385.0,1.0,29.0,23.0
2023-06-19 18:00:00,726.0,360.0,1.0,24.0,16.0
2023-06-19 19:00:00,729.0,357.0,3.0,25.0,20.0
2023-06-19 20:00:00,746.0,310.0,1.0,22.0,17.0
2023-06-19 21:00:00,473.0,264.0,2.0,21.0,16.0
2023-06-19 22:00:00,264.0,12.0,1.0,18.0,14.0
2023-06-19 23:00:00,261.0,0.0,2.0,18.0,14.0
