Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,solar
39624,2023-07-10 00:00:00,2024-07-17 00:00:00,3.1,451.36,1020.0,97.0
39625,2023-07-10 01:00:00,2024-07-17 00:00:00,3.1,462.24,1067.0,71.0
39626,2023-07-10 02:00:00,2024-07-17 00:00:00,3.1,464.95,1056.0,63.0
39627,2023-07-10 03:00:00,2024-07-17 00:00:00,3.1,483.01,1065.0,17.0
39628,2023-07-10 04:00:00,2024-07-17 00:00:00,3.1,486.7,1071.0,8.0
39629,2023-07-10 05:00:00,2024-07-17 00:00:00,3.1,487.93,1071.0,5.0
39630,2023-07-10 06:00:00,2024-07-17 00:00:00,3.1,488.73,1045.0,3.0
39631,2023-07-10 07:00:00,2024-07-17 00:00:00,3.1,489.54,961.0,1.0
39632,2023-07-10 08:00:00,2024-07-17 00:00:00,3.1,489.47,833.0,1.0
39633,2023-07-10 09:00:00,2024-07-17 00:00:00,3.1,489.45,805.0,1.0
39634,2023-07-10 10:00:00,2024-07-17 00:00:00,3.1,490.0,708.0,0.0
39635,2023-07-10 11:00:00,2024-07-17 00:00:00,3.1,490.0,638.0,0.0
39636,2023-07-10 12:00:00,2024-07-17 00:00:00,3.1,490.0,639.0,0.0
39637,2023-07-10 13:00:00,2024-07-17 00:00:00,3.1,482.31,682.0,12.0
39638,2023-07-10 14:00:00,2024-07-17 00:00:00,3.1,423.28,635.0,112.0
39639,2023-07-10 15:00:00,2024-07-17 00:00:00,3.1,399.1,635.0,163.0
39640,2023-07-10 16:00:00,2024-07-17 00:00:00,3.1,383.98,697.0,218.0
39641,2023-07-10 17:00:00,2024-07-17 00:00:00,3.1,382.39,787.0,251.0
39642,2023-07-10 18:00:00,2024-07-17 00:00:00,3.1,395.46,923.0,249.0
39643,2023-07-10 19:00:00,2024-07-17 00:00:00,3.1,406.86,1001.0,230.0
39644,2023-07-10 20:00:00,2024-07-17 00:00:00,3.1,415.45,979.0,197.0
39645,2023-07-10 21:00:00,2024-07-17 00:00:00,3.1,421.91,1024.0,185.0
39646,2023-07-10 22:00:00,2024-07-17 00:00:00,3.1,428.11,1077.0,174.0
39647,2023-07-10 23:00:00,2024-07-17 00:00:00,3.1,434.83,1081.0,153.0
