UTC time,nat_gas,solar
2023-02-09 00:00:00,335.0,51.0
2023-02-09 01:00:00,453.0,8.0
2023-02-09 02:00:00,537.0,1.0
2023-02-09 03:00:00,548.0,0.0
2023-02-09 04:00:00,544.0,0.0
2023-02-09 05:00:00,511.0,0.0
2023-02-09 06:00:00,453.0,0.0
2023-02-09 07:00:00,416.0,0.0
2023-02-09 08:00:00,383.0,0.0
2023-02-09 09:00:00,388.0,0.0
2023-02-09 10:00:00,383.0,0.0
2023-02-09 11:00:00,388.0,0.0
2023-02-09 12:00:00,417.0,0.0
2023-02-09 13:00:00,482.0,0.0
2023-02-09 14:00:00,578.0,0.0
2023-02-09 15:00:00,525.0,23.0
2023-02-09 16:00:00,411.0,75.0
2023-02-09 17:00:00,334.0,87.0
2023-02-09 18:00:00,285.0,90.0
2023-02-09 19:00:00,258.0,91.0
2023-02-09 20:00:00,249.0,88.0
2023-02-09 21:00:00,253.0,90.0
2023-02-09 22:00:00,266.0,85.0
2023-02-09 23:00:00,311.0,75.0
