Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,solar
39936,2023-07-23 00:00:00,2024-07-17 00:00:00,3.1,318.47,995.0,161.0
39937,2023-07-23 01:00:00,2024-07-17 00:00:00,3.1,324.0,986.0,140.0
39938,2023-07-23 02:00:00,2024-07-17 00:00:00,3.1,347.48,1003.0,65.0
39939,2023-07-23 03:00:00,2024-07-17 00:00:00,3.1,361.08,972.0,24.0
39940,2023-07-23 04:00:00,2024-07-17 00:00:00,3.1,368.14,992.0,5.0
39941,2023-07-23 05:00:00,2024-07-17 00:00:00,3.1,369.63,988.0,1.0
39942,2023-07-23 06:00:00,2024-07-17 00:00:00,3.1,370.0,956.0,0.0
39943,2023-07-23 07:00:00,2024-07-17 00:00:00,3.1,370.0,637.0,0.0
39944,2023-07-23 08:00:00,2024-07-17 00:00:00,3.1,370.0,705.0,0.0
39945,2023-07-23 09:00:00,2024-07-17 00:00:00,3.1,370.0,735.0,0.0
39946,2023-07-23 10:00:00,2024-07-17 00:00:00,3.1,370.0,698.0,0.0
39947,2023-07-23 11:00:00,2024-07-17 00:00:00,3.1,370.0,655.0,0.0
39948,2023-07-23 12:00:00,2024-07-17 00:00:00,3.1,370.0,595.0,0.0
39949,2023-07-23 13:00:00,2024-07-17 00:00:00,3.1,364.76,557.0,8.0
39950,2023-07-23 14:00:00,2024-07-17 00:00:00,3.1,311.43,553.0,104.0
39951,2023-07-23 15:00:00,2024-07-17 00:00:00,3.1,266.15,510.0,199.0
39952,2023-07-23 16:00:00,2024-07-17 00:00:00,3.1,276.13,503.0,171.0
39953,2023-07-23 17:00:00,2024-07-17 00:00:00,3.1,278.77,492.0,161.0
39954,2023-07-23 18:00:00,2024-07-17 00:00:00,3.1,293.16,557.0,146.0
39955,2023-07-23 19:00:00,2024-07-17 00:00:00,3.1,276.21,695.0,236.0
39956,2023-07-23 20:00:00,2024-07-17 00:00:00,3.1,274.1,706.0,247.0
39957,2023-07-23 21:00:00,2024-07-17 00:00:00,3.1,295.44,745.0,188.0
39958,2023-07-23 22:00:00,2024-07-17 00:00:00,3.1,302.76,797.0,177.0
39959,2023-07-23 23:00:00,2024-07-17 00:00:00,3.1,302.85,866.0,192.0
