UTC time,nat_gas,solar
2023-05-14 00:00:00,647.0,186.0
2023-05-14 01:00:00,690.0,122.0
2023-05-14 02:00:00,899.0,7.0
2023-05-14 03:00:00,1012.0,0.0
2023-05-14 04:00:00,1002.0,0.0
2023-05-14 05:00:00,859.0,0.0
2023-05-14 06:00:00,814.0,0.0
2023-05-14 07:00:00,703.0,0.0
2023-05-14 08:00:00,669.0,0.0
2023-05-14 09:00:00,654.0,0.0
2023-05-14 10:00:00,622.0,0.0
2023-05-14 11:00:00,617.0,0.0
2023-05-14 12:00:00,619.0,0.0
2023-05-14 13:00:00,620.0,4.0
2023-05-14 14:00:00,490.0,92.0
2023-05-14 15:00:00,379.0,186.0
2023-05-14 16:00:00,380.0,195.0
2023-05-14 17:00:00,395.0,182.0
2023-05-14 18:00:00,392.0,185.0
2023-05-14 19:00:00,424.0,103.0
2023-05-14 20:00:00,543.0,133.0
2023-05-14 21:00:00,610.0,125.0
2023-05-14 22:00:00,662.0,120.0
2023-05-14 23:00:00,696.0,133.0
