,UTC time,carbon_intensity,coal,nat_gas,nuclear,oil,hydro,solar,wind,biomass
0,2019-01-01 00:00:00,15.92,0.0,2526.0,55113.0,215.0,4084.0,0.0,1637.0,604.0
1,2019-01-01 01:00:00,15.56,0.0,2425.0,54780.0,214.0,3665.0,0.0,1567.0,605.0
2,2019-01-01 02:00:00,16.15,0.0,2435.0,53162.0,215.0,3231.0,0.0,1556.0,605.0
3,2019-01-01 03:00:00,17.04,0.0,2440.0,50137.0,215.0,3106.0,0.0,1595.0,608.0
4,2019-01-01 04:00:00,17.5,0.0,2434.0,48465.0,215.0,3000.0,0.0,1719.0,607.0
5,2019-01-01 05:00:00,17.55,0.0,2436.0,48269.0,215.0,3015.0,0.0,1794.0,605.0
6,2019-01-01 06:00:00,19.73,0.0,2771.0,47783.0,213.0,3196.0,0.0,1780.0,604.0
7,2019-01-01 07:00:00,19.7,0.0,2820.0,48379.0,214.0,3487.0,132.0,1730.0,603.0
8,2019-01-01 08:00:00,19.0,0.0,2825.0,49885.0,215.0,3910.0,503.0,1670.0,605.0
9,2019-01-01 09:00:00,18.5,0.0,2825.0,50895.0,215.0,4035.0,1067.0,1589.0,604.0
10,2019-01-01 10:00:00,18.16,0.0,2843.0,51689.0,216.0,4361.0,1456.0,1602.0,602.0
11,2019-01-01 11:00:00,17.64,0.0,2830.0,52526.0,216.0,4802.0,1628.0,1725.0,604.0
12,2019-01-01 12:00:00,17.64,0.0,2807.0,52413.0,215.0,4058.0,1747.0,1971.0,602.0
13,2019-01-01 13:00:00,17.73,0.0,2824.0,52719.0,216.0,3952.0,1474.0,2096.0,603.0
14,2019-01-01 14:00:00,18.05,0.0,2838.0,52859.0,215.0,3499.0,904.0,2108.0,603.0
15,2019-01-01 15:00:00,17.95,0.0,2821.0,53311.0,215.0,3622.0,324.0,2104.0,604.0
16,2019-01-01 16:00:00,17.14,0.0,2750.0,54453.0,215.0,4156.0,107.0,2185.0,603.0
