OPR_DT,OPR_HR,OPR_INTERVAL,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,TRADING_HUB,RENEWABLE_TYPE,LABEL,XML_DATA_ITEM,MARKET_RUN_ID_POS,RENEW_POS,MW
2020-01-01,1,0,2020-01-01T08:00:00-00:00,2020-01-01T09:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,72.4
2020-01-01,1,0,2020-01-01T08:00:00-00:00,2020-01-01T09:00:00-00:00,SP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,66.78
2020-01-01,2,0,2020-01-01T09:00:00-00:00,2020-01-01T10:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,84.32
2020-01-01,2,0,2020-01-01T09:00:00-00:00,2020-01-01T10:00:00-00:00,SP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,71.56
2020-01-01,3,0,2020-01-01T10:00:00-00:00,2020-01-01T11:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,92.34
2020-01-01,3,0,2020-01-01T10:00:00-00:00,2020-01-01T11:00:00-00:00,SP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,95.43
2020-01-01,4,0,2020-01-01T11:00:00-00:00,2020-01-01T12:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,94.97
2020-01-01,4,0,2020-01-01T11:00:00-00:00,2020-01-01T12:00:00-00:00,SP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,148.84
2020-01-01,5,0,2020-01-01T12:00:00-00:00,2020-01-01T13:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,98.62
2020-01-01,5,0,2020-01-01T12:00:00-00:00,2020-01-01T13:00:00-00:00,SP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,337.39
2020-01-01,6,0,2020-01-01T13:00:00-00:00,2020-01-01T14:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,105.98
2020-01-01,6,0,2020-01-01T13:00:00-00:00,2020-01-01T14:00:00-00:00,SP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,463.6
2020-01-01,7,0,2020-01-01T14:00:00-00:00,2020-01-01T15:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,121.23
2020-01-01,7,0,2020-01-01T14:00:00-00:00,2020-01-01T15:00:00-00:00,SP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,492.52
2020-01-01,8,0,2020-01-01T15:00:00-00:00,2020-01-01T16:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,138.55
