OPR_DT,OPR_HR,OPR_INTERVAL,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,TRADING_HUB,RENEWABLE_TYPE,LABEL,XML_DATA_ITEM,MARKET_RUN_ID_POS,RENEW_POS,MW
2020-01-01,1,0,2020-01-01T08:00:00-00:00,2020-01-01T09:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0
2020-01-01,1,0,2020-01-01T08:00:00-00:00,2020-01-01T09:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0
2020-01-01,1,0,2020-01-01T08:00:00-00:00,2020-01-01T09:00:00-00:00,ZP26,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0
2020-01-01,2,0,2020-01-01T09:00:00-00:00,2020-01-01T10:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0
2020-01-01,2,0,2020-01-01T09:00:00-00:00,2020-01-01T10:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0
2020-01-01,2,0,2020-01-01T09:00:00-00:00,2020-01-01T10:00:00-00:00,ZP26,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0
2020-01-01,3,0,2020-01-01T10:00:00-00:00,2020-01-01T11:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0
2020-01-01,3,0,2020-01-01T10:00:00-00:00,2020-01-01T11:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0
2020-01-01,3,0,2020-01-01T10:00:00-00:00,2020-01-01T11:00:00-00:00,ZP26,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0
2020-01-01,4,0,2020-01-01T11:00:00-00:00,2020-01-01T12:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0
2020-01-01,4,0,2020-01-01T11:00:00-00:00,2020-01-01T12:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0
2020-01-01,4,0,2020-01-01T11:00:00-00:00,2020-01-01T12:00:00-00:00,ZP26,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0
2020-01-01,5,0,2020-01-01T12:00:00-00:00,2020-01-01T13:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0
2020-01-01,5,0,2020-01-01T12:00:00-00:00,2020-01-01T13:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0
2020-01-01,5,0,2020-01-01T12:00:00-00:00,2020-01-01T13:00:00-00:00,ZP26,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0
2020-01-01,6,0,2020-01-01T13:00:00-00:00,2020-01-01T14:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0
2020-01-01,6,0,2020-01-01T13:00:00-00:00,2020-01-01T14:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0
2020-01-01,6,0,2020-01-01T13:00:00-00:00,2020-01-01T14:00:00-00:00,ZP26,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0
2020-01-01,7,0,2020-01-01T14:00:00-00:00,2020-01-01T15:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0
