Unnamed: 0,UTC time,carbon_intensity,coal,nat_gas,hydro,solar,wind,biomass,unknown
36672,2023-03-09 00:00:00,40.02,0.0,392.0,517.0,0.0,2783.0,320.0,29.0
36673,2023-03-09 01:00:00,22.98,0.0,214.0,517.0,0.0,3090.0,322.0,29.0
36674,2023-03-09 02:00:00,21.56,0.0,215.0,482.0,0.0,3416.0,322.0,29.0
36675,2023-03-09 03:00:00,21.95,0.0,214.0,482.0,0.0,3316.0,325.0,29.0
36676,2023-03-09 04:00:00,21.0,0.0,214.0,460.0,0.0,3536.0,326.0,29.0
36677,2023-03-09 05:00:00,20.84,0.0,213.0,501.0,0.0,3458.0,327.0,27.0
36678,2023-03-09 06:00:00,17.57,0.0,213.0,1246.0,0.0,3558.0,324.0,27.0
36679,2023-03-09 07:00:00,17.71,0.0,232.0,1431.0,32.0,3676.0,325.0,27.0
36680,2023-03-09 08:00:00,18.6,0.0,243.0,1136.0,164.0,3806.0,322.0,28.0
36681,2023-03-09 09:00:00,19.13,0.0,239.0,690.0,330.0,3877.0,328.0,29.0
36682,2023-03-09 10:00:00,17.03,0.0,223.0,577.0,574.0,4073.0,315.0,28.0
36683,2023-03-09 11:00:00,15.48,0.0,220.0,659.0,799.0,4287.0,306.0,28.0
36684,2023-03-09 12:00:00,15.06,0.0,218.0,504.0,936.0,4416.0,322.0,28.0
36685,2023-03-09 13:00:00,14.64,0.0,215.0,636.0,998.0,4337.0,320.0,28.0
36686,2023-03-09 14:00:00,14.54,0.0,215.0,590.0,1060.0,4402.0,323.0,29.0
36687,2023-03-09 15:00:00,15.11,0.0,216.0,545.0,910.0,4331.0,326.0,28.0
36688,2023-03-09 16:00:00,15.94,0.0,218.0,639.0,659.0,4275.0,323.0,30.0
36689,2023-03-09 17:00:00,17.71,0.0,221.0,733.0,250.0,4041.0,317.0,30.0
36690,2023-03-09 18:00:00,18.69,0.0,223.0,1076.0,17.0,3648.0,314.0,29.0
36691,2023-03-09 19:00:00,17.23,0.0,224.0,1527.0,0.0,3683.0,316.0,29.0
36692,2023-03-09 20:00:00,18.61,0.0,223.0,1182.0,0.0,3573.0,323.0,29.0
36693,2023-03-09 21:00:00,20.2,0.0,211.0,718.0,0.0,3414.0,319.0,29.0
36694,2023-03-09 22:00:00,20.36,0.0,209.0,714.0,0.0,3371.0,322.0,30.0
36695,2023-03-09 23:00:00,22.18,0.0,207.0,488.0,0.0,3161.0,319.0,29.0
