,UTC time,Local time,net_generation,carbon_intensity,coal,nat_gas,nuclear,oil,hydro,solar,wind,other
0,2020-01-01 00:00:00,2019-12-31 19:00:00,12109,233.8,1,6616,3309,0,1227,0,291,665
1,2020-01-01 01:00:00,2019-12-31 20:00:00,11240,237.0,2,6162,3305,0,869,0,237,665
2,2020-01-01 02:00:00,2019-12-31 21:00:00,10515,230.62,0,5505,3317,0,821,0,197,675
3,2020-01-01 03:00:00,2019-12-31 22:00:00,9920,224.92,1,4960,3324,0,796,0,151,687
4,2020-01-01 04:00:00,2019-12-31 23:00:00,9202,216.82,2,4343,3308,0,767,0,110,673
5,2020-01-01 05:00:00,2020-01-01 00:00:00,8774,209.41,1,3903,3325,0,733,0,130,683
6,2020-01-01 06:00:00,2020-01-01 01:00:00,8751,208.28,2,3887,3341,0,674,0,181,666
7,2020-01-01 07:00:00,2020-01-01 02:00:00,8397,202.24,1,3562,3316,0,655,0,203,660
8,2020-01-01 08:00:00,2020-01-01 03:00:00,8056,192.6,0,3175,3311,0,678,0,236,655
9,2020-01-01 09:00:00,2020-01-01 04:00:00,8047,189.07,2,3107,3342,0,682,0,270,644
10,2020-01-01 10:00:00,2020-01-01 05:00:00,8167,187.75,3,3131,3342,0,688,0,355,648
11,2020-01-01 11:00:00,2020-01-01 06:00:00,8217,188.47,6,3147,3345,0,672,0,386,660
12,2020-01-01 12:00:00,2020-01-01 07:00:00,8429,193.42,3,3373,3332,0,688,0,372,661
13,2020-01-01 13:00:00,2020-01-01 08:00:00,8405,186.04,5,3198,3328,0,799,2,418,655
14,2020-01-01 14:00:00,2020-01-01 09:00:00,8590,190.15,12,3384,3334,0,762,20,430,647
15,2020-01-01 15:00:00,2020-01-01 10:00:00,8759,193.13,9,3546,3336,0,768,46,405,648
16,2020-01-01 16:00:00,2020-01-01 11:00:00,9111,196.57,5,3807,3353,0,755,74,458,658
17,2020-01-01 17:00:00,2020-01-01 12:00:00,9345,199.56,9,3996,3340,0,736,82,522,660
18,2020-01-01 18:00:00,2020-01-01 13:00:00,9485,200.96,8,4124,3330,0,739,76,558,651
19,2020-01-01 19:00:00,2020-01-01 14:00:00,9904,207.17,8,4497,3355,0,755,63,562,664
20,2020-01-01 20:00:00,2020-01-01 15:00:00,10237,213.66,5,4874,3344,0,752,45,556,661
