UTC time,avg_hydro_production_forecast,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_oil_production_forecast,avg_other_production_forecast,avg_wind_production_forecast
2021-07-01 00:00:00,3252.70426,18251.10965,3286.18828,1374.01982,215.483,480.47566
2021-07-01 01:00:00,3211.03444,17546.84644,3288.40897,1335.47017,223.93494,462.30129
2021-07-01 02:00:00,3133.05986,16197.13815,3298.40779,1277.06829,218.03962,437.77928
2021-07-01 03:00:00,2902.45889,14413.2289,3315.47432,1327.41195,223.02954,413.10211
2021-07-01 04:00:00,2687.06623,13098.69292,3315.06514,1333.56077,224.4434,387.77355
2021-07-01 05:00:00,2447.43535,11696.82309,3302.70001,1318.68373,196.48683,364.08375
2021-07-01 06:00:00,2117.1924,10344.70946,3290.66581,1372.28529,206.23386,347.91495
2021-07-01 07:00:00,1923.22289,9678.90657,3284.22964,1272.81358,229.75152,329.74996
2021-07-01 08:00:00,1874.76904,9361.81761,3273.13886,1270.46961,196.54822,316.57928
2021-07-01 09:00:00,1880.76457,9246.96183,3272.50898,1292.6356,227.89967,287.8246
2021-07-01 10:00:00,2091.5716,9571.99847,3272.20038,1222.00076,230.11631,249.23171
2021-07-01 11:00:00,2341.89803,9959.29869,3266.1602,1202.34003,222.06868,207.13383
2021-07-01 12:00:00,2717.70215,10601.46226,3264.62266,1227.18651,224.16064,175.85441
2021-07-01 13:00:00,2961.83095,11759.4562,3255.69043,1227.6979,213.78699,156.44192
2021-07-01 14:00:00,3223.34582,12400.73711,3259.89424,1216.87861,222.66531,130.16093
2021-07-01 15:00:00,3462.1513,13200.22166,3269.00189,1232.78656,223.9452,123.76495
2021-07-01 16:00:00,3583.00588,13758.40422,3280.78115,1235.91897,222.75681,115.61086
2021-07-01 17:00:00,3657.28392,14278.26261,3280.3745,1264.22698,203.85113,114.82442
2021-07-01 18:00:00,3607.23594,14680.7367,3271.35957,1272.85958,200.99262,121.64727
2021-07-01 19:00:00,3532.69885,15197.35618,3268.05187,1214.05771,199.49366,111.8492
2021-07-01 20:00:00,3418.07934,15754.4486,3267.60464,1217.23818,229.49679,94.29198
2021-07-01 21:00:00,3325.75639,16210.1651,3271.86084,1174.63443,237.16227,86.3263
2021-07-01 22:00:00,3402.45644,16499.44223,3259.06307,1168.03223,251.42982,86.15854
2021-07-01 23:00:00,3477.7082,16800.28199,3256.12523,1123.1351,255.36516,94.32005
2021-07-02 00:00:00,3279.5664,17023.77137,3295.47122,1144.20513,215.483,109.07363
2021-07-02 01:00:00,3279.28015,16588.73684,3297.71297,1113.8154,223.93494,101.99415
2021-07-02 02:00:00,3243.38526,15598.60399,3307.80616,1068.25628,218.03962,93.68045
2021-07-02 03:00:00,3049.56408,14134.99204,3324.78872,1107.30506,223.02954,90.43408
