UTC time,oil,wind,biomass,unknown,hydro,nat_gas,nuclear,solar,coal
2023-01-01 00:00:00,1.0,3559.0,769.0,68.0,516.0,140.0,4372.0,0.0,715.0
2023-01-01 01:00:00,1.0,3634.0,782.0,68.0,540.0,141.0,4373.0,0.0,715.0
2023-01-01 02:00:00,1.0,3628.0,797.0,69.0,524.0,129.0,4373.0,0.0,712.0
2023-01-01 03:00:00,1.0,3500.0,797.0,71.0,560.0,140.0,4373.0,0.0,716.0
2023-01-01 04:00:00,1.0,3353.0,810.0,71.0,542.0,127.0,4371.0,0.0,714.0
2023-01-01 05:00:00,1.0,3391.0,828.0,71.0,616.0,129.0,4372.0,0.0,717.0
2023-01-01 06:00:00,1.0,3233.0,821.0,73.0,677.0,129.0,4372.0,0.0,720.0
2023-01-01 07:00:00,1.0,3214.0,835.0,79.0,674.0,123.0,4372.0,3.0,720.0
2023-01-01 08:00:00,1.0,3213.0,825.0,78.0,685.0,133.0,4371.0,15.0,723.0
2023-01-01 09:00:00,1.0,3249.0,829.0,76.0,699.0,134.0,4372.0,29.0,724.0
2023-01-01 10:00:00,1.0,3416.0,829.0,78.0,752.0,160.0,4372.0,32.0,723.0
2023-01-01 11:00:00,1.0,3416.0,824.0,68.0,775.0,140.0,4368.0,18.0,731.0
2023-01-01 12:00:00,1.0,3255.0,821.0,71.0,804.0,130.0,4360.0,3.0,735.0
2023-01-01 13:00:00,1.0,3490.0,821.0,78.0,874.0,128.0,4300.0,0.0,731.0
2023-01-01 14:00:00,1.0,3600.0,836.0,82.0,947.0,130.0,4298.0,0.0,747.0
2023-01-01 15:00:00,1.0,3503.0,841.0,84.0,1073.0,140.0,4361.0,0.0,811.0
2023-01-01 16:00:00,1.0,3541.0,854.0,88.0,1186.0,139.0,4362.0,0.0,854.0
2023-01-01 17:00:00,1.0,3620.0,856.0,93.0,1148.0,128.0,4361.0,0.0,887.0
2023-01-01 18:00:00,1.0,3676.0,857.0,96.0,1034.0,132.0,4360.0,0.0,894.0
2023-01-01 19:00:00,1.0,3604.0,860.0,99.0,920.0,139.0,4360.0,0.0,899.0
2023-01-01 20:00:00,1.0,3335.0,848.0,100.0,899.0,136.0,4365.0,0.0,886.0
2023-01-01 21:00:00,1.0,3298.0,860.0,102.0,739.0,135.0,4370.0,0.0,907.0
2023-01-01 22:00:00,1.0,3263.0,856.0,102.0,668.0,139.0,4370.0,0.0,922.0
2023-01-01 23:00:00,1.0,3264.0,858.0,103.0,627.0,145.0,4371.0,0.0,933.0
2023-01-02 00:00:00,1.0,3166.0,856.0,106.0,687.0,136.0,4371.0,0.0,932.0
