UTC time,solar,nat_gas,other,oil,hydro,wind
2019-01-01 00:00:00,61.0,282.0,54.0,0.0,768.0,164.0
2019-01-01 01:00:00,2.0,284.0,57.0,0.0,862.0,164.0
2019-01-01 02:00:00,0.0,284.0,53.0,0.0,850.0,199.0
2019-01-01 03:00:00,0.0,283.0,57.0,0.0,880.0,217.0
2019-01-01 04:00:00,0.0,284.0,55.0,0.0,890.0,255.0
2019-01-01 05:00:00,0.0,283.0,56.0,0.0,791.0,251.0
2019-01-01 06:00:00,0.0,279.0,56.0,0.0,682.0,185.0
2019-01-01 07:00:00,0.0,284.0,54.0,0.0,618.0,145.0
2019-01-01 08:00:00,0.0,284.0,26.0,0.0,620.0,181.0
2019-01-01 09:00:00,0.0,283.0,57.0,0.0,583.0,92.0
2019-01-01 10:00:00,0.0,285.0,55.0,0.0,553.0,79.0
2019-01-01 11:00:00,0.0,283.0,55.0,0.0,521.0,56.0
2019-01-01 12:00:00,0.0,284.0,56.0,0.0,545.0,42.0
2019-01-01 13:00:00,0.0,284.0,53.0,0.0,642.0,27.0
2019-01-01 14:00:00,0.0,284.0,51.0,0.0,710.0,26.0
2019-01-01 15:00:00,0.0,284.0,56.0,0.0,783.0,12.0
2019-01-01 16:00:00,4.0,283.0,56.0,0.0,777.0,11.0
2019-01-01 17:00:00,89.0,236.0,55.0,0.0,779.0,10.0
2019-01-01 18:00:00,131.0,206.0,56.0,0.0,794.0,5.0
2019-01-01 19:00:00,119.0,208.0,55.0,0.0,793.0,8.0
2019-01-01 20:00:00,123.0,256.0,54.0,0.0,711.0,10.0
2019-01-01 21:00:00,134.0,283.0,55.0,0.0,680.0,19.0
2019-01-01 22:00:00,93.0,285.0,55.0,0.0,680.0,38.0
2019-01-01 23:00:00,51.0,283.0,55.0,0.0,683.0,34.0
2019-01-02 00:00:00,18.0,284.0,55.0,0.0,749.0,15.0
2019-01-02 01:00:00,1.0,282.0,54.0,0.0,872.0,6.0
2019-01-02 02:00:00,0.0,284.0,56.0,0.0,877.0,13.0
