UTC time,nat_gas,coal,solar,hydro,biomass,unknown,wind
2019-01-01 00:00,445.0,1472.0,0.0,940.0,320.0,22.0,543.0
2019-01-01 01:00,438.0,1470.0,0.0,797.0,320.0,21.0,441.0
2019-01-01 02:00,439.0,1470.0,0.0,717.0,331.0,25.0,367.0
2019-01-01 03:00,439.0,1407.0,0.0,339.0,339.0,29.0,346.0
2019-01-01 04:00,442.0,1289.0,0.0,247.0,335.0,31.0,413.0
2019-01-01 05:00,447.0,1289.0,0.0,237.0,336.0,30.0,449.0
2019-01-01 06:00,456.0,1433.0,0.0,338.0,331.0,29.0,404.0
2019-01-01 07:00,566.0,1469.0,0.0,305.0,324.0,29.0,405.0
2019-01-01 08:00,892.0,1456.0,53.0,312.0,332.0,31.0,373.0
2019-01-01 09:00,1098.0,1432.0,196.0,406.0,326.0,28.0,341.0
2019-01-01 10:00,1157.0,1430.0,303.0,400.0,330.0,28.0,304.0
2019-01-01 11:00,1081.0,1381.0,348.0,413.0,334.0,29.0,223.0
2019-01-01 12:00,1174.0,1427.0,358.0,753.0,335.0,31.0,149.0
2019-01-01 13:00,1193.0,1471.0,351.0,564.0,340.0,32.0,97.0
2019-01-01 14:00,1150.0,1329.0,310.0,316.0,339.0,31.0,82.0
2019-01-01 15:00,1160.0,1315.0,235.0,307.0,330.0,30.0,104.0
2019-01-01 16:00,1266.0,1470.0,87.0,405.0,333.0,32.0,164.0
2019-01-01 17:00,1387.0,1490.0,1.0,748.0,334.0,32.0,253.0
2019-01-01 18:00,1389.0,1624.0,0.0,1213.0,334.0,31.0,272.0
2019-01-01 19:00,1391.0,1717.0,0.0,1619.0,337.0,31.0,285.0
2019-01-01 20:00,1383.0,1748.0,0.0,1731.0,340.0,32.0,308.0
2019-01-01 21:00,1397.0,1661.0,0.0,1121.0,337.0,31.0,398.0
2019-01-01 22:00,1195.0,1636.0,0.0,528.0,333.0,31.0,449.0
2019-01-01 23:00,952.0,1566.0,0.0,398.0,335.0,31.0,535.0
2019-01-02 00:00,634.0,1366.0,0.0,225.0,333.0,32.0,785.0
2019-01-02 01:00,649.0,1303.0,0.0,172.0,331.0,32.0,951.0
2019-01-02 02:00,674.0,1140.0,0.0,176.0,328.0,31.0,976.0
2019-01-02 03:00,679.0,1140.0,0.0,181.0,328.0,29.0,1074.0
2019-01-02 04:00,735.0,1139.0,0.0,181.0,322.0,31.0,1071.0
2019-01-02 05:00,815.0,1140.0,0.0,183.0,314.0,28.0,1106.0
2019-01-02 06:00,948.0,1271.0,0.0,205.0,320.0,28.0,1047.0
2019-01-02 07:00,1368.0,1604.0,0.0,610.0,323.0,28.0,866.0
2019-01-02 08:00,1623.0,1740.0,56.0,1030.0,318.0,24.0,697.0
2019-01-02 09:00,1639.0,1756.0,198.0,1377.0,316.0,21.0,574.0
2019-01-02 10:00,1605.0,1757.0,297.0,1156.0,319.0,20.0,529.0
2019-01-02 11:00,1673.0,1757.0,352.0,900.0,320.0,20.0,445.0
2019-01-02 12:00,1675.0,1757.0,370.0,773.0,325.0,20.0,436.0
2019-01-02 13:00,1636.0,1756.0,362.0,603.0,324.0,21.0,452.0
2019-01-02 14:00,1617.0,1756.0,326.0,496.0,322.0,22.0,514.0
2019-01-02 15:00,1634.0,1756.0,239.0,696.0,325.0,22.0,555.0
2019-01-02 16:00,1679.0,1756.0,89.0,1020.0,328.0,22.0,675.0
2019-01-02 17:00,1655.0,1756.0,2.0,1557.0,322.0,24.0,977.0
2019-01-02 18:00,1608.0,1756.0,0.0,1557.0,324.0,24.0,1470.0
2019-01-02 19:00,1636.0,1756.0,0.0,1421.0,326.0,24.0,1894.0
2019-01-02 20:00,1644.0,1757.0,0.0,1370.0,324.0,24.0,2271.0
2019-01-02 21:00,1619.0,1758.0,0.0,1171.0,327.0,24.0,2453.0
2019-01-02 22:00,1601.0,1757.0,0.0,779.0,327.0,23.0,2619.0
2019-01-02 23:00,1383.0,1757.0,0.0,491.0,326.0,23.0,2589.0
2019-01-03 00:00,953.0,1587.0,0.0,293.0,330.0,24.0,2509.0
2019-01-03 01:00,955.0,1268.0,0.0,203.0,326.0,23.0,2391.0
2019-01-03 02:00,975.0,1179.0,0.0,162.0,325.0,23.0,2329.0
2019-01-03 03:00,972.0,1233.0,0.0,164.0,330.0,23.0,2273.0
2019-01-03 04:00,1046.0,1480.0,0.0,220.0,329.0,22.0,2155.0
2019-01-03 05:00,1197.0,1709.0,0.0,289.0,329.0,21.0,2109.0
2019-01-03 06:00,1734.0,1758.0,0.0,800.0,325.0,21.0,2233.0
2019-01-03 07:00,2243.0,1758.0,0.0,1248.0,321.0,23.0,2393.0
2019-01-03 08:00,2595.0,1758.0,28.0,1418.0,321.0,22.0,2509.0
2019-01-03 09:00,2715.0,1757.0,108.0,1731.0,325.0,22.0,2466.0
2019-01-03 10:00,2719.0,1710.0,176.0,1641.0,332.0,24.0,2246.0
2019-01-03 11:00,2707.0,1672.0,223.0,1555.0,332.0,24.0,1789.0
2019-01-03 12:00,2650.0,1710.0,227.0,1514.0,336.0,24.0,1277.0
2019-01-03 13:00,2680.0,1734.0,231.0,1453.0,335.0,24.0,891.0
2019-01-03 14:00,2601.0,1754.0,216.0,1394.0,327.0,24.0,638.0
2019-01-03 15:00,2740.0,1757.0,149.0,1720.0,331.0,25.0,613.0
2019-01-03 16:00,2702.0,1757.0,54.0,2106.0,324.0,24.0,803.0
2019-01-03 17:00,2638.0,1757.0,1.0,2595.0,331.0,24.0,1167.0
2019-01-03 18:00,3069.0,1759.0,0.0,2376.0,332.0,25.0,1514.0
2019-01-03 19:00,3002.0,1758.0,0.0,1995.0,333.0,24.0,1846.0
2019-01-03 20:00,3008.0,1758.0,0.0,1950.0,336.0,22.0,1979.0
