,UTC time,Local time,carbon_intensity,coal,nat_gas,nuclear,oil,hydro,solar,wind,avg_wind_production_forecast
0,01/01/2019 00:00:00,2018-12-31 19:00:00,271.15,2,5796,4003,0,1832,0,370,0
1,01/01/2019 01:00:00,2018-12-31 20:00:00,272.46,3,5494,4006,0,1431,0,432,0
2,01/01/2019 02:00:00,2018-12-31 21:00:00,266.9,1,4993,3992,0,1217,0,471,0
3,01/01/2019 03:00:00,2018-12-31 22:00:00,251.64,1,4162,3995,0,1070,0,504,0
4,01/01/2019 04:00:00,2018-12-31 23:00:00,238.59,0,3618,4017,0,1022,0,524,0
5,01/01/2019 05:00:00,2019-01-01 00:00:00,208.74,0,2872,4019,0,1424,0,607,0
6,01/01/2019 06:00:00,2019-01-01 01:00:00,200.58,0,2407,4013,0,1069,0,663,0
7,01/01/2019 07:00:00,2019-01-01 02:00:00,202.81,0,2401,4017,0,879,0,752,0
8,01/01/2019 08:00:00,2019-01-01 03:00:00,190.95,0,2096,4007,0,900,0,785,0
9,01/01/2019 09:00:00,2019-01-01 04:00:00,186.08,0,1965,4016,0,939,0,759,0
10,01/01/2019 10:00:00,2019-01-01 05:00:00,184.37,0,1864,4026,0,951,0,649,0
11,01/01/2019 11:00:00,2019-01-01 06:00:00,187.84,0,1981,4031,0,971,0,652,0
12,01/01/2019 12:00:00,2019-01-01 07:00:00,196.26,0,2190,4031,0,975,0,585,0
13,01/01/2019 13:00:00,2019-01-01 08:00:00,205.67,0,2293,4016,0,884,0,418,0
14,01/01/2019 14:00:00,2019-01-01 09:00:00,216.35,0,2653,4058,0,837,2,473,0
15,01/01/2019 15:00:00,2019-01-01 10:00:00,215,0,2806,4033,0,1133,8,454,0
16,01/01/2019 16:00:00,2019-01-01 11:00:00,213.35,0,2795,4018,0,1182,37,454,0
17,01/01/2019 17:00:00,2019-01-01 12:00:00,210.55,0,2614,4011,0,990,62,503,0
18,01/01/2019 18:00:00,2019-01-01 13:00:00,206.86,0,2590,4035,0,973,55,639,0
19,01/01/2019 19:00:00,2019-01-01 14:00:00,211.59,0,2862,4069,0,973,47,752,0
20,01/01/2019 20:00:00,2019-01-01 15:00:00,219.84,0,3151,4040,0,975,28,817,0
21,01/01/2019 21:00:00,2019-01-01 16:00:00,229.44,0,3539,4046,0,1037,10,826,0
22,01/01/2019 22:00:00,2019-01-01 17:00:00,235.63,0,4189,4089,0,1462,1,882,0
23,01/01/2019 23:00:00,2019-01-01 18:00:00,253.7,0,5159,4055,0,1579,0,906,0
24,01/02/2019 00:00:00,2019-01-01 19:00:00,254.02,0,5263,4021,0,1671,0,912,0
25,01/02/2019 01:00:00,2019-01-01 20:00:00,249.84,0,4925,3989,0,1566,0,909,0
26,01/02/2019 02:00:00,2019-01-01 21:00:00,251.84,0,4737,3982,0,1295,0,880,0
27,01/02/2019 03:00:00,2019-01-01 22:00:00,240.99,0,3965,3977,0,993,0,877,0
28,01/02/2019 04:00:00,2019-01-01 23:00:00,224.52,0,3240,3977,0,962,0,828,0
29,01/02/2019 05:00:00,2019-01-02 00:00:00,214.59,0,2810,4012,0,903,0,740,0
30,01/02/2019 06:00:00,2019-01-02 01:00:00,206.62,0,2408,3982,0,852,0,580,0
31,01/02/2019 07:00:00,2019-01-02 02:00:00,199.49,0,2117,4021,0,826,0,467,0
32,01/02/2019 08:00:00,2019-01-02 03:00:00,202.03,0,2203,4026,0,873,0,429,0
33,01/02/2019 09:00:00,2019-01-02 04:00:00,207.52,0,2354,4027,0,883,0,392,0
34,01/02/2019 10:00:00,2019-01-02 05:00:00,220.58,1,2752,4041,0,905,0,381,0
35,01/02/2019 11:00:00,2019-01-02 06:00:00,244.67,0,3707,4068,0,913,0,431,0
36,01/02/2019 12:00:00,2019-01-02 07:00:00,276.74,0,5331,4042,0,1018,0,476,0
37,01/02/2019 13:00:00,2019-01-02 08:00:00,280.42,0,5911,4021,0,1262,1,530,0
38,01/02/2019 14:00:00,2019-01-02 09:00:00,278.75,3,5625,4005,0,1215,20,437,0
39,01/02/2019 15:00:00,2019-01-02 10:00:00,280.84,4,5507,4019,0,1160,53,267,0
40,01/02/2019 16:00:00,2019-01-02 11:00:00,287.04,1,5571,4018,0,1009,80,164,0
41,01/02/2019 17:00:00,2019-01-02 12:00:00,288.93,2,5599,4011,0,934,82,187,0
42,01/02/2019 18:00:00,2019-01-02 13:00:00,285.68,0,5400,4010,0,928,86,169,0
43,01/02/2019 19:00:00,2019-01-02 14:00:00,289.51,0,5643,4031,0,975,72,135,0
44,01/02/2019 20:00:00,2019-01-02 15:00:00,294.42,0,5935,4034,0,1028,36,95,0
45,01/02/2019 21:00:00,2019-01-02 16:00:00,303.66,0,6635,4040,0,1137,10,70,0
46,01/02/2019 22:00:00,2019-01-02 17:00:00,302.02,1,7049,4044,0,1491,1,83,0
47,01/02/2019 23:00:00,2019-01-02 18:00:00,288.24,5,7315,4047,0,2419,0,81,0
48,01/03/2019 00:00:00,2019-01-02 19:00:00,291.84,4,7403,4011,0,2354,0,59,0
49,01/03/2019 01:00:00,2019-01-02 20:00:00,285.74,1,7004,4000,0,2320,0,102,0
50,01/03/2019 02:00:00,2019-01-02 21:00:00,296.39,1,6900,4018,0,1603,0,166,0
51,01/03/2019 03:00:00,2019-01-02 22:00:00,294.05,0,6418,4012,0,1313,0,215,0
52,01/03/2019 04:00:00,2019-01-02 23:00:00,283.72,0,5419,3977,0,1048,0,219,0
53,01/03/2019 05:00:00,2019-01-03 00:00:00,262.18,0,4265,4013,0,926,0,236,0
54,01/03/2019 06:00:00,2019-01-03 01:00:00,253.94,0,3870,4003,0,860,0,271,0
55,01/03/2019 07:00:00,2019-01-03 02:00:00,246.32,0,3611,4028,0,811,0,337,0
56,01/03/2019 08:00:00,2019-01-03 03:00:00,237.23,0,3363,4016,0,832,0,446,0
57,01/03/2019 09:00:00,2019-01-03 04:00:00,233.9,0,3311,3988,0,831,0,557,0
58,01/03/2019 10:00:00,2019-01-03 05:00:00,242.62,0,3519,3850,0,861,0,542,0
59,01/03/2019 11:00:00,2019-01-03 06:00:00,267.7,0,4469,3816,0,866,0,461,0
60,01/03/2019 12:00:00,2019-01-03 07:00:00,284.38,0,5538,3722,0,1174,0,429,0
61,01/03/2019 13:00:00,2019-01-03 08:00:00,292.95,0,6291,3644,0,1470,0,413,0
62,01/03/2019 14:00:00,2019-01-03 09:00:00,299.32,9,6511,3628,0,1365,1,410,0
63,01/03/2019 15:00:00,2019-01-03 10:00:00,307.33,6,6690,3542,0,1219,14,386,0
64,01/03/2019 16:00:00,2019-01-03 11:00:00,310.67,3,6446,3484,0,1061,34,291,0
65,01/03/2019 17:00:00,2019-01-03 12:00:00,309.51,4,6074,3442,2,941,57,240,0
66,01/03/2019 18:00:00,2019-01-03 13:00:00,306.68,1,5925,3468,0,949,63,199,0
67,01/03/2019 19:00:00,2019-01-03 14:00:00,307.51,1,5904,3467,0,953,49,180,0
68,01/03/2019 20:00:00,2019-01-03 15:00:00,312.81,0,6289,3488,0,981,36,193,0
69,01/03/2019 21:00:00,2019-01-03 16:00:00,319.33,0,6698,3483,0,1000,13,174,0
70,01/03/2019 22:00:00,2019-01-03 17:00:00,316.54,0,6925,3495,0,1250,1,185,0
71,01/03/2019 23:00:00,2019-01-03 18:00:00,300.74,2,7003,3474,0,1992,0,240,0
72,01/04/2019 00:00:00,2019-01-03 19:00:00,312.82,10,7392,3467,0,1631,0,270,0
73,01/04/2019 01:00:00,2019-01-03 20:00:00,312.73,9,7102,3469,0,1444,0,284,0
74,01/04/2019 02:00:00,2019-01-03 21:00:00,314.08,6,6839,3449,0,1259,0,269,0
75,01/04/2019 03:00:00,2019-01-03 22:00:00,314.23,9,6285,3446,0,991,0,196,0
76,01/04/2019 04:00:00,2019-01-03 23:00:00,294.38,7,5010,3447,0,939,0,187,0
77,01/04/2019 05:00:00,2019-01-04 00:00:00,269.93,5,3951,3457,0,934,0,232,0
78,01/04/2019 06:00:00,2019-01-04 01:00:00,255.41,4,3364,3472,0,888,0,271,0
79,01/04/2019 07:00:00,2019-01-04 02:00:00,254.41,7,3325,3471,0,867,0,299,0
80,01/04/2019 08:00:00,2019-01-04 03:00:00,251.74,7,3226,3462,0,868,0,298,0
81,01/04/2019 09:00:00,2019-01-04 04:00:00,251.78,3,3269,3473,0,869,0,303,0
82,01/04/2019 10:00:00,2019-01-04 05:00:00,255.24,0,3431,3486,0,868,0,339,0
83,01/04/2019 11:00:00,2019-01-04 06:00:00,268.21,0,4149,3503,0,910,0,453,0
84,01/04/2019 12:00:00,2019-01-04 07:00:00,285.55,0,5360,3500,0,1116,0,546,0
85,01/04/2019 13:00:00,2019-01-04 08:00:00,291.26,0,6040,3477,0,1334,1,603,0
86,01/04/2019 14:00:00,2019-01-04 09:00:00,292.28,4,5929,3455,0,1266,15,557,0
87,01/04/2019 15:00:00,2019-01-04 10:00:00,293.69,5,5645,3447,0,1025,40,515,0
88,01/04/2019 16:00:00,2019-01-04 11:00:00,290.88,1,5374,3463,0,958,57,475,0
89,01/04/2019 17:00:00,2019-01-04 12:00:00,288.08,0,5131,3451,0,932,67,433,0
90,01/04/2019 18:00:00,2019-01-04 13:00:00,287.01,1,5003,3458,0,923,67,384,0
91,01/04/2019 19:00:00,2019-01-04 14:00:00,289.51,0,5152,3484,0,969,52,357,0
92,01/04/2019 20:00:00,2019-01-04 15:00:00,293.41,0,5451,3478,0,1031,31,369,0
93,01/04/2019 21:00:00,2019-01-04 16:00:00,298.09,0,5692,3472,0,1067,12,342,0
94,01/04/2019 22:00:00,2019-01-04 17:00:00,303.62,0,6372,3502,0,1257,1,373,0
95,01/04/2019 23:00:00,2019-01-04 18:00:00,305.4,0,6778,3466,0,1410,0,417,0
96,01/05/2019 00:00:00,2019-01-04 19:00:00,306.98,0,6594,3441,0,1282,0,377,0
97,01/05/2019 01:00:00,2019-01-04 20:00:00,306.99,0,6185,3443,0,1072,0,332,0
98,01/05/2019 02:00:00,2019-01-04 21:00:00,300.65,1,5728,3462,0,1050,0,293,0
99,01/05/2019 03:00:00,2019-01-04 22:00:00,298.8,1,5498,3460,0,998,0,274,0
100,01/05/2019 04:00:00,2019-01-04 23:00:00,283.78,0,4523,3441,0,928,0,224,0
101,01/05/2019 05:00:00,2019-01-05 00:00:00,280.14,0,4297,3433,0,904,0,190,0
102,01/05/2019 06:00:00,2019-01-05 01:00:00,249.37,0,3079,3467,0,880,0,198,0
103,01/05/2019 07:00:00,2019-01-05 02:00:00,238.81,0,2684,3500,0,880,0,133,0
104,01/05/2019 08:00:00,2019-01-05 03:00:00,234.29,0,2522,3509,0,875,0,87,0
105,01/05/2019 09:00:00,2019-01-05 04:00:00,237.94,0,2603,3526,0,872,0,51,0
106,01/05/2019 10:00:00,2019-01-05 05:00:00,237.89,0,2575,3522,0,863,0,30,0
107,01/05/2019 11:00:00,2019-01-05 06:00:00,241.37,0,2746,3541,0,898,0,44,0
108,01/05/2019 12:00:00,2019-01-05 07:00:00,248.26,0,3063,3547,0,951,0,93,0
109,01/05/2019 13:00:00,2019-01-05 08:00:00,261.7,0,3603,3551,0,976,0,118,0
110,01/05/2019 14:00:00,2019-01-05 09:00:00,277.14,1,4364,3550,0,1048,2,136,0
111,01/05/2019 15:00:00,2019-01-05 10:00:00,290.54,0,5067,3548,0,1056,7,151,0
112,01/05/2019 16:00:00,2019-01-05 11:00:00,302.53,0,5654,3538,0,991,11,168,0
113,01/05/2019 17:00:00,2019-01-05 12:00:00,307.96,0,5853,3521,0,955,14,138,0
114,01/05/2019 18:00:00,2019-01-05 13:00:00,307.66,0,5810,3535,0,956,13,109,0
115,01/05/2019 19:00:00,2019-01-05 14:00:00,310.15,0,5888,3534,0,958,9,80,0
116,01/05/2019 20:00:00,2019-01-05 15:00:00,311.88,0,5971,3526,0,951,5,80,0
117,01/05/2019 21:00:00,2019-01-05 16:00:00,310.97,2,5968,3523,0,977,2,98,0
118,01/05/2019 22:00:00,2019-01-05 17:00:00,294.17,1,6034,3560,0,1691,0,132,0
119,01/05/2019 23:00:00,2019-01-05 18:00:00,286.67,0,5986,3506,0,1967,0,190,0
120,01/06/2019 00:00:00,2019-01-05 19:00:00,289.36,5,5752,3503,0,1657,0,208,0
121,01/06/2019 01:00:00,2019-01-05 20:00:00,295.46,1,5604,3486,0,1249,0,244,0
122,01/06/2019 02:00:00,2019-01-05 21:00:00,295.37,2,5329,3509,0,996,0,281,0
123,01/06/2019 03:00:00,2019-01-05 22:00:00,284.67,7,4770,3561,0,959,0,286,0
124,01/06/2019 04:00:00,2019-01-05 23:00:00,273.19,8,4175,3572,0,885,0,297,0
125,01/06/2019 05:00:00,2019-01-06 00:00:00,250.43,7,3441,3694,0,875,0,313,0
126,01/06/2019 06:00:00,2019-01-06 01:00:00,229.27,6,2808,3844,0,845,0,328,0
127,01/06/2019 07:00:00,2019-01-06 02:00:00,216.46,1,2520,3961,0,846,0,363,0
128,01/06/2019 08:00:00,2019-01-06 03:00:00,219.45,0,2645,3978,0,846,0,389,0
129,01/06/2019 09:00:00,2019-01-06 04:00:00,223.52,0,2785,3967,0,849,0,406,0
130,01/06/2019 10:00:00,2019-01-06 05:00:00,222.95,0,2751,3974,0,847,0,377,0
131,01/06/2019 11:00:00,2019-01-06 06:00:00,224.78,0,2817,4014,0,857,0,333,0
132,01/06/2019 12:00:00,2019-01-06 07:00:00,226.68,0,2911,4023,0,929,0,303,0
133,01/06/2019 13:00:00,2019-01-06 08:00:00,236.82,0,3326,4034,0,967,0,270,0
134,01/06/2019 14:00:00,2019-01-06 09:00:00,239.48,0,3564,4025,0,1117,7,286,0
135,01/06/2019 15:00:00,2019-01-06 10:00:00,241.03,0,3752,4020,0,1264,17,298,0
136,01/06/2019 16:00:00,2019-01-06 11:00:00,235.79,2,3515,3998,0,1154,27,389,0
137,01/06/2019 17:00:00,2019-01-06 12:00:00,234.58,6,3502,4018,0,1072,36,498,0
