,UTC time,Local time,carbon_intensity,coal,nat_gas,nuclear,oil,hydro,solar,wind,other,avg_other_production_forecast
0,01/01/2019 00:00:00,2018-12-31 19:00:00,271.15,2,5796,4003,0,1832,0,370,739,0
1,01/01/2019 01:00:00,2018-12-31 20:00:00,272.46,3,5494,4006,0,1431,0,432,737,0
2,01/01/2019 02:00:00,2018-12-31 21:00:00,266.9,1,4993,3992,0,1217,0,471,737,0
3,01/01/2019 03:00:00,2018-12-31 22:00:00,251.64,1,4162,3995,0,1070,0,504,735,0
4,01/01/2019 04:00:00,2018-12-31 23:00:00,238.59,0,3618,4017,0,1022,0,524,735,0
5,01/01/2019 05:00:00,2019-01-01 00:00:00,208.74,0,2872,4019,0,1424,0,607,745,0
6,01/01/2019 06:00:00,2019-01-01 01:00:00,200.58,0,2407,4013,0,1069,0,663,750,0
7,01/01/2019 07:00:00,2019-01-01 02:00:00,202.81,0,2401,4017,0,879,0,752,761,0
8,01/01/2019 08:00:00,2019-01-01 03:00:00,190.95,0,2096,4007,0,900,0,785,750,0
9,01/01/2019 09:00:00,2019-01-01 04:00:00,186.08,0,1965,4016,0,939,0,759,753,0
10,01/01/2019 10:00:00,2019-01-01 05:00:00,184.37,0,1864,4026,0,951,0,649,755,0
11,01/01/2019 11:00:00,2019-01-01 06:00:00,187.84,0,1981,4031,0,971,0,652,751,0
12,01/01/2019 12:00:00,2019-01-01 07:00:00,196.26,0,2190,4031,0,975,0,585,746,0
13,01/01/2019 13:00:00,2019-01-01 08:00:00,205.67,0,2293,4016,0,884,0,418,744,0
14,01/01/2019 14:00:00,2019-01-01 09:00:00,216.35,0,2653,4058,0,837,2,473,748,0
15,01/01/2019 15:00:00,2019-01-01 10:00:00,215,0,2806,4033,0,1133,8,454,737,0
16,01/01/2019 16:00:00,2019-01-01 11:00:00,213.35,0,2795,4018,0,1182,37,454,735,0
17,01/01/2019 17:00:00,2019-01-01 12:00:00,210.55,0,2614,4011,0,990,62,503,738,0
18,01/01/2019 18:00:00,2019-01-01 13:00:00,206.86,0,2590,4035,0,973,55,639,740,0
19,01/01/2019 19:00:00,2019-01-01 14:00:00,211.59,0,2862,4069,0,973,47,752,730,0
20,01/01/2019 20:00:00,2019-01-01 15:00:00,219.84,0,3151,4040,0,975,28,817,739,0
21,01/01/2019 21:00:00,2019-01-01 16:00:00,229.44,0,3539,4046,0,1037,10,826,750,0
22,01/01/2019 22:00:00,2019-01-01 17:00:00,235.63,0,4189,4089,0,1462,1,882,768,0
23,01/01/2019 23:00:00,2019-01-01 18:00:00,253.7,0,5159,4055,0,1579,0,906,770,0
24,01/02/2019 00:00:00,2019-01-01 19:00:00,254.02,0,5263,4021,0,1671,0,912,756,0
25,01/02/2019 01:00:00,2019-01-01 20:00:00,249.84,0,4925,3989,0,1566,0,909,748,0
26,01/02/2019 02:00:00,2019-01-01 21:00:00,251.84,0,4737,3982,0,1295,0,880,745,0
27,01/02/2019 03:00:00,2019-01-01 22:00:00,240.99,0,3965,3977,0,993,0,877,742,0
28,01/02/2019 04:00:00,2019-01-01 23:00:00,224.52,0,3240,3977,0,962,0,828,746,0
29,01/02/2019 05:00:00,2019-01-02 00:00:00,214.59,0,2810,4012,0,903,0,740,745,0
30,01/02/2019 06:00:00,2019-01-02 01:00:00,206.62,0,2408,3982,0,852,0,580,733,0
31,01/02/2019 07:00:00,2019-01-02 02:00:00,199.49,0,2117,4021,0,826,0,467,743,0
32,01/02/2019 08:00:00,2019-01-02 03:00:00,202.03,0,2203,4026,0,873,0,429,739,0
33,01/02/2019 09:00:00,2019-01-02 04:00:00,207.52,0,2354,4027,0,883,0,392,734,0
34,01/02/2019 10:00:00,2019-01-02 05:00:00,220.58,1,2752,4041,0,905,0,381,748,0
35,01/02/2019 11:00:00,2019-01-02 06:00:00,244.67,0,3707,4068,0,913,0,431,745,0
36,01/02/2019 12:00:00,2019-01-02 07:00:00,276.74,0,5331,4042,0,1018,0,476,749,0
37,01/02/2019 13:00:00,2019-01-02 08:00:00,280.42,0,5911,4021,0,1262,1,530,732,0
38,01/02/2019 14:00:00,2019-01-02 09:00:00,278.75,3,5625,4005,0,1215,20,437,735,0
39,01/02/2019 15:00:00,2019-01-02 10:00:00,280.84,4,5507,4019,0,1160,53,267,737,0
40,01/02/2019 16:00:00,2019-01-02 11:00:00,287.04,1,5571,4018,0,1009,80,164,736,0
41,01/02/2019 17:00:00,2019-01-02 12:00:00,288.93,2,5599,4011,0,934,82,187,738,0
42,01/02/2019 18:00:00,2019-01-02 13:00:00,285.68,0,5400,4010,0,928,86,169,734,0
43,01/02/2019 19:00:00,2019-01-02 14:00:00,289.51,0,5643,4031,0,975,72,135,734,0
44,01/02/2019 20:00:00,2019-01-02 15:00:00,294.42,0,5935,4034,0,1028,36,95,721,0
45,01/02/2019 21:00:00,2019-01-02 16:00:00,303.66,0,6635,4040,0,1137,10,70,714,0
46,01/02/2019 22:00:00,2019-01-02 17:00:00,302.02,1,7049,4044,0,1491,1,83,719,0
47,01/02/2019 23:00:00,2019-01-02 18:00:00,288.24,5,7315,4047,0,2419,0,81,731,0
48,01/03/2019 00:00:00,2019-01-02 19:00:00,291.84,4,7403,4011,0,2354,0,59,736,0
49,01/03/2019 01:00:00,2019-01-02 20:00:00,285.74,1,7004,4000,0,2320,0,102,722,0
50,01/03/2019 02:00:00,2019-01-02 21:00:00,296.39,1,6900,4018,0,1603,0,166,719,0
51,01/03/2019 03:00:00,2019-01-02 22:00:00,294.05,0,6418,4012,0,1313,0,215,713,0
52,01/03/2019 04:00:00,2019-01-02 23:00:00,283.72,0,5419,3977,0,1048,0,219,708,0
53,01/03/2019 05:00:00,2019-01-03 00:00:00,262.18,0,4265,4013,0,926,0,236,713,0
54,01/03/2019 06:00:00,2019-01-03 01:00:00,253.94,0,3870,4003,0,860,0,271,714,0
55,01/03/2019 07:00:00,2019-01-03 02:00:00,246.32,0,3611,4028,0,811,0,337,713,0
56,01/03/2019 08:00:00,2019-01-03 03:00:00,237.23,0,3363,4016,0,832,0,446,719,0
57,01/03/2019 09:00:00,2019-01-03 04:00:00,233.9,0,3311,3988,0,831,0,557,720,0
58,01/03/2019 10:00:00,2019-01-03 05:00:00,242.62,0,3519,3850,0,861,0,542,724,0
59,01/03/2019 11:00:00,2019-01-03 06:00:00,267.7,0,4469,3816,0,866,0,461,721,0
60,01/03/2019 12:00:00,2019-01-03 07:00:00,284.38,0,5538,3722,0,1174,0,429,717,0
61,01/03/2019 13:00:00,2019-01-03 08:00:00,292.95,0,6291,3644,0,1470,0,413,727,0
62,01/03/2019 14:00:00,2019-01-03 09:00:00,299.32,9,6511,3628,0,1365,1,410,725,0
63,01/03/2019 15:00:00,2019-01-03 10:00:00,307.33,6,6690,3542,0,1219,14,386,724,0
64,01/03/2019 16:00:00,2019-01-03 11:00:00,310.67,3,6446,3484,0,1061,34,291,728,0
65,01/03/2019 17:00:00,2019-01-03 12:00:00,309.51,4,6074,3442,2,941,57,240,718,0
66,01/03/2019 18:00:00,2019-01-03 13:00:00,306.68,1,5925,3468,0,949,63,199,709,0
67,01/03/2019 19:00:00,2019-01-03 14:00:00,307.51,1,5904,3467,0,953,49,180,721,0
68,01/03/2019 20:00:00,2019-01-03 15:00:00,312.81,0,6289,3488,0,981,36,193,739,0
69,01/03/2019 21:00:00,2019-01-03 16:00:00,319.33,0,6698,3483,0,1000,13,174,735,0
70,01/03/2019 22:00:00,2019-01-03 17:00:00,316.54,0,6925,3495,0,1250,1,185,745,0
71,01/03/2019 23:00:00,2019-01-03 18:00:00,300.74,2,7003,3474,0,1992,0,240,745,0
72,01/04/2019 00:00:00,2019-01-03 19:00:00,312.82,10,7392,3467,0,1631,0,270,725,0
73,01/04/2019 01:00:00,2019-01-03 20:00:00,312.73,9,7102,3469,0,1444,0,284,729,0
74,01/04/2019 02:00:00,2019-01-03 21:00:00,314.08,6,6839,3449,0,1259,0,269,732,0
75,01/04/2019 03:00:00,2019-01-03 22:00:00,314.23,9,6285,3446,0,991,0,196,724,0
76,01/04/2019 04:00:00,2019-01-03 23:00:00,294.38,7,5010,3447,0,939,0,187,731,0
77,01/04/2019 05:00:00,2019-01-04 00:00:00,269.93,5,3951,3457,0,934,0,232,719,0
