UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_oil_production_forecast,avg_hydro_production_forecast,avg_wind_production_forecast,avg_other_production_forecast
2023-02-23 00:00:00,2024-07-17 00:00:00,3.1,3.204840854434965,273.1964506841369,271.9271896380417,89.6365264188727,0.808947717788393,0.0,0.0,323.75534,831.97847,3120.8895,337.95825
2023-02-23 01:00:00,2024-07-17 00:00:00,3.1,3.5069786142595745,272.88158480783954,271.40759748115386,0.0,0.7214671817276774,0.0,0.0,329.86426,814.96668,3099.48893,300.37635
2023-02-23 02:00:00,2024-07-17 00:00:00,3.1,3.5069786142595745,272.88158480783954,271.40759748115386,0.0,0.7214671817276774,0.0,0.0,340.23321,825.58458,3114.84505,314.52777
2023-02-23 03:00:00,2024-07-17 00:00:00,3.1,3.5069786142595745,272.88158480783954,271.40759748115386,0.0,0.7214671817276774,0.0,0.0,349.37473,823.2852,3135.48505,293.25745
2023-02-23 04:00:00,2024-07-17 00:00:00,3.1,4.449646139965926,271.7717598171496,270.05236855571405,0.0,1.0755478803191287,0.0,0.0,358.77324,822.5072,3148.10875,291.34582
2023-02-23 05:00:00,2024-07-17 00:00:00,3.1,4.449646139965926,271.7717598171496,270.05236855571405,0.0,1.0755478803191287,0.0,0.0,362.90309,813.9331,3156.45287,308.16344
2023-02-23 06:00:00,2024-07-17 00:00:00,3.1,4.449646139965926,271.7717598171496,270.05236855571405,0.0,1.0755478803191287,0.0,0.0,367.97498,805.05743,3145.94598,297.84818
2023-02-23 07:00:00,2024-07-17 00:00:00,3.1,5.517938847616934,269.3497456793824,266.9687638985529,0.0,0.2009181008926142,0.0,0.0,376.18492,751.89943,3192.58781,310.7258
2023-02-23 08:00:00,2024-07-17 00:00:00,3.1,5.517938847616934,269.3497456793824,266.9687638985529,0.0,0.2009181008926142,0.0,0.0,387.58897,805.8287,3127.02681,308.57349
2023-02-23 09:00:00,2024-07-17 00:00:00,3.1,5.517938847616934,269.3497456793824,266.9687638985529,0.0,0.2009181008926142,0.0,0.0,391.39326,779.52257,3147.27294,314.31749
2023-02-23 10:00:00,2024-07-17 00:00:00,3.1,6.156938897678714,266.1113835522539,262.9230670952969,0.3097619328401958,0.3161508876298621,0.0,0.0,410.50994,771.49596,3163.35993,308.23301
2023-02-23 11:00:00,2024-07-17 00:00:00,3.1,6.156938897678714,266.1113835522539,262.9230670952969,0.3097619328401958,0.3161508876298621,0.0,0.0,424.38855,784.23533,3139.93217,322.08557
