UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_oil_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast,avg_biomass_production_forecast,avg_geothermal_production_forecast,avg_unknown_production_forecast
2023-08-18 00:00:00,2024-07-17 00:00:00,3.1,1.551594668044748,288.9082598240708,285.9175465646415,0.2364416986095697,0.0890143542920183,4.73201,105.96085,0.0,19181.06698,0.0,492.0,789.95678,0.0,88.0
2023-08-18 01:00:00,2024-07-17 00:00:00,3.1,1.5630626785996002,288.08447591335647,285.2216674591198,0.0,0.0,7.76836,158.65983,0.0,18638.36274,0.0,456.00001,790.53857,0.0,88.0
2023-08-18 02:00:00,2024-07-17 00:00:00,3.1,1.5630626785996002,288.08447591335647,285.2216674591198,0.0,0.0,12.20792,200.88227,0.0,18295.8253,0.0,428.00001,795.27692,0.0,88.0
2023-08-18 03:00:00,2024-07-17 00:00:00,3.1,1.5630626785996002,288.08447591335647,285.2216674591198,0.0,0.0,5.94367,306.57349,0.0,18326.86917,0.0,384.00001,796.75876,0.0,88.0
2023-08-18 04:00:00,2024-07-17 00:00:00,3.1,1.1876690596763717,291.1987829640821,286.70486629479456,29.21696966703155,0.0028109605146858,0.0,400.59673,0.0,18437.97515,259.99999,343.99999,796.10288,0.0,88.0
2023-08-18 05:00:00,2024-07-17 00:00:00,3.1,1.1876690596763717,291.1987829640821,286.70486629479456,29.21696966703155,0.0028109605146858,5.07414,469.30839,0.0,18804.18258,687.99999,256.0,795.83034,0.0,88.0
2023-08-18 06:00:00,2024-07-17 00:00:00,3.1,1.1876690596763717,291.1987829640821,286.70486629479456,29.21696966703155,0.0028109605146858,0.0,454.00398,0.0,19090.44912,1728.00001,152.00001,795.90944,0.0,88.0
2023-08-18 07:00:00,2024-07-17 00:00:00,3.1,1.5795933736209722,297.4334962184805,286.487217179645,475.6798444046177,0.0011261260836133,0.0,388.23877,0.0,19683.79789,3164.00004,112.0,794.97617,0.0,88.0
2023-08-18 08:00:00,2024-07-17 00:00:00,3.1,1.5795933736209722,297.4334962184805,286.487217179645,475.6798444046177,0.0011261260836133,0.0,319.55853,0.0,19833.43417,4547.99986,120.0,798.72835,0.0,88.0
2023-08-18 09:00:00,2024-07-17 00:00:00,3.1,1.5795933736209722,297.4334962184805,286.487217179645,475.6798444046177,0.0011261260836133,0.0,377.22929,0.0,19774.45759,5459.99982,148.0,796.62698,0.0,88.0
2023-08-18 10:00:00,2024-07-17 00:00:00,3.1,1.8966150709417828,300.27061255454834,285.7472165212678,623.6807687220298,0.0101590686890804,0.0,350.63219,0.0,20177.64696,6008.00005,168.0,795.14149,0.0,88.0
2023-08-18 11:00:00,2024-07-17 00:00:00,3.1,1.8966150709417828,300.27061255454834,285.7472165212678,623.6807687220298,0.0101590686890804,0.0,297.55547,0.0,20233.07368,6128.00011,176.00001,791.70235,0.0,88.0
2023-08-18 12:00:00,2024-07-17 00:00:00,3.1,1.8966150709417828,300.27061255454834,285.7472165212678,623.6807687220298,0.0101590686890804,1.33426,321.19447,0.0,19668.83224,5843.99985,192.0,792.31522,0.0,88.0
