datetime,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_oil_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast,avg_other_production_forecast
2023-08-06 00:00:00,2.303693525120459,289.373602697636,286.989676586893,0.056816708014012,0.0191897224536184,19.35016,9596.50419,2669.37295,25.50652,1194.93916,10526.18988,2769.03998,2082.37175
2023-08-06 01:00:00,2.303693525120459,289.373602697636,286.989676586893,0.056816708014012,0.0191897224536184,19.89047,9246.70891,2664.0201,26.44855,995.7497,5663.26974,3058.99995,2300.42727
2023-08-06 02:00:00,2.303693525120459,289.373602697636,286.989676586893,0.056816708014012,0.0191897224536184,20.51841,8583.92926,2657.78853,32.18484,873.00991,1082.93998,3305.64014,2485.90547
2023-08-06 03:00:00,2.303693525120459,289.373602697636,286.989676586893,0.056816708014012,0.0191897224536184,21.62588,7456.02569,2662.38387,15.95833,761.93312,0.01,3504.50007,2635.45199
2023-08-06 04:00:00,2.616464288523018,288.4286763962376,286.2137585291533,0.056816708014012,0.0191897224536184,23.36565,6421.46664,2684.7006,3.83723,716.55002,0.0,3602.10991,2708.85649
2023-08-06 05:00:00,2.616464288523018,288.4286763962376,286.2137585291533,0.056816708014012,0.0191897224536184,24.01666,5509.35077,2686.70364,0.0341,714.00171,0.0,3621.85007,2723.70146
2023-08-06 06:00:00,2.616464288523018,288.4286763962376,286.2137585291533,0.056816708014012,0.0191897224536184,25.26617,4954.66846,2685.44974,0.0,667.45775,0.0,3567.26011,2682.64876
2023-08-06 07:00:00,2.8667781201584,287.64061881659364,285.5488492802442,0.0283888776266073,0.0269319838534856,25.74311,4602.88849,2689.84504,0.0,653.64957,0.0,3533.91003,2657.56885
2023-08-06 08:00:00,2.8667781201584,287.64061881659364,285.5488492802442,0.0283888776266073,0.0269319838534856,26.27127,4698.87817,2675.54909,12.84049,699.51635,0.0,3362.03,2528.31173
2023-08-06 09:00:00,2.8667781201584,287.64061881659364,285.5488492802442,0.0283888776266073,0.0269319838534856,26.01369,5137.73044,2696.40179,15.73352,720.22364,0.0,3168.28996,2382.61547
