UTC time,nat_gas,nuclear,oil,hydro,solar,wind,biomass,unknown
2023-03-02 00:00:00,3557.0,3944.0,0.0,18.0,0.0,1377.0,556.0,834.0
2023-03-02 01:00:00,3531.0,3944.0,0.0,17.0,0.0,1393.0,551.0,842.0
2023-03-02 02:00:00,3212.0,3944.0,0.0,17.0,0.0,1469.0,517.0,810.0
2023-03-02 03:00:00,3290.0,3944.0,0.0,17.0,0.0,1468.0,516.0,809.0
2023-03-02 04:00:00,3509.0,3945.0,0.0,18.0,0.0,1637.0,511.0,847.0
2023-03-02 05:00:00,3748.0,3947.0,0.0,19.0,0.0,1710.0,518.0,876.0
2023-03-02 06:00:00,4232.0,3947.0,0.0,19.0,40.0,1772.0,510.0,920.0
2023-03-02 07:00:00,4313.0,3949.0,0.0,18.0,678.0,1703.0,500.0,968.0
2023-03-02 08:00:00,4060.0,3947.0,0.0,19.0,1975.0,1387.0,498.0,975.0
2023-03-02 09:00:00,2519.0,3949.0,0.0,16.0,3151.0,1078.0,518.0,972.0
2023-03-02 10:00:00,2486.0,3947.0,0.0,16.0,3899.0,1075.0,528.0,954.0
2023-03-02 11:00:00,2252.0,3943.0,0.0,17.0,4201.0,1111.0,530.0,944.0
2023-03-02 12:00:00,1975.0,3942.0,0.0,17.0,4248.0,1381.0,531.0,912.0
2023-03-02 13:00:00,1880.0,3941.0,0.0,17.0,3826.0,1513.0,538.0,792.0
2023-03-02 14:00:00,2611.0,3941.0,0.0,15.0,2946.0,1643.0,529.0,855.0
2023-03-02 15:00:00,3657.0,3940.0,0.0,15.0,1659.0,1845.0,534.0,947.0
2023-03-02 16:00:00,4118.0,3941.0,0.0,13.0,444.0,1996.0,539.0,964.0
2023-03-02 17:00:00,4593.0,3941.0,0.0,12.0,17.0,2453.0,552.0,935.0
2023-03-02 18:00:00,4644.0,3942.0,0.0,13.0,0.0,2703.0,558.0,923.0
2023-03-02 19:00:00,4595.0,3942.0,0.0,15.0,0.0,2764.0,557.0,862.0
2023-03-02 20:00:00,4623.0,3943.0,0.0,14.0,0.0,2403.0,550.0,867.0
2023-03-02 21:00:00,4646.0,3944.0,0.0,14.0,0.0,1740.0,541.0,899.0
2023-03-02 22:00:00,4553.0,3944.0,0.0,15.0,0.0,1644.0,540.0,875.0
2023-03-02 23:00:00,3775.0,3945.0,0.0,17.0,0.0,1580.0,556.0,826.0
