,UTC time,carbon_intensity,coal,nat_gas,oil,hydro,solar,other
0,2023-08-04 00:00:00,725.37,1839.0,437.0,0.0,96.0,3.0,71.0
1,2023-08-04 01:00:00,731.47,1876.0,471.0,0.0,71.0,0.0,67.0
2,2023-08-04 02:00:00,731.18,1885.0,474.0,0.0,72.0,0.0,70.0
3,2023-08-04 03:00:00,733.37,1785.0,419.0,0.0,71.0,0.0,69.0
4,2023-08-04 04:00:00,738.92,1645.0,399.0,0.0,44.0,0.0,67.0
5,2023-08-04 05:00:00,748.9,1522.0,399.0,0.0,2.0,0.0,71.0
6,2023-08-04 06:00:00,742.49,1356.0,399.0,0.0,2.0,0.0,69.0
7,2023-08-04 07:00:00,742.8,1364.0,399.0,0.0,2.0,0.0,70.0
8,2023-08-04 08:00:00,738.92,1266.0,399.0,0.0,1.0,0.0,67.0
9,2023-08-04 09:00:00,739.28,1286.0,400.0,0.0,2.0,0.0,68.0
10,2023-08-04 10:00:00,742.34,1358.0,400.0,0.0,2.0,0.0,73.0
11,2023-08-04 11:00:00,741.9,1468.0,437.0,0.0,2.0,0.0,75.0
12,2023-08-04 12:00:00,743.09,1566.0,439.0,0.0,2.0,7.0,70.0
13,2023-08-04 13:00:00,730.69,1635.0,475.0,0.0,1.0,42.0,71.0
14,2023-08-04 14:00:00,713.64,1685.0,486.0,0.0,2.0,102.0,70.0
15,2023-08-04 15:00:00,714.32,1770.0,483.0,0.0,2.0,114.0,71.0
16,2023-08-04 16:00:00,712.0,1798.0,477.0,0.0,2.0,129.0,72.0
17,2023-08-04 17:00:00,713.48,1872.0,484.0,0.0,2.0,133.0,71.0
18,2023-08-04 18:00:00,697.61,1943.0,479.0,0.0,70.0,140.0,69.0
19,2023-08-04 19:00:00,697.88,2003.0,476.0,0.0,72.0,149.0,69.0
20,2023-08-04 20:00:00,701.68,2129.0,475.0,0.0,72.0,156.0,70.0
21,2023-08-04 21:00:00,702.11,2159.0,476.0,0.0,77.0,154.0,67.0
22,2023-08-04 22:00:00,711.9,2222.0,477.0,0.0,71.0,127.0,68.0
23,2023-08-04 23:00:00,718.88,2276.0,475.0,0.0,72.0,104.0,69.0
