UTC time,coal,nat_gas,oil,hydro,solar,other
2023-10-14 00:00:00,1170.0,538.0,0.0,68.0,0.0,50.0
2023-10-14 01:00:00,1117.0,529.0,0.0,69.0,0.0,49.0
2023-10-14 02:00:00,1194.0,547.0,0.0,68.0,0.0,50.0
2023-10-14 03:00:00,1267.0,549.0,0.0,48.0,0.0,57.0
2023-10-14 04:00:00,1223.0,549.0,0.0,0.0,0.0,56.0
2023-10-14 05:00:00,1068.0,519.0,0.0,0.0,0.0,60.0
2023-10-14 06:00:00,1037.0,549.0,0.0,0.0,0.0,62.0
2023-10-14 07:00:00,878.0,547.0,0.0,0.0,0.0,68.0
2023-10-14 08:00:00,863.0,548.0,0.0,0.0,0.0,70.0
2023-10-14 09:00:00,867.0,549.0,0.0,0.0,0.0,70.0
2023-10-14 10:00:00,932.0,541.0,0.0,0.0,0.0,69.0
2023-10-14 11:00:00,1008.0,515.0,0.0,0.0,0.0,71.0
2023-10-14 12:00:00,1117.0,496.0,0.0,0.0,1.0,70.0
2023-10-14 13:00:00,1250.0,478.0,0.0,0.0,11.0,71.0
2023-10-14 14:00:00,1318.0,500.0,0.0,0.0,42.0,68.0
2023-10-14 15:00:00,1341.0,530.0,0.0,0.0,66.0,69.0
2023-10-14 16:00:00,1364.0,485.0,0.0,0.0,108.0,70.0
2023-10-14 17:00:00,1370.0,472.0,0.0,0.0,82.0,67.0
2023-10-14 18:00:00,1363.0,450.0,0.0,0.0,59.0,67.0
2023-10-14 19:00:00,1349.0,438.0,0.0,61.0,97.0,70.0
2023-10-14 20:00:00,1195.0,459.0,0.0,68.0,116.0,68.0
2023-10-14 21:00:00,1092.0,476.0,0.0,68.0,107.0,69.0
2023-10-14 22:00:00,1102.0,474.0,0.0,68.0,78.0,70.0
2023-10-14 23:00:00,1100.0,464.0,0.0,69.0,12.0,72.0
