,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,oil,hydro,solar,other
0,2023-09-03 00:00:00,2023-09-06 01:46:43,3.0,655.69,1560.0,355.0,0.0,76.0,9.0,69.0
1,2023-09-03 01:00:00,2023-09-06 01:46:43,3.0,678.91,1546.0,257.0,0.0,57.0,0.0,70.0
2,2023-09-03 02:00:00,2023-09-06 01:46:43,3.0,657.56,1317.0,319.0,0.0,57.0,0.0,69.0
3,2023-09-03 03:00:00,2023-09-06 01:46:43,3.0,651.29,1260.0,342.0,0.0,55.0,0.0,65.0
4,2023-09-03 04:00:00,2023-09-06 01:46:43,3.0,662.37,1147.0,331.0,0.0,14.0,0.0,68.0
5,2023-09-03 05:00:00,2023-09-06 01:46:43,3.0,677.47,1070.0,262.0,0.0,1.0,0.0,69.0
6,2023-09-03 06:00:00,2023-09-06 01:46:43,3.0,669.9,962.0,264.0,0.0,2.0,0.0,65.0
7,2023-09-03 07:00:00,2023-09-06 01:46:43,3.0,665.76,884.0,256.0,0.0,2.0,0.0,69.0
8,2023-09-03 08:00:00,2023-09-06 01:46:43,3.0,657.55,793.0,259.0,0.0,2.0,0.0,66.0
9,2023-09-03 09:00:00,2023-09-06 01:46:43,3.0,658.59,789.0,253.0,0.0,2.0,0.0,68.0
10,2023-09-03 10:00:00,2023-09-06 01:46:43,3.0,658.22,791.0,258.0,0.0,1.0,0.0,66.0
11,2023-09-03 11:00:00,2023-09-06 01:46:43,3.0,657.52,797.0,260.0,0.0,2.0,0.0,68.0
12,2023-09-03 12:00:00,2023-09-06 01:46:43,3.0,661.32,891.0,232.0,0.0,0.0,22.0,67.0
13,2023-09-03 13:00:00,2023-09-06 01:46:43,3.0,602.95,905.0,281.0,0.0,2.0,122.0,68.0
14,2023-09-03 14:00:00,2023-09-06 01:46:43,3.0,595.48,1095.0,270.0,0.0,2.0,196.0,67.0
15,2023-09-03 15:00:00,2023-09-06 01:46:43,3.0,615.12,1304.0,238.0,0.0,1.0,207.0,66.0
16,2023-09-03 16:00:00,2023-09-06 01:46:43,3.0,615.52,1429.0,288.0,0.0,2.0,214.0,69.0
17,2023-09-03 17:00:00,2023-09-06 01:46:43,3.0,606.15,1540.0,296.0,0.0,59.0,213.0,69.0
18,2023-09-03 18:00:00,2023-09-06 01:46:43,3.0,608.4,1718.0,351.0,0.0,72.0,215.0,65.0
19,2023-09-03 19:00:00,2023-09-06 01:46:43,3.0,600.77,1721.0,438.0,0.0,73.0,212.0,67.0
20,2023-09-03 20:00:00,2023-09-06 01:46:43,3.0,607.88,1876.0,475.0,0.0,70.0,210.0,66.0
21,2023-09-03 21:00:00,2023-09-06 01:46:43,3.0,610.28,1907.0,475.0,0.0,71.0,206.0,66.0
22,2023-09-03 22:00:00,2023-09-06 01:46:43,3.0,618.65,1911.0,470.0,0.0,72.0,171.0,67.0
23,2023-09-03 23:00:00,2023-09-06 01:46:43,3.0,643.62,1967.0,467.0,0.0,72.0,78.0,67.0
