UTC time,oil,wind,biomass,geothermal,unknown,hydro,nat_gas,nuclear,solar,coal
2023-01-01 00:00:00,160.0,22988.0,1552.0,0.0,344.0,13496.0,11928.0,25864.0,80.0,1620.0
2023-01-01 01:00:00,160.0,22312.0,1540.0,0.0,336.0,12800.0,11636.0,25876.0,80.0,1736.0
2023-01-01 02:00:00,160.0,21600.0,1588.0,0.0,348.0,11336.0,10980.0,25876.0,80.0,1728.0
2023-01-01 03:00:00,160.0,19064.0,1648.0,0.0,340.0,10832.0,10672.0,25872.0,80.0,1728.0
2023-01-01 04:00:00,160.0,17656.0,1644.0,0.0,328.0,10692.0,10316.0,25872.0,68.0,1724.0
2023-01-01 05:00:00,156.0,17956.0,1604.0,0.0,324.0,10296.0,10004.0,25872.0,64.0,1728.0
2023-01-01 06:00:00,160.0,19132.0,1568.0,0.0,336.0,11240.0,9976.0,25872.0,64.0,1728.0
2023-01-01 07:00:00,160.0,17824.0,1608.0,0.0,324.0,11776.0,10212.0,25872.0,100.0,1724.0
2023-01-01 08:00:00,156.0,16464.0,1536.0,0.0,328.0,12904.0,10528.0,25872.0,2172.0,1792.0
2023-01-01 09:00:00,112.0,19640.0,1504.0,0.0,344.0,13148.0,10440.0,25872.0,8512.0,1840.0
2023-01-01 10:00:00,132.0,22844.0,1580.0,0.0,348.0,13144.0,11460.0,25856.0,14808.0,2044.0
2023-01-01 11:00:00,164.0,24280.0,1560.0,0.0,356.0,12648.0,11324.0,25868.0,17884.0,2004.0
2023-01-01 12:00:00,172.0,24336.0,1560.0,0.0,352.0,12412.0,10632.0,25864.0,20768.0,2056.0
2023-01-01 13:00:00,176.0,24156.0,1584.0,0.0,344.0,12760.0,11180.0,25856.0,21188.0,2216.0
2023-01-01 14:00:00,168.0,23336.0,1564.0,0.0,340.0,13208.0,11184.0,25844.0,19124.0,2148.0
2023-01-01 15:00:00,172.0,23268.0,1572.0,0.0,332.0,13472.0,12440.0,25832.0,13108.0,2060.0
2023-01-01 16:00:00,172.0,28540.0,1564.0,0.0,332.0,13732.0,12864.0,25824.0,4124.0,1816.0
2023-01-01 17:00:00,172.0,39264.0,1612.0,0.0,328.0,14708.0,10012.0,25824.0,192.0,1744.0
2023-01-01 18:00:00,168.0,42044.0,1600.0,0.0,324.0,16960.0,8592.0,25832.0,8.0,1828.0
2023-01-01 19:00:00,164.0,42452.0,1584.0,0.0,340.0,18660.0,8584.0,25828.0,0.0,1860.0
2023-01-01 20:00:00,168.0,41636.0,1580.0,0.0,336.0,19696.0,8800.0,25820.0,0.0,1816.0
2023-01-01 21:00:00,164.0,42900.0,1572.0,0.0,340.0,18000.0,8824.0,25824.0,0.0,1748.0
2023-01-01 22:00:00,176.0,43800.0,1584.0,0.0,344.0,14352.0,9192.0,25836.0,0.0,1748.0
2023-01-01 23:00:00,220.0,43160.0,1600.0,0.0,344.0,13512.0,11608.0,25836.0,0.0,1760.0
2023-01-02 00:00:00,248.0,43988.0,1608.0,0.0,328.0,14044.0,14188.0,25824.0,0.0,1796.0
2023-01-02 01:00:00,268.0,38456.0,1640.0,0.0,316.0,15888.0,14508.0,25828.0,0.0,1780.0
2023-01-02 02:00:00,272.0,33476.0,1636.0,0.0,312.0,15936.0,13812.0,25808.0,0.0,1844.0
2023-01-02 03:00:00,272.0,30196.0,1704.0,0.0,332.0,16268.0,14424.0,25824.0,0.0,1848.0
2023-01-02 04:00:00,292.0,25776.0,1868.0,0.0,324.0,17400.0,16032.0,25828.0,0.0,1872.0
2023-01-02 05:00:00,304.0,21980.0,1876.0,0.0,316.0,17696.0,17424.0,25884.0,0.0,1840.0
2023-01-02 06:00:00,300.0,18848.0,1948.0,0.0,316.0,18064.0,22272.0,26172.0,0.0,1844.0
2023-01-02 07:00:00,336.0,16656.0,2080.0,0.0,344.0,20360.0,26096.0,26488.0,68.0,1868.0
2023-01-02 08:00:00,400.0,14200.0,2208.0,0.0,352.0,21564.0,28328.0,26728.0,2296.0,2056.0
2023-01-02 09:00:00,412.0,10972.0,2284.0,0.0,356.0,23672.0,29620.0,26952.0,8148.0,2248.0
2023-01-02 10:00:00,448.0,8332.0,2292.0,0.0,372.0,22240.0,30204.0,27188.0,14156.0,2316.0
2023-01-02 11:00:00,496.0,7132.0,2268.0,0.0,388.0,20948.0,29748.0,27420.0,18024.0,2300.0
2023-01-02 12:00:00,496.0,6524.0,2276.0,0.0,396.0,21908.0,28780.0,27648.0,20196.0,2332.0
2023-01-02 13:00:00,500.0,6012.0,2312.0,0.0,396.0,24060.0,28720.0,27880.0,19340.0,2400.0
2023-01-02 14:00:00,512.0,5768.0,2296.0,0.0,400.0,24948.0,29312.0,28088.0,15056.0,2400.0
2023-01-02 15:00:00,508.0,6076.0,2336.0,0.0,396.0,25036.0,29944.0,28208.0,11176.0,2328.0
2023-01-02 16:00:00,540.0,6448.0,2348.0,0.0,384.0,24600.0,31896.0,28236.0,4608.0,2388.0
2023-01-02 17:00:00,572.0,7792.0,2368.0,0.0,392.0,26136.0,33108.0,28240.0,272.0,2392.0
2023-01-02 18:00:00,576.0,9616.0,2396.0,0.0,408.0,27104.0,32568.0,28236.0,0.0,2352.0
2023-01-02 19:00:00,576.0,10928.0,2492.0,0.0,400.0,27224.0,31480.0,28264.0,0.0,2368.0
2023-01-02 20:00:00,548.0,11996.0,2480.0,0.0,400.0,27168.0,30404.0,28252.0,0.0,2212.0
2023-01-02 21:00:00,516.0,12196.0,2500.0,0.0,392.0,25984.0,28672.0,28232.0,0.0,2184.0
2023-01-02 22:00:00,404.0,11972.0,2508.0,0.0,412.0,23060.0,26336.0,28236.0,0.0,2124.0
2023-01-02 23:00:00,360.0,12516.0,2484.0,0.0,376.0,21796.0,22576.0,28240.0,0.0,2008.0
2023-01-03 00:00:00,352.0,13920.0,2440.0,0.0,336.0,19116.0,19904.0,28248.0,0.0,1964.0
2023-01-03 01:00:00,352.0,13984.0,2424.0,0.0,348.0,19792.0,19800.0,28264.0,0.0,1856.0
2023-01-03 02:00:00,356.0,13452.0,2472.0,0.0,352.0,20728.0,20364.0,28260.0,0.0,1872.0
2023-01-03 03:00:00,364.0,13876.0,2476.0,0.0,344.0,20056.0,20224.0,28248.0,0.0,1812.0
