datetime,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_oil_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast,avg_other_production_forecast
2023-08-08 00:00:00,2023-08-08 18:44:47,3.0,3.577698763784914,294.9445915856366,287.2022457187068,35.783162338477,0.3468419615275766,29639.24631,40154.92196,11664.32246,2449.45543,10235.61027,2815.64001,357.80671
2023-08-08 01:00:00,2023-08-08 18:44:47,3.0,3.577698763784914,294.9445915856366,287.2022457187068,35.783162338477,0.3468419615275766,29274.17582,38602.29439,11672.53899,2395.43464,5271.90996,2814.87996,357.74192
2023-08-08 02:00:00,2023-08-08 18:44:47,3.0,3.577698763784914,294.9445915856366,287.2022457187068,35.783162338477,0.3468419615275766,28365.71318,37307.55997,11674.59656,2218.35576,931.17002,2741.79007,351.51066
2023-08-08 03:00:00,2023-08-08 18:44:47,3.0,3.577698763784914,294.9445915856366,287.2022457187068,35.783162338477,0.3468419615275766,26874.32576,36037.24233,11675.7172,2051.0393,0.0,2812.53001,357.54157
2023-08-08 04:00:00,2023-08-08 18:44:47,3.0,3.277589970210758,293.1904171796534,287.4761600541162,35.783162338477,0.3468419615275766,25549.68907,35005.37213,11670.33582,1772.3653,0.0,2986.46998,372.37076
2023-08-08 05:00:00,2023-08-08 18:44:47,3.0,3.277589970210758,293.1904171796534,287.4761600541162,35.783162338477,0.3468419615275766,24423.55454,33287.20806,11665.38821,1529.01033,0.0,3035.65015,376.5636
2023-08-08 06:00:00,2023-08-08 18:44:47,3.0,3.277589970210758,293.1904171796534,287.4761600541162,35.783162338477,0.3468419615275766,23465.97119,31590.97785,11635.36332,1232.99433,0.0,2951.32995,369.37491
2023-08-08 07:00:00,2023-08-08 18:44:47,3.0,2.991668918304967,292.1395512827752,287.6017228776254,17.89152933535599,0.5692204371963292,22299.14522,29871.81382,11639.35228,1050.22501,0.0,2932.48008,367.76787
2023-08-08 08:00:00,2023-08-08 18:44:47,3.0,2.991668918304967,292.1395512827752,287.6017228776254,17.89152933535599,0.5692204371963292,21416.08629,28306.5301,11640.85676,835.64017,0.0,2812.32995,357.52452
2023-08-08 09:00:00,2023-08-08 18:44:47,3.0,2.991668918304967,292.1395512827752,287.6017228776254,17.89152933535599,0.5692204371963292,21136.60901,27174.56597,11642.78016,658.29286,0.0,2724.11007,350.00336
2023-08-08 10:00:00,2023-08-08 18:44:47,3.0,2.650165648021208,292.0429589416029,287.8667841244956,0.0,0.7847537791012562,20995.86285,26575.88612,11601.38529,481.5001,0.0,2688.64995,346.98022
2023-08-08 11:00:00,2023-08-08 18:44:47,3.0,2.650165648021208,292.0429589416029,287.8667841244956,0.0,0.7847537791012562,21578.24577,27121.04851,11588.10946,481.08385,0.0,2665.30993,344.99038
2023-08-08 12:00:00,2023-08-08 18:44:47,3.0,2.650165648021208,292.0429589416029,287.8667841244956,0.0,0.7847537791012562,22442.16823,28243.25847,11578.41017,507.57294,0.08,2556.76996,335.73684
2023-08-08 13:00:00,2023-08-08 18:44:47,3.0,3.341601356413957,297.4645017345764,288.0074708197475,4.059294989118973,1.0690663887555722,23583.64199,29719.71543,11556.94181,624.86158,1253.94998,2350.70003,318.16842
2023-08-08 14:00:00,2023-08-08 18:44:47,3.0,3.341601356413957,297.4645017345764,288.0074708197475,4.059294989118973,1.0690663887555722,25155.1526,31663.68253,11565.89554,687.71299,6058.62015,2052.03005,292.70542
2023-08-08 15:00:00,2023-08-08 18:44:47,3.0,3.341601356413957,297.4645017345764,288.0074708197475,4.059294989118973,1.0690663887555722,26583.03504,33644.72909,11577.98478,813.33652,10786.82961,1774.00009,269.00207
2023-08-08 16:00:00,2023-08-08 18:44:47,3.0,3.88912956388168,301.7153519711066,286.7626936769847,287.1086640723965,1.3557281167192108,27666.93092,35566.11746,11579.91503,1025.38567,12591.1596,1613.57006,255.32467
2023-08-08 17:00:00,2023-08-08 18:44:47,3.0,3.88912956388168,301.7153519711066,286.7626936769847,287.1086640723965,1.3557281167192108,28754.67877,37627.07468,11583.98023,1258.17685,13240.54006,1556.00994,250.4174
2023-08-08 18:00:00,2023-08-08 18:44:47,3.0,3.88912956388168,301.7153519711066,286.7626936769847,287.1086640723965,1.3557281167192108,29839.01457,38779.01322,11584.39456,1497.82644,13557.68981,1671.14993,260.23362
2023-08-08 19:00:00,2023-08-08 18:44:47,3.0,4.196597011520319,302.8695854757523,286.1803307637829,503.881091570309,1.5309288091649238,30764.44736,39349.29864,11584.40905,1707.96861,13659.35974,1951.24007,284.1126
2023-08-08 20:00:00,2023-08-08 18:44:47,3.0,4.196597011520319,302.8695854757523,286.1803307637829,503.881091570309,1.5309288091649238,31220.54887,39442.49598,11575.5125,1852.30252,13587.82964,2287.28,312.76157
