,UTC time,carbon_intensity,nat_gas,nuclear,oil,hydro,solar,wind,biomass,unknown
0,2019-01-01 00:00:00,193.05,1637.0,2376.0,0.0,39.0,0.0,0.0,417.0,673.0
1,2019-01-01 01:00:00,187.79,1587.0,2383.0,0.0,40.0,0.0,0.0,418.0,631.0
2,2019-01-01 02:00:00,186.23,1598.0,2413.0,0.0,39.0,0.0,0.0,417.0,619.0
3,2019-01-01 03:00:00,183.82,1535.0,2416.0,0.0,37.0,0.0,0.0,419.0,619.0
4,2019-01-01 04:00:00,185.05,1566.0,2438.0,0.0,34.0,0.0,0.0,427.0,633.0
5,2019-01-01 05:00:00,183.63,1501.0,2451.0,0.0,35.0,0.0,0.0,427.0,652.0
6,2019-01-01 06:00:00,187.82,1602.0,2449.0,0.0,35.0,0.0,0.0,445.0,667.0
7,2019-01-01 07:00:00,189.04,1652.0,2449.0,0.0,35.0,0.0,0.0,455.0,665.0
8,2019-01-01 08:00:00,190.45,1677.0,2452.0,0.0,35.0,13.0,0.0,452.0,679.0
9,2019-01-01 09:00:00,186.62,1612.0,2464.0,0.0,37.0,66.0,0.0,453.0,690.0
10,2019-01-01 10:00:00,186.61,1698.0,2493.0,0.0,38.0,126.0,0.0,452.0,692.0
11,2019-01-01 11:00:00,187.73,1721.0,2532.0,0.0,38.0,121.0,0.0,455.0,715.0
12,2019-01-01 12:00:00,193.87,1919.0,2567.0,0.0,37.0,90.0,0.0,455.0,715.0
13,2019-01-01 13:00:00,196.73,1865.0,2570.0,0.0,38.0,70.0,0.0,445.0,770.0
14,2019-01-01 14:00:00,202.97,2015.0,2573.0,0.0,38.0,54.0,0.0,445.0,792.0
15,2019-01-01 15:00:00,202.67,2011.0,2577.0,0.0,38.0,9.0,0.0,438.0,763.0
16,2019-01-01 16:00:00,201.83,2107.0,2573.0,0.0,37.0,0.0,0.0,438.0,699.0
17,2019-01-01 17:00:00,199.97,2170.0,2588.0,0.0,37.0,0.0,0.0,443.0,652.0
18,2019-01-01 18:00:00,194.69,2074.0,2626.0,0.0,36.0,0.0,0.0,440.0,632.0
19,2019-01-01 19:00:00,194.05,2121.0,2645.0,0.0,36.0,0.0,0.0,422.0,601.0
20,2019-01-01 20:00:00,195.27,2223.0,2675.0,0.0,36.0,0.0,0.0,410.0,582.0
21,2019-01-01 21:00:00,192.43,2190.0,2698.0,0.0,36.0,0.0,0.0,418.0,569.0
22,2019-01-01 22:00:00,199.15,2293.0,2708.0,0.0,36.0,0.0,0.0,416.0,632.0
23,2019-01-01 23:00:00,209.18,2583.0,2711.0,0.0,36.0,0.0,0.0,414.0,672.0
24,2019-01-02 00:00:00,211.12,2685.0,2740.0,0.0,36.0,0.0,0.0,403.0,672.0
25,2019-01-02 01:00:00,209.12,2676.0,2743.0,0.0,36.0,0.0,0.0,403.0,642.0
26,2019-01-02 02:00:00,210.82,2741.0,2746.0,0.0,36.0,0.0,0.0,400.0,644.0
27,2019-01-02 03:00:00,212.65,2856.0,2756.0,0.0,36.0,0.0,0.0,405.0,636.0
28,2019-01-02 04:00:00,219.46,3133.0,2775.0,0.0,35.0,0.0,0.0,389.0,648.0
29,2019-01-02 05:00:00,235.23,3758.0,2789.0,0.0,34.0,0.0,0.0,367.0,718.0
30,2019-01-02 06:00:00,245.62,4290.0,2793.0,0.0,35.0,0.0,0.0,346.0,747.0
31,2019-01-02 07:00:00,248.31,4536.0,2828.0,0.0,35.0,0.0,0.0,365.0,764.0
32,2019-01-02 08:00:00,248.12,4623.0,2838.0,0.0,35.0,54.0,0.0,386.0,791.0
33,2019-01-02 09:00:00,247.13,4750.0,2840.0,35.0,35.0,180.0,0.0,392.0,801.0
34,2019-01-02 10:00:00,247.68,4845.0,2844.0,153.0,34.0,294.0,0.0,389.0,810.0
35,2019-01-02 11:00:00,245.76,4897.0,2866.0,154.0,35.0,350.0,0.0,394.0,798.0
36,2019-01-02 12:00:00,246.4,4920.0,2906.0,154.0,35.0,310.0,0.0,409.0,819.0
37,2019-01-02 13:00:00,244.79,4883.0,2939.0,153.0,34.0,247.0,0.0,452.0,796.0
38,2019-01-02 14:00:00,246.96,4923.0,2942.0,154.0,34.0,127.0,0.0,489.0,783.0
39,2019-01-02 15:00:00,249.36,4879.0,2949.0,154.0,34.0,18.0,0.0,531.0,823.0
40,2019-01-02 16:00:00,246.43,4931.0,2966.0,12.0,32.0,0.0,0.0,593.0,833.0
41,2019-01-02 17:00:00,247.26,5013.0,2966.0,0.0,31.0,0.0,0.0,613.0,846.0
42,2019-01-02 18:00:00,245.34,5008.0,2965.0,0.0,31.0,0.0,0.0,637.0,810.0
43,2019-01-02 19:00:00,243.52,4850.0,2953.0,0.0,32.0,0.0,0.0,627.0,803.0
44,2019-01-02 20:00:00,232.45,4260.0,2991.0,0.0,32.0,0.0,0.0,625.0,765.0
45,2019-01-02 21:00:00,234.11,4498.0,3019.0,0.0,31.0,0.0,0.0,621.0,728.0
46,2019-01-02 22:00:00,235.11,4493.0,3042.0,0.0,30.0,0.0,0.0,613.0,766.0
47,2019-01-02 23:00:00,218.33,3534.0,3083.0,0.0,30.0,0.0,0.0,613.0,778.0
48,2019-01-03 00:00:00,204.73,3015.0,3113.0,0.0,32.0,0.0,0.0,609.0,730.0
49,2019-01-03 01:00:00,202.25,2936.0,3141.0,0.0,35.0,0.0,0.0,612.0,734.0
50,2019-01-03 02:00:00,200.21,2839.0,3165.0,0.0,37.0,0.0,0.0,617.0,754.0
51,2019-01-03 03:00:00,200.17,2922.0,3194.0,0.0,37.0,0.0,0.0,615.0,730.0
52,2019-01-03 04:00:00,206.54,3133.0,3220.0,0.0,35.0,0.0,0.0,607.0,775.0
53,2019-01-03 05:00:00,215.11,3560.0,3275.0,0.0,28.0,0.0,0.0,607.0,805.0
54,2019-01-03 06:00:00,229.05,4372.0,3304.0,0.0,24.0,0.0,0.0,607.0,824.0
55,2019-01-03 07:00:00,232.56,4691.0,3343.0,0.0,27.0,0.0,0.0,617.0,825.0
56,2019-01-03 08:00:00,230.52,4693.0,3386.0,0.0,30.0,53.0,0.0,611.0,830.0
57,2019-01-03 09:00:00,226.48,4652.0,3429.0,0.0,31.0,173.0,0.0,609.0,841.0
58,2019-01-03 10:00:00,222.09,4584.0,3464.0,0.0,31.0,300.0,0.0,610.0,851.0
59,2019-01-03 11:00:00,221.1,4642.0,3483.0,0.0,29.0,370.0,0.0,608.0,852.0
60,2019-01-03 12:00:00,219.07,4566.0,3481.0,0.0,30.0,406.0,0.0,608.0,849.0
61,2019-01-03 13:00:00,221.73,4611.0,3480.0,0.0,30.0,296.0,0.0,614.0,839.0
62,2019-01-03 14:00:00,225.69,4658.0,3480.0,0.0,30.0,157.0,0.0,627.0,850.0
63,2019-01-03 15:00:00,229.81,4686.0,3480.0,0.0,30.0,23.0,0.0,622.0,863.0
64,2019-01-03 16:00:00,229.14,4671.0,3483.0,0.0,30.0,0.0,0.0,637.0,847.0
65,2019-01-03 17:00:00,228.73,4747.0,3480.0,0.0,30.0,0.0,0.0,639.0,804.0
66,2019-01-03 18:00:00,228.72,4760.0,3479.0,0.0,30.0,0.0,0.0,641.0,799.0
67,2019-01-03 19:00:00,227.43,4701.0,3479.0,0.0,30.0,0.0,0.0,639.0,786.0
68,2019-01-03 20:00:00,226.02,4600.0,3482.0,0.0,31.0,0.0,0.0,614.0,775.0
69,2019-01-03 21:00:00,212.72,4050.0,3479.0,0.0,32.0,0.0,0.0,611.0,662.0
