Unnamed: 0,UTC time,carbon_intensity,coal,nat_gas,nuclear,hydro,solar,wind,other
40920,2023-09-02 00:00:00,265.27,695.0,2889.0,3946.0,39.0,97.0,18.0,0.0
40921,2023-09-02 01:00:00,262.74,684.0,2964.0,3950.0,39.0,175.0,69.0,1.0
40922,2023-09-02 02:00:00,249.49,561.0,2914.0,3954.0,175.0,142.0,92.0,19.0
40923,2023-09-02 03:00:00,245.58,491.0,2965.0,3954.0,186.0,196.0,50.0,20.0
40924,2023-09-02 04:00:00,246.04,485.0,2956.0,3949.0,186.0,198.0,14.0,20.0
40925,2023-09-02 05:00:00,247.29,510.0,2924.0,3951.0,185.0,189.0,5.0,19.0
40926,2023-09-02 06:00:00,256.83,605.0,2736.0,3950.0,41.0,6.0,5.0,1.0
40927,2023-09-02 07:00:00,251.78,529.0,2741.0,3952.0,23.0,0.0,3.0,0.0
40928,2023-09-02 08:00:00,252.77,488.0,2855.0,3951.0,5.0,0.0,7.0,0.0
40929,2023-09-02 09:00:00,253.25,485.0,2896.0,3952.0,6.0,25.0,2.0,0.0
40930,2023-09-02 10:00:00,247.87,484.0,2737.0,3952.0,6.0,28.0,2.0,0.0
40931,2023-09-02 11:00:00,236.9,485.0,2424.0,3951.0,6.0,30.0,3.0,0.0
40932,2023-09-02 12:00:00,239.43,485.0,2488.0,3954.0,6.0,23.0,0.0,0.0
40933,2023-09-02 13:00:00,239.31,485.0,2471.0,3956.0,6.0,3.0,0.0,0.0
40934,2023-09-02 14:00:00,237.91,485.0,2428.0,3939.0,6.0,17.0,0.0,0.0
40935,2023-09-02 15:00:00,249.46,484.0,2761.0,3954.0,6.0,0.0,0.0,0.0
40936,2023-09-02 16:00:00,233.99,485.0,2422.0,3941.0,6.0,149.0,0.0,0.0
40937,2023-09-02 17:00:00,233.25,485.0,2481.0,3935.0,6.0,264.0,0.0,0.0
40938,2023-09-02 18:00:00,238.42,485.0,2656.0,3936.0,5.0,300.0,0.0,0.0
40939,2023-09-02 19:00:00,242.44,485.0,2833.0,3939.0,6.0,367.0,0.0,0.0
40940,2023-09-02 20:00:00,248.05,503.0,3057.0,3924.0,6.0,491.0,0.0,0.0
40941,2023-09-02 21:00:00,242.94,487.0,2910.0,3925.0,6.0,466.0,0.0,0.0
40942,2023-09-02 22:00:00,242.02,524.0,2789.0,3931.0,6.0,454.0,0.0,1.0
40943,2023-09-02 23:00:00,254.69,590.0,3020.0,3929.0,6.0,466.0,0.0,19.0
