Unnamed: 0,UTC time,carbon_intensity,coal,nat_gas,nuclear,hydro,solar,wind,other
38304,2023-05-16 00:00:00,270.43,166.0,4365.0,3482.0,187.0,460.0,0.0,0.0
38305,2023-05-16 01:00:00,272.44,168.0,4278.0,3484.0,188.0,313.0,0.0,6.0
38306,2023-05-16 02:00:00,278.03,200.0,4207.0,3487.0,187.0,124.0,14.0,18.0
38307,2023-05-16 03:00:00,283.78,202.0,4318.0,3483.0,189.0,11.0,26.0,16.0
38308,2023-05-16 04:00:00,281.77,190.0,4293.0,3487.0,188.0,1.0,25.0,0.0
38309,2023-05-16 05:00:00,285.72,196.0,4232.0,3492.0,48.0,0.0,3.0,0.0
38310,2023-05-16 06:00:00,268.12,145.0,3721.0,3488.0,42.0,0.0,8.0,0.0
38311,2023-05-16 07:00:00,300.08,135.0,4972.0,3497.0,14.0,0.0,11.0,0.0
38312,2023-05-16 08:00:00,239.51,160.0,2816.0,3498.0,8.0,0.0,3.0,0.0
38313,2023-05-16 09:00:00,230.16,151.0,2608.0,3506.0,9.0,0.0,0.0,0.0
38314,2023-05-16 10:00:00,231.52,135.0,2686.0,3517.0,8.0,0.0,0.0,0.0
38315,2023-05-16 11:00:00,228.16,135.0,2636.0,3566.0,8.0,0.0,0.0,5.0
38316,2023-05-16 12:00:00,229.83,138.0,2685.0,3584.0,8.0,0.0,0.0,5.0
38317,2023-05-16 13:00:00,237.48,204.0,2755.0,3612.0,7.0,12.0,0.0,8.0
38318,2023-05-16 14:00:00,226.22,227.0,2592.0,3633.0,8.0,213.0,0.0,0.0
38319,2023-05-16 15:00:00,208.53,240.0,2275.0,3657.0,8.0,409.0,0.0,0.0
38320,2023-05-16 16:00:00,198.72,269.0,2029.0,3670.0,8.0,465.0,0.0,0.0
38321,2023-05-16 17:00:00,188.61,249.0,1886.0,3693.0,8.0,502.0,0.0,0.0
38322,2023-05-16 18:00:00,178.84,238.0,1719.0,3711.0,9.0,500.0,0.0,0.0
38323,2023-05-16 19:00:00,198.46,330.0,1966.0,3750.0,9.0,505.0,0.0,0.0
38324,2023-05-16 20:00:00,225.07,358.0,2582.0,3779.0,8.0,501.0,0.0,0.0
38325,2023-05-16 21:00:00,238.03,352.0,3002.0,3815.0,8.0,479.0,21.0,0.0
38326,2023-05-16 22:00:00,237.22,370.0,3127.0,3849.0,176.0,482.0,40.0,0.0
38327,2023-05-16 23:00:00,246.4,398.0,3387.0,3879.0,189.0,431.0,65.0,0.0
