UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast,avg_other_production_forecast
2023-07-25 00:00:00,2024-07-17 00:00:00,3.1,6.228805810497703,308.1129619842385,286.5825463819445,710.9803954758104,0.0319882435489912,11017.67872,44452.62936,4917.35299,125.83723,7113.44084,13781.63573,107.64217
2023-07-25 01:00:00,2024-07-17 00:00:00,3.1,5.230900847187983,302.59955244158937,288.24968115024285,53.6466256494961,0.0028300647555319,10564.57578,42626.20755,4915.37418,114.09483,5389.74995,13841.18404,106.85405
2023-07-25 02:00:00,2024-07-17 00:00:00,3.1,5.230900847187983,302.59955244158937,288.24968115024285,53.6466256494961,0.0028300647555319,10092.81081,39472.9126,4920.50862,101.23855,3299.17546,13745.96148,106.45232
2023-07-25 03:00:00,2024-07-17 00:00:00,3.1,5.230900847187983,302.59955244158937,288.24968115024285,53.6466256494961,0.0028300647555319,9748.85605,35614.14633,4915.17754,96.36697,901.66507,14007.49898,101.42343
2023-07-25 04:00:00,2024-07-17 00:00:00,3.1,5.1169799053448255,300.6666118942027,289.0858053827915,26.82322243444996,0.0066594153393762,9330.39281,31723.94125,4915.042,83.20167,0.0,14302.03473,105.41331
2023-07-25 05:00:00,2024-07-17 00:00:00,3.1,5.1169799053448255,300.6666118942027,289.0858053827915,26.82322243444996,0.0066594153393762,8734.72978,28609.49708,4914.42175,61.31344,0.0,14547.9903,109.14089
2023-07-25 06:00:00,2024-07-17 00:00:00,3.1,5.1169799053448255,300.6666118942027,289.0858053827915,26.82322243444996,0.0066594153393762,8041.97077,25687.20142,4913.30539,36.46679,0.0,14961.76109,120.73114
2023-07-25 07:00:00,2024-07-17 00:00:00,3.1,4.428804281081051,299.0224371290332,289.760452227832,0.0,0.0346609178621889,7384.32995,23306.11425,4913.59315,20.75189,0.0,15046.00121,127.4133
2023-07-25 08:00:00,2024-07-17 00:00:00,3.1,4.428804281081051,299.0224371290332,289.760452227832,0.0,0.0346609178621889,6661.56954,21805.32398,4916.78872,11.66309,0.0,15026.98757,126.45717
2023-07-25 09:00:00,2024-07-17 00:00:00,3.1,4.428804281081051,299.0224371290332,289.760452227832,0.0,0.0346609178621889,6276.802,21440.24323,4921.64615,0.0,0.0,14903.41874,159.59071
2023-07-25 10:00:00,2024-07-17 00:00:00,3.1,3.688863751729059,297.8378009251827,290.2804477779546,0.4019966380555287,0.1345261497620349,6174.24084,20962.46755,4924.00798,0.0,360.10291,14846.26642,145.99104
2023-07-25 11:00:00,2024-07-17 00:00:00,3.1,3.688863751729059,297.8378009251827,290.2804477779546,0.4019966380555287,0.1345261497620349,6019.42616,21601.43601,4912.98252,0.0,439.03904,14539.47863,156.83546
2023-07-25 12:00:00,2024-07-17 00:00:00,3.1,3.688863751729059,297.8378009251827,290.2804477779546,0.4019966380555287,0.1345261497620349,6098.62558,22657.22761,4905.43203,0.0,446.20113,14083.87972,159.38083
2023-07-25 13:00:00,2024-07-17 00:00:00,3.1,4.964883117720052,302.9518198687332,290.35466943236247,275.1939918579819,0.0422183884585315,6464.48624,24184.9677,4899.37772,0.0,1971.25751,13587.70956,149.59459
2023-07-25 14:00:00,2024-07-17 00:00:00,3.1,4.964883117720052,302.9518198687332,290.35466943236247,275.1939918579819,0.0422183884585315,6964.139,26038.70415,4894.35139,0.0,3738.70061,13072.28711,107.94618
2023-07-25 15:00:00,2024-07-17 00:00:00,3.1,4.964883117720052,302.9518198687332,290.35466943236247,275.1939918579819,0.0422183884585315,7513.10206,27983.31929,4892.36216,4.28868,6613.03674,12559.47384,110.63713
2023-07-25 16:00:00,2024-07-17 00:00:00,3.1,5.189553979458541,307.7209970529252,287.9282304169843,543.9459724558315,0.0761221050345427,8222.6007,30456.22246,4895.65621,19.17472,10220.9736,11969.34116,113.59863
2023-07-25 17:00:00,2024-07-17 00:00:00,3.1,5.189553979458541,307.7209970529252,287.9282304169843,543.9459724558315,0.0761221050345427,8972.35752,33492.17198,4896.57015,35.5488,13455.05439,11232.1506,120.29679
2023-07-25 18:00:00,2024-07-17 00:00:00,3.1,5.189553979458541,307.7209970529252,287.9282304169843,543.9459724558315,0.0761221050345427,9698.31514,36554.72957,4899.51791,63.39103,15069.70011,10698.57521,121.17257
2023-07-25 19:00:00,2024-07-17 00:00:00,3.1,5.695658644095285,309.7535804057256,286.158703282711,933.8151144664752,0.0279673086945282,10253.36568,38571.80309,4899.29768,86.52019,15261.65219,10465.19306,115.5302
2023-07-25 20:00:00,2024-07-17 00:00:00,3.1,5.695658644095285,309.7535804057256,286.158703282711,933.8151144664752,0.0279673086945282,10393.73535,40506.69328,4906.53395,107.51882,14467.99828,10275.96581,125.80159
2023-07-25 21:00:00,2024-07-17 00:00:00,3.1,5.695658644095285,309.7535804057256,286.158703282711,933.8151144664752,0.0279673086945282,10545.04446,42129.05552,4924.65967,118.71701,12794.38487,10061.579,116.66362
2023-07-25 22:00:00,2024-07-17 00:00:00,3.1,6.181273620840647,308.10025036042884,286.4201158674966,736.8681033612468,0.0506882029863629,10788.06333,43239.9667,4918.34568,121.36299,11271.72356,10034.99712,108.23211
2023-07-25 23:00:00,2024-07-17 00:00:00,3.1,6.181273620840647,308.10025036042884,286.4201158674966,736.8681033612468,0.0506882029863629,10828.04016,43007.37542,4903.32828,115.30091,10155.11457,10324.95805,111.05732
2023-07-26 00:00:00,2024-07-17 00:00:00,3.1,6.181273620840647,308.10025036042884,286.4201158674966,736.8681033612468,0.0506882029863629,10556.53256,43447.81588,4895.26853,126.53594,7796.77641,13993.38392,107.64217
2023-07-26 01:00:00,2024-07-17 00:00:00,3.1,5.658067982667201,302.7694790765262,287.33775304178124,52.93554502277309,0.0126266399038667,10163.28295,41693.20066,4893.34779,115.05295,5990.23282,14123.65868,106.85405
2023-07-26 02:00:00,2024-07-17 00:00:00,3.1,5.658067982667201,302.7694790765262,287.33775304178124,52.93554502277309,0.0126266399038667,9752.8082,38654.93815,4898.49682,102.43208,3758.09692,14144.09306,106.45232
2023-07-26 03:00:00,2024-07-17 00:00:00,3.1,5.658067982667201,302.7694790765262,287.33775304178124,52.93554502277309,0.0126266399038667,9470.7295,34912.3089,4893.23551,97.81333,1211.53499,14529.45236,101.42343
2023-07-26 04:00:00,2024-07-17 00:00:00,3.1,5.145707907203889,300.4584836101815,288.4088795113869,26.467558759630908,0.0399932098915139,9129.9874,31129.56279,4893.1234,84.88833,0.0,15002.80646,105.41331
2023-07-26 05:00:00,2024-07-17 00:00:00,3.1,5.145707907203889,300.4584836101815,288.4088795113869,26.467558759630908,0.0399932098915139,8620.32516,28083.29997,4892.5434,63.19098,0.0,15429.76318,109.14089
2023-07-26 06:00:00,2024-07-17 00:00:00,3.1,5.145707907203889,300.4584836101815,288.4088795113869,26.467558759630908,0.0399932098915139,8018.34874,25202.27767,4891.46314,38.46691,0.0,15986.64624,120.73114
2023-07-26 07:00:00,2024-07-17 00:00:00,3.1,4.116317103544004,298.87899990165363,288.9781281902948,0.0,0.0231992524218155,7449.86839,22836.90846,4891.765,23.01237,0.0,16221.29003,127.4133
2023-07-26 08:00:00,2024-07-17 00:00:00,3.1,4.116317103544004,298.87899990165363,288.9781281902948,0.0,0.0231992524218155,6820.63912,21317.26673,4894.97725,14.01388,0.0,16363.39681,126.45717
2023-07-26 09:00:00,2024-07-17 00:00:00,3.1,4.116317103544004,298.87899990165363,288.9781281902948,0.0,0.0231992524218155,6510.4867,20890.71288,4899.85121,0.0,0.0,16378.54282,159.59071
2023-07-26 10:00:00,2024-07-17 00:00:00,3.1,3.4206311714347057,297.66271033096115,289.4829252295326,0.3601311957520656,0.0382588404536743,6459.5122,20368.45824,4902.24015,0.0,324.59974,16471.25007,145.99104
2023-07-26 11:00:00,2024-07-17 00:00:00,3.1,3.4206311714347057,297.66271033096115,289.4829252295326,0.3601311957520656,0.0382588404536743,6340.60116,20926.70558,4891.32199,0.0,324.44535,16329.28011,156.83546
2023-07-26 12:00:00,2024-07-17 00:00:00,3.1,3.4206311714347057,297.66271033096115,289.4829252295326,0.3601311957520656,0.0382588404536743,6406.19223,21908.93709,4883.82956,0.0,274.2027,16001.59656,159.38083
2023-07-26 13:00:00,2024-07-17 00:00:00,3.1,4.6791623187039,302.9913617530566,289.2606090965912,267.40556499643696,0.0446550733241707,6709.92249,23362.2519,4877.83877,0.0,1793.63293,15564.77106,149.59459
2023-07-26 14:00:00,2024-07-17 00:00:00,3.1,4.6791623187039,302.9913617530566,289.2606090965912,267.40556499643696,0.0446550733241707,7112.4698,25148.08963,4872.89488,0.0,3561.15073,15081.12818,107.94618
2023-07-26 15:00:00,2024-07-17 00:00:00,3.1,4.6791623187039,302.9913617530566,289.2606090965912,267.40556499643696,0.0446550733241707,7536.50098,27043.04465,4870.97077,6.59266,6443.52473,14569.8852,110.63713
2023-07-26 16:00:00,2024-07-17 00:00:00,3.1,5.113232825250052,307.86061283649536,287.30265408599746,536.610438300291,0.0796070226459962,8104.06152,29458.4316,4874.27798,21.3238,10096.24394,13960.61159,113.59863
2023-07-26 17:00:00,2024-07-17 00:00:00,3.1,5.113232825250052,307.86061283649536,287.30265408599746,536.610438300291,0.0796070226459962,8735.68046,32418.3552,4875.22463,37.55022,13425.90268,13198.59717,120.29679
2023-07-26 18:00:00,2024-07-17 00:00:00,3.1,5.113232825250052,307.86061283649536,287.30265408599746,536.610438300291,0.0796070226459962,9347.2033,35416.2932,4878.17881,65.12952,15123.27331,12613.23262,121.17257
2023-07-26 19:00:00,2024-07-17 00:00:00,3.1,5.697620212488977,309.7717743730492,285.7198214884712,930.2450459035553,0.0139328300026606,9821.28427,37431.29022,4878.00173,87.91264,15419.98321,12298.00952,115.5302
2023-07-26 20:00:00,2024-07-17 00:00:00,3.1,5.697620212488977,309.7717743730492,285.7198214884712,930.2450459035553,0.0139328300026606,9937.30328,39366.41978,4885.24714,108.5478,14751.5215,12007.84097,125.80159
2023-07-26 21:00:00,2024-07-17 00:00:00,3.1,5.697620212488977,309.7717743730492,285.7198214884712,930.2450459035553,0.0139328300026606,10079.39399,41008.15982,4903.31817,119.70659,13218.30251,11649.98791,116.66362
2023-07-26 22:00:00,2024-07-17 00:00:00,3.1,6.328384572317891,307.9694199882607,286.01251436111875,732.7615583244032,0.0380700149281366,10315.88231,42153.10545,4897.08117,122.28352,11843.84221,11488.90487,108.23211
2023-07-26 23:00:00,2024-07-17 00:00:00,3.1,6.328384572317891,307.9694199882607,286.01251436111875,732.7615583244032,0.0380700149281366,10374.08687,41992.75624,4882.18422,116.15843,10816.42257,11636.30957,111.05732
2023-07-27 00:00:00,2024-07-17 00:00:00,3.1,6.328384572317891,307.9694199882607,286.01251436111875,732.7615583244032,0.0380700149281366,10139.65285,42715.59519,4874.42987,126.86617,8414.28935,15040.18305,107.64217
2023-07-27 01:00:00,2024-07-17 00:00:00,3.1,5.742413649583861,302.6611686089411,287.2093110261636,51.50642303163316,0.025034814310205,9771.61265,40963.89284,4872.56398,115.58325,6534.64469,15136.55111,106.85405
2023-07-27 02:00:00,2024-07-17 00:00:00,3.1,5.742413649583861,302.6611686089411,287.2093110261636,51.50642303163316,0.025034814310205,9391.87597,37961.08371,4877.72649,103.14457,4175.89477,15103.54013,106.45232
2023-07-27 03:00:00,2024-07-17 00:00:00,3.1,5.742413649583861,302.6611686089411,287.2093110261636,51.50642303163316,0.025034814310205,9137.87556,34260.86124,4872.5311,98.71576,1496.73717,15448.71796,101.42343
2023-07-27 04:00:00,2024-07-17 00:00:00,3.1,5.251063835192076,300.4600627209227,288.3023719176789,25.753275843333853,0.0449977677244746,8835.25874,30523.51265,4872.44112,85.97607,0.0,15901.18267,105.41331
2023-07-27 05:00:00,2024-07-17 00:00:00,3.1,5.251063835192076,300.4600627209227,288.3023719176789,25.753275843333853,0.0449977677244746,8375.79643,27498.87718,4871.8993,64.44158,0.0,16296.10527,109.14089
2023-07-27 06:00:00,2024-07-17 00:00:00,3.1,5.251063835192076,300.4600627209227,288.3023719176789,25.753275843333853,0.0449977677244746,7835.26388,24621.50318,4870.85304,39.82725,0.0,16821.77355,120.73114
2023-07-27 07:00:00,2024-07-17 00:00:00,3.1,4.137883389420198,298.7669165051093,289.05885027126203,0.0,0.0151587655157491,7332.36618,22252.09344,4871.16822,24.57936,0.0,17022.03495,127.4133
2023-07-27 08:00:00,2024-07-17 00:00:00,3.1,4.137883389420198,298.7669165051093,289.05885027126203,0.0,0.0151587655157491,6782.94111,20711.1445,4874.39619,15.65979,0.0,17139.11264,126.45717
