datetime,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast,avg_other_production_forecast
2023-08-31 00:00:00,2023-09-02 22:35:24,3.0,3.4000754523313947,300.232882567966,285.7079433047061,20.112673955348534,0.0020074575613189,9204.90772,47335.21811,5870.0833,2584.72412,8485.35018,807.38,3.16213
2023-08-31 01:00:00,2023-09-02 22:35:24,3.0,3.4000754523313947,300.232882567966,285.7079433047061,20.112673955348534,0.0020074575613189,9043.99643,41548.2696,6102.76622,2585.04576,3015.2,941.92002,4.23542
2023-08-31 02:00:00,2023-09-02 22:35:24,3.0,3.4000754523313947,300.232882567966,285.7079433047061,20.112673955348534,0.0020074575613189,8819.73079,37538.09349,6481.58386,2587.22301,135.71,1033.58,4.96664
2023-08-31 03:00:00,2023-09-02 22:35:24,3.0,3.4000754523313947,300.232882567966,285.7079433047061,20.112673955348534,0.0020074575613189,8570.11261,32417.011,7131.32452,2589.89427,0.0,1080.27998,5.33919
2023-08-31 04:00:00,2023-09-02 22:35:24,3.0,2.9408266125424296,298.39930554628893,286.027766906097,20.112673955348534,0.0020074575613189,8209.4505,30323.90611,7605.59422,2592.06881,0.0,1043.23001,5.04362
2023-08-31 05:00:00,2023-09-02 22:35:24,3.0,2.9408266125424296,298.39930554628893,286.027766906097,20.112673955348534,0.0020074575613189,7750.0987,32264.86198,8070.58063,2597.34527,0.0,941.83999,4.23478
2023-08-31 06:00:00,2023-09-02 22:35:24,3.0,2.9408266125424296,298.39930554628893,286.027766906097,20.112673955348534,0.0020074575613189,7503.39815,31405.17331,8350.64733,2599.13416,0.0,841.25001,3.43233
2023-08-31 07:00:00,2023-09-02 22:35:24,3.0,2.528186478715588,297.017771949481,286.13948843096216,10.05634628821186,0.002731615345679,7338.30879,23119.6538,8384.26049,2595.89871,0.0,746.43999,2.67598
2023-08-31 08:00:00,2023-09-02 22:35:24,3.0,2.528186478715588,297.017771949481,286.13948843096216,10.05634628821186,0.002731615345679,7018.88674,7678.85907,8130.93715,2596.95062,0.0,652.51001,1.92665
2023-08-31 09:00:00,2023-09-02 22:35:24,3.0,2.528186478715588,297.017771949481,286.13948843096216,10.05634628821186,0.002731615345679,6688.4551,0.0,7996.19814,2595.5933,0.0,562.91,1.21186
2023-08-31 10:00:00,2023-09-02 22:35:24,3.0,2.3658281249398616,295.96660506602564,286.1286216493445,0.0,0.0112210527301254,6435.78528,0.0,8034.94455,2595.9712,0.0,496.71,0.68375
2023-08-31 11:00:00,2023-09-02 22:35:24,3.0,2.3658281249398616,295.96660506602564,286.1286216493445,0.0,0.0112210527301254,6567.91493,0.0,7717.92366,2600.74085,0.0,477.95,0.53409
2023-08-31 12:00:00,2023-09-02 22:35:24,3.0,2.3658281249398616,295.96660506602564,286.1286216493445,0.0,0.0112210527301254,6807.33632,0.0,7253.39704,2604.81084,0.0,475.21,0.51224
2023-08-31 13:00:00,2023-09-02 22:35:24,3.0,2.957070566529836,301.45736338539325,286.21364788871443,0.007047690844593,0.0211007893707621,7219.08624,6263.23387,6989.17001,2608.73309,595.29,456.26,0.36106
2023-08-31 14:00:00,2023-09-02 22:35:24,3.0,2.957070566529836,301.45736338539325,286.21364788871443,0.007047690844593,0.0211007893707621,7661.76857,11039.54792,6735.74644,2611.55758,4685.2401,419.17,0.06518
2023-08-31 15:00:00,2023-09-02 22:35:24,3.0,2.957070566529836,301.45736338539325,286.21364788871443,0.007047690844593,0.0211007893707621,8155.74885,8811.79411,6712.84168,2616.49988,10033.95975,360.32,0.0
2023-08-31 16:00:00,2023-09-02 22:35:24,3.0,3.2471102762240016,305.83575940776245,285.1882858912564,230.54106918439248,0.0242994519586702,8522.41461,4446.6188,6746.29296,2622.4564,12479.73025,355.06,0.0
2023-08-31 17:00:00,2023-09-02 22:35:24,3.0,3.2471102762240016,305.83575940776245,285.1882858912564,230.54106918439248,0.0242994519586702,8861.11924,3199.06364,6712.52707,2625.61097,13212.77971,474.6,0.50737
2023-08-31 18:00:00,2023-09-02 22:35:24,3.0,3.2471102762240016,305.83575940776245,285.1882858912564,230.54106918439248,0.0242994519586702,9198.66062,4259.40419,6642.38649,2628.1072,13468.06997,699.35,2.30032
2023-08-31 19:00:00,2023-09-02 22:35:24,3.0,3.972650438449695,307.72970655312923,283.89165484927423,505.9787246133733,0.0245735286609397,9518.49696,9350.73264,6546.21452,2631.09298,13458.0302,1014.50002,4.81443
