UTC time,coal,nat_gas,nuclear,hydro,solar,wind,other
2023-04-11 00:00:00,6512.0,7023.0,4306.0,3714.0,109.0,23027.0,129.0
2023-04-11 01:00:00,7330.0,2069.0,4642.0,3713.0,306.0,26325.0,136.0
2023-04-11 02:00:00,7415.0,15.0,6167.0,3713.0,239.0,26954.0,101.0
2023-04-11 03:00:00,6840.0,0.0,9482.0,3714.0,101.0,24124.0,101.0
2023-04-11 04:00:00,5906.0,0.0,12845.0,3713.0,50.0,19543.0,55.0
2023-04-11 05:00:00,5169.0,0.0,15863.0,3713.0,76.0,14781.0,55.0
2023-04-11 06:00:00,4404.0,0.0,16376.0,3713.0,53.0,12959.0,54.0
2023-04-11 07:00:00,4118.0,0.0,15857.0,3713.0,32.0,12140.0,54.0
2023-04-11 08:00:00,4034.0,0.0,14915.0,3714.0,50.0,12498.0,54.0
2023-04-11 09:00:00,3975.0,0.0,13293.0,3715.0,46.0,13872.0,54.0
2023-04-11 10:00:00,4646.0,0.0,11185.0,3715.0,41.0,15647.0,54.0
2023-04-11 11:00:00,5513.0,0.0,9506.0,3714.0,29.0,18110.0,58.0
2023-04-11 12:00:00,6735.0,0.0,8430.0,3715.0,190.0,20342.0,99.0
2023-04-11 13:00:00,7497.0,519.0,7122.0,3715.0,104.0,21592.0,98.0
2023-04-11 14:00:00,7265.0,5055.0,4971.0,3715.0,33.0,19842.0,55.0
2023-04-11 15:00:00,7108.0,9176.0,3105.0,3714.0,47.0,18825.0,54.0
2023-04-11 16:00:00,6590.0,10536.0,3272.0,3713.0,77.0,18258.0,54.0
2023-04-11 17:00:00,6592.0,10819.0,3132.0,3713.0,126.0,18610.0,54.0
2023-04-11 18:00:00,7088.0,10742.0,3288.0,3713.0,78.0,19056.0,54.0
2023-04-11 19:00:00,7369.0,10948.0,3615.0,3713.0,41.0,19157.0,54.0
2023-04-11 20:00:00,7522.0,10830.0,3938.0,3713.0,41.0,19534.0,57.0
2023-04-11 21:00:00,7477.0,10696.0,4804.0,3713.0,87.0,19412.0,98.0
2023-04-11 22:00:00,7232.0,10582.0,5694.0,3711.0,85.0,20061.0,97.0
2023-04-11 23:00:00,6957.0,10396.0,6898.0,3710.0,45.0,19988.0,95.0
