Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,nuclear,oil,hydro,solar,wind,biomass,unknown
35400,2023-01-15 00:00:00,2024-07-17 00:00:00,3.1,56.54,723.0,4916.0,0.0,37.0,0.0,3398.0,370.0,514.0
35401,2023-01-15 01:00:00,2024-07-17 00:00:00,3.1,58.67,770.0,4917.0,0.0,37.0,0.0,3333.0,366.0,519.0
35402,2023-01-15 02:00:00,2024-07-17 00:00:00,3.1,58.66,744.0,4917.0,0.0,37.0,0.0,3409.0,375.0,544.0
35403,2023-01-15 03:00:00,2024-07-17 00:00:00,3.1,57.25,741.0,4913.0,0.0,35.0,0.0,3653.0,384.0,546.0
35404,2023-01-15 04:00:00,2024-07-17 00:00:00,3.1,55.57,749.0,4913.0,0.0,34.0,0.0,3800.0,389.0,524.0
35405,2023-01-15 05:00:00,2024-07-17 00:00:00,3.1,56.05,719.0,4913.0,0.0,34.0,0.0,3927.0,385.0,565.0
35406,2023-01-15 06:00:00,2024-07-17 00:00:00,3.1,60.15,689.0,4909.0,0.0,33.0,0.0,4019.0,392.0,678.0
35407,2023-01-15 07:00:00,2024-07-17 00:00:00,3.1,64.5,738.0,4907.0,0.0,32.0,1.0,4072.0,388.0,746.0
35408,2023-01-15 08:00:00,2024-07-17 00:00:00,3.1,64.65,765.0,4907.0,0.0,30.0,224.0,4132.0,391.0,769.0
35409,2023-01-15 09:00:00,2024-07-17 00:00:00,3.1,57.89,736.0,4907.0,0.0,29.0,755.0,4178.0,388.0,704.0
35410,2023-01-15 10:00:00,2024-07-17 00:00:00,3.1,54.85,734.0,4905.0,0.0,28.0,1087.0,4275.0,389.0,682.0
35411,2023-01-15 11:00:00,2024-07-17 00:00:00,3.1,53.66,744.0,4915.0,0.0,27.0,1081.0,4261.0,387.0,647.0
35412,2023-01-15 12:00:00,2024-07-17 00:00:00,3.1,55.52,772.0,4907.0,0.0,27.0,848.0,4331.0,389.0,655.0
35413,2023-01-15 13:00:00,2024-07-17 00:00:00,3.1,67.08,773.0,4905.0,0.0,28.0,462.0,4376.0,391.0,881.0
35414,2023-01-15 14:00:00,2024-07-17 00:00:00,3.1,65.0,744.0,4904.0,0.0,27.0,216.0,4269.0,391.0,805.0
35415,2023-01-15 15:00:00,2024-07-17 00:00:00,3.1,63.32,770.0,4902.0,0.0,26.0,35.0,4110.0,418.0,713.0
35416,2023-01-15 16:00:00,2024-07-17 00:00:00,3.1,64.01,795.0,4900.0,0.0,25.0,0.0,3830.0,505.0,684.0
35417,2023-01-15 17:00:00,2024-07-17 00:00:00,3.1,68.7,817.0,4910.0,0.0,25.0,0.0,3566.0,536.0,740.0
35418,2023-01-15 18:00:00,2024-07-17 00:00:00,3.1,64.93,784.0,4912.0,0.0,24.0,0.0,3389.0,535.0,659.0
35419,2023-01-15 19:00:00,2024-07-17 00:00:00,3.1,66.46,779.0,4913.0,0.0,23.0,0.0,3020.0,537.0,645.0
35420,2023-01-15 20:00:00,2024-07-17 00:00:00,3.1,62.45,751.0,4913.0,0.0,22.0,0.0,2917.0,533.0,571.0
35421,2023-01-15 21:00:00,2024-07-17 00:00:00,3.1,60.46,790.0,4913.0,0.0,23.0,0.0,3015.0,528.0,521.0
35422,2023-01-15 22:00:00,2024-07-17 00:00:00,3.1,63.71,847.0,4914.0,0.0,22.0,0.0,2819.0,538.0,526.0
35423,2023-01-15 23:00:00,2024-07-17 00:00:00,3.1,64.87,843.0,4913.0,0.0,22.0,0.0,2421.0,534.0,499.0
