UTC time,coal,nat_gas,wind
2023-11-10 00:00:00,2026.0,907.0,329.0
2023-11-10 01:00:00,1965.0,848.0,488.0
2023-11-10 02:00:00,1964.0,821.0,457.0
2023-11-10 03:00:00,1968.0,849.0,379.0
2023-11-10 04:00:00,2044.0,941.0,194.0
2023-11-10 05:00:00,2021.0,925.0,150.0
2023-11-10 06:00:00,1852.0,773.0,283.0
2023-11-10 07:00:00,1843.0,946.0,303.0
2023-11-10 08:00:00,1892.0,945.0,281.0
2023-11-10 09:00:00,1884.0,943.0,209.0
2023-11-10 10:00:00,1810.0,946.0,233.0
2023-11-10 11:00:00,1907.0,948.0,271.0
2023-11-10 12:00:00,1898.0,935.0,315.0
2023-11-10 13:00:00,2024.0,955.0,309.0
2023-11-10 14:00:00,2180.0,983.0,188.0
2023-11-10 15:00:00,2162.0,977.0,88.0
2023-11-10 16:00:00,2220.0,989.0,25.0
2023-11-10 17:00:00,2180.0,983.0,18.0
2023-11-10 18:00:00,2156.0,972.0,4.0
2023-11-10 19:00:00,2227.0,969.0,1.0
2023-11-10 20:00:00,2231.0,969.0,0.0
2023-11-10 21:00:00,2168.0,957.0,0.0
2023-11-10 22:00:00,2185.0,967.0,0.0
2023-11-10 23:00:00,2143.0,972.0,2.0
