UTC time,coal,nat_gas,wind
2023-09-23 00:00:00,967.0,1275.0,170.0
2023-09-23 01:00:00,965.0,1136.0,207.0
2023-09-23 02:00:00,962.0,927.0,317.0
2023-09-23 03:00:00,862.0,833.0,373.0
2023-09-23 04:00:00,914.0,891.0,289.0
2023-09-23 05:00:00,890.0,794.0,348.0
2023-09-23 06:00:00,857.0,781.0,439.0
2023-09-23 07:00:00,813.0,688.0,631.0
2023-09-23 08:00:00,757.0,802.0,586.0
2023-09-23 09:00:00,770.0,866.0,379.0
2023-09-23 10:00:00,802.0,737.0,331.0
2023-09-23 11:00:00,854.0,850.0,321.0
2023-09-23 12:00:00,893.0,690.0,437.0
2023-09-23 13:00:00,891.0,699.0,538.0
2023-09-23 14:00:00,895.0,772.0,575.0
2023-09-23 15:00:00,946.0,806.0,531.0
2023-09-23 16:00:00,954.0,846.0,496.0
2023-09-23 17:00:00,944.0,1030.0,507.0
2023-09-23 18:00:00,952.0,1113.0,471.0
2023-09-23 19:00:00,944.0,1187.0,501.0
2023-09-23 20:00:00,945.0,1273.0,422.0
2023-09-23 21:00:00,942.0,1272.0,332.0
2023-09-23 22:00:00,940.0,1238.0,289.0
2023-09-23 23:00:00,936.0,1309.0,221.0
