UTC time,coal,nat_gas,nuclear,hydro,solar,wind,biomass,avg_solar_production_forecast
1/1/2019 0:00,1612,1463,1394,1015,0,144,30,0
1/1/2019 1:00,1536,1453,1394,963,0,195,30,0
1/1/2019 2:00,1455,1456,1394,966,0,159,30,0
1/1/2019 3:00,1459,1457,1394,949,0,92,30,0
1/1/2019 4:00,1440,1451,1392,935,0,97,31,1
1/1/2019 5:00,1392,1446,1391,1181,0,91,34,2
1/1/2019 6:00,1300,1356,1390,1331,5,52,34,24
1/1/2019 7:00,1318,1326,1390,1380,53,18,34,96
1/1/2019 8:00,1322,1330,1389,1410,120,0,34,181
1/1/2019 9:00,1318,1407,1389,1397,180,0,34,244
1/1/2019 10:00,1388,1419,1389,1390,209,0,34,266
1/1/2019 11:00,1457,1413,1389,1306,208,15,34,248
1/1/2019 12:00,1401,1408,1390,1242,168,92,34,180
1/1/2019 13:00,1324,1421,1391,1346,87,195,34,82
1/1/2019 14:00,1409,1436,1391,1327,8,313,34,15
1/1/2019 15:00,1419,1445,1392,1467,0,505,35,2
1/1/2019 16:00,1297,1442,1391,1493,0,736,35,1
1/1/2019 17:00,1301,1303,1391,1559,0,904,34,1
1/1/2019 18:00,1317,1320,1391,1572,0,998,34,1
1/1/2019 19:00,1302,1340,1391,1478,0,1135,34,1
1/1/2019 20:00,1330,1251,1391,1401,0,1190,34,1
1/1/2019 21:00,1347,1330,1391,1170,0,1180,34,0
1/1/2019 22:00,1275,1314,1391,949,0,1463,35,0
1/1/2019 23:00,1261,1042,1391,684,0,1661,35,0
1/2/2019 0:00,1257,1036,1391,660,0,1636,35,0
1/2/2019 1:00,1247,1035,1391,493,0,1830,35,0
1/2/2019 2:00,1257,1021,1390,415,0,1748,35,0
1/2/2019 3:00,1264,1083,1391,496,0,1620,35,0
1/2/2019 4:00,1272,1230,1391,564,0,1506,35,1
1/2/2019 5:00,1295,1309,1391,931,0,1359,36,2
1/2/2019 6:00,1317,1492,1391,1205,11,1362,37,25
1/2/2019 7:00,1188,1549,1392,1375,69,1394,37,109
1/2/2019 8:00,1154,1855,1392,1374,151,1466,35,235
1/2/2019 9:00,1091,1803,1392,1449,228,1444,36,329
1/2/2019 10:00,1191,1842,1392,1303,249,1442,36,365
1/2/2019 11:00,1182,1847,1392,1301,275,1359,37,345
1/2/2019 12:00,1220,1849,1391,1471,214,1025,37,251
1/2/2019 13:00,1438,1906,1391,1522,114,696,37,112
1/2/2019 14:00,1453,1959,1393,1550,18,595,37,17
1/2/2019 15:00,1447,1961,1394,1755,0,556,37,2
1/2/2019 16:00,1473,1971,1394,2001,0,466,37,1
1/2/2019 17:00,1539,1972,1394,1892,0,393,35,1
1/2/2019 18:00,1615,1972,1390,1733,0,347,35,1
1/2/2019 19:00,1625,1897,1386,1629,0,427,35,1
1/2/2019 20:00,1585,1887,1387,1601,0,498,36,1
1/2/2019 21:00,1458,1884,1390,1196,0,666,34,0
1/2/2019 22:00,1342,1786,1395,1141,0,738,36,0
1/2/2019 23:00,1291,1645,1395,925,0,926,35,0
1/3/2019 0:00,1303,1518,1395,904,0,1097,36,0
1/3/2019 1:00,1340,1535,1396,886,0,1139,36,0
1/3/2019 2:00,1332,1570,1396,997,0,1051,36,0
1/3/2019 3:00,1308,1827,1396,1011,0,814,36,0
1/3/2019 4:00,1301,1824,1395,991,0,746,37,1
1/3/2019 5:00,1311,1863,1395,1329,0,637,40,2
1/3/2019 6:00,1525,1756,1395,1603,8,659,40,30
1/3/2019 7:00,1541,1870,1391,1569,50,549,41,101
1/3/2019 8:00,1636,1876,1350,1846,114,262,42,177
1/3/2019 9:00,1713,1869,1350,1886,159,182,42,239
1/3/2019 10:00,1700,1858,1352,1852,172,180,43,261
1/3/2019 11:00,1700,1889,1367,1889,149,200,44,234
1/3/2019 12:00,1653,1935,1343,1793,115,338,44,156
1/3/2019 13:00,1633,1860,1340,1912,55,454,43,70
1/3/2019 14:00,1634,1863,1313,1909,5,582,43,12
1/3/2019 15:00,1695,1930,1306,2178,0,716,44,5
1/3/2019 16:00,1610,1931,1342,1745,0,1356,44,1
1/3/2019 17:00,1584,1883,1372,1614,0,1738,41,1
1/3/2019 18:00,1453,1881,1372,1557,0,2112,41,1
1/3/2019 19:00,1248,1885,1386,1611,0,2296,41,1
1/3/2019 20:00,1241,1887,1390,1499,0,2401,41,1
1/3/2019 21:00,1235,1822,1390,1105,0,2529,41,0
1/3/2019 22:00,1237,1777,1390,1035,0,2602,40,0
1/3/2019 23:00,1234,1401,1394,979,0,2640,42,0
1/4/2019 0:00,1251,1302,1398,1044,0,2575,43,0
1/4/2019 1:00,1252,1301,1398,959,0,2606,42,0
1/4/2019 2:00,1262,1302,1398,973,0,2672,42,0
1/4/2019 3:00,1282,1310,1398,1045,0,2712,42,0
1/4/2019 4:00,1461,1336,1398,1146,0,2703,42,1
1/4/2019 5:00,1517,1472,1399,1248,0,2628,45,4
1/4/2019 6:00,1588,1710,1389,1654,13,2511,45,31
1/4/2019 7:00,1638,1898,1316,1473,66,2431,45,112
1/4/2019 8:00,1628,1900,1352,1465,128,2427,45,211
1/4/2019 9:00,1494,1895,1353,1392,186,2478,45,294
1/4/2019 10:00,1400,1891,1323,1340,216,2537,45,324
1/4/2019 11:00,1333,1837,1341,1271,202,2527,44,299
1/4/2019 12:00,1343,1838,1324,1386,155,2267,44,218
1/4/2019 13:00,1478,1897,1343,1424,96,1859,45,107
1/4/2019 14:00,1691,1900,1363,1469,19,1444,44,25
1/4/2019 15:00,1723,1912,1359,1773,1,981,44,5
1/4/2019 16:00,1748,1983,1377,1857,0,636,44,4
1/4/2019 17:00,1795,2000,1382,1871,0,399,43,4
1/4/2019 18:00,1780,1998,1383,1816,0,346,43,4
1/4/2019 19:00,1799,2006,1383,1889,0,234,43,4
1/4/2019 20:00,1779,2005,1383,1760,0,159,43,1
1/4/2019 21:00,1792,2012,1382,1766,0,113,42,0
1/4/2019 22:00,1753,1988,1385,1608,0,86,42,0
1/4/2019 23:00,1726,1963,1392,1104,0,48,42,0
1/5/2019 0:00,1705,1963,1392,1081,0,57,42,0
1/5/2019 1:00,1692,1961,1392,1058,0,112,42,0
1/5/2019 2:00,1657,1906,1393,1102,0,151,41,0
1/5/2019 3:00,1673,1909,1393,1158,0,124,42,0
1/5/2019 4:00,1690,1899,1393,1150,0,139,42,0
1/5/2019 5:00,1689,1896,1394,1130,0,189,44,2
1/5/2019 6:00,1645,1705,1393,1132,25,305,44,46
1/5/2019 7:00,1648,1891,1393,1123,157,328,44,183
1/5/2019 8:00,1669,1904,1393,1222,317,308,43,349
1/5/2019 9:00,1701,1901,1392,1278,410,291,43,437
1/5/2019 10:00,1725,1904,1393,1245,444,286,42,454
1/5/2019 11:00,1720,1903,1393,1180,417,345,42,405
1/5/2019 12:00,1651,1894,1393,1003,314,579,42,281
1/5/2019 13:00,1544,1905,1393,1144,149,602,43,119
1/5/2019 14:00,1684,1911,1394,1284,21,565,42,19
1/5/2019 15:00,1734,1984,1395,1456,0,805,43,1
1/5/2019 16:00,1563,1827,1395,1335,0,1391,43,0
1/5/2019 17:00,1431,1561,1395,1508,0,1597,41,0
1/5/2019 18:00,1444,1562,1395,1465,0,1673,41,0
1/5/2019 19:00,1442,1563,1397,1260,0,1642,42,0
1/5/2019 20:00,1430,1616,1397,1142,0,1643,41,0
1/5/2019 21:00,1372,1613,1398,1001,0,1818,40,0
1/5/2019 22:00,1393,1531,1398,993,0,1882,41,0
1/5/2019 23:00,1423,1344,1397,1001,0,1682,40,0
