Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,oil,hydro,solar,wind,biomass,geothermal,unknown
39696,2023-07-13 00:00:00,2024-07-17 00:00:00,3.1,199.1,201.0,455.0,0.0,584.0,0.0,348.0,72.0,0.0,25.0
39697,2023-07-13 01:00:00,2024-07-17 00:00:00,3.1,200.33,200.0,454.0,0.0,576.0,0.0,342.0,72.0,0.0,25.0
39698,2023-07-13 02:00:00,2024-07-17 00:00:00,3.1,200.65,201.0,455.0,0.0,572.0,0.0,347.0,72.0,0.0,25.0
39699,2023-07-13 03:00:00,2024-07-17 00:00:00,3.1,202.21,200.0,457.0,0.0,568.0,1.0,336.0,72.0,0.0,25.0
39700,2023-07-13 04:00:00,2024-07-17 00:00:00,3.1,196.74,200.0,457.0,0.0,610.0,5.0,338.0,72.0,0.0,26.0
39701,2023-07-13 05:00:00,2024-07-17 00:00:00,3.1,194.14,200.0,456.0,0.0,639.0,14.0,324.0,72.0,0.0,27.0
39702,2023-07-13 06:00:00,2024-07-17 00:00:00,3.1,199.51,201.0,457.0,0.0,643.0,29.0,262.0,72.0,0.0,27.0
39703,2023-07-13 07:00:00,2024-07-17 00:00:00,3.1,195.06,198.0,457.0,0.0,643.0,42.0,275.0,72.0,0.0,25.0
39704,2023-07-13 08:00:00,2024-07-17 00:00:00,3.1,190.82,197.0,458.0,0.0,642.0,50.0,302.0,72.0,0.0,24.0
39705,2023-07-13 09:00:00,2024-07-17 00:00:00,3.1,193.03,198.0,457.0,0.0,550.0,55.0,371.0,72.0,0.0,24.0
39706,2023-07-13 10:00:00,2024-07-17 00:00:00,3.1,190.82,198.0,457.0,0.0,553.0,56.0,387.0,72.0,0.0,24.0
39707,2023-07-13 11:00:00,2024-07-17 00:00:00,3.1,195.05,199.0,458.0,0.0,554.0,52.0,354.0,72.0,0.0,23.0
39708,2023-07-13 12:00:00,2024-07-17 00:00:00,3.1,198.19,199.0,457.0,0.0,543.0,44.0,345.0,72.0,0.0,23.0
39709,2023-07-13 13:00:00,2024-07-17 00:00:00,3.1,201.08,198.0,457.0,0.0,573.0,33.0,299.0,72.0,0.0,23.0
39710,2023-07-13 14:00:00,2024-07-17 00:00:00,3.1,195.04,201.0,456.0,0.0,603.0,27.0,336.0,72.0,0.0,24.0
39711,2023-07-13 15:00:00,2024-07-17 00:00:00,3.1,190.07,201.0,457.0,0.0,632.0,18.0,364.0,72.0,0.0,25.0
39712,2023-07-13 16:00:00,2024-07-17 00:00:00,3.1,191.81,201.0,456.0,0.0,639.0,9.0,351.0,72.0,0.0,26.0
39713,2023-07-13 17:00:00,2024-07-17 00:00:00,3.1,210.53,201.0,455.0,0.0,666.0,4.0,174.0,72.0,0.0,27.0
39714,2023-07-13 18:00:00,2024-07-17 00:00:00,3.1,219.25,201.0,455.0,0.0,702.0,0.0,80.0,72.0,0.0,28.0
39715,2023-07-13 19:00:00,2024-07-17 00:00:00,3.1,217.32,201.0,454.0,0.0,746.0,0.0,49.0,72.0,0.0,28.0
39716,2023-07-13 20:00:00,2024-07-17 00:00:00,3.1,220.02,201.0,455.0,0.0,714.0,0.0,61.0,72.0,0.0,27.0
39717,2023-07-13 21:00:00,2024-07-17 00:00:00,3.1,215.56,201.0,455.0,0.0,714.0,0.0,91.0,72.0,0.0,26.0
39718,2023-07-13 22:00:00,2024-07-17 00:00:00,3.1,208.87,201.0,456.0,0.0,684.0,0.0,169.0,73.0,0.0,25.0
39719,2023-07-13 23:00:00,2024-07-17 00:00:00,3.1,222.62,201.0,455.0,0.0,529.0,0.0,224.0,73.0,0.0,25.0
