UTC time,coal,nat_gas,hydro,solar,wind,biomass,unknown
2023-09-25 00:00:00,75.0,65.0,0.0,0.0,76.0,59.0,2.0
2023-09-25 01:00:00,74.0,64.0,0.0,0.0,64.0,56.0,2.0
2023-09-25 02:00:00,73.0,63.0,0.0,0.0,62.0,56.0,2.0
2023-09-25 03:00:00,83.0,62.0,0.0,1.0,70.0,70.0,2.0
2023-09-25 04:00:00,152.0,65.0,0.0,16.0,73.0,87.0,2.0
2023-09-25 05:00:00,193.0,65.0,0.0,103.0,72.0,93.0,2.0
2023-09-25 06:00:00,199.0,67.0,0.0,228.0,64.0,96.0,1.0
2023-09-25 07:00:00,162.0,68.0,0.0,326.0,53.0,95.0,1.0
2023-09-25 08:00:00,149.0,69.0,0.0,405.0,64.0,89.0,1.0
2023-09-25 09:00:00,115.0,66.0,0.0,396.0,76.0,84.0,1.0
2023-09-25 10:00:00,115.0,67.0,0.0,394.0,83.0,81.0,1.0
2023-09-25 11:00:00,115.0,71.0,0.0,369.0,89.0,81.0,1.0
2023-09-25 12:00:00,115.0,76.0,0.0,288.0,83.0,85.0,2.0
2023-09-25 13:00:00,115.0,77.0,0.0,190.0,77.0,89.0,2.0
2023-09-25 14:00:00,154.0,72.0,0.0,88.0,75.0,99.0,2.0
2023-09-25 15:00:00,165.0,70.0,0.0,17.0,68.0,101.0,2.0
2023-09-25 16:00:00,166.0,73.0,0.0,1.0,87.0,102.0,2.0
2023-09-25 17:00:00,173.0,76.0,0.0,2.0,101.0,103.0,2.0
2023-09-25 18:00:00,169.0,74.0,0.0,1.0,114.0,102.0,2.0
2023-09-25 19:00:00,163.0,73.0,0.0,0.0,132.0,98.0,2.0
2023-09-25 20:00:00,117.0,71.0,0.0,0.0,151.0,90.0,2.0
2023-09-25 21:00:00,112.0,72.0,0.0,0.0,140.0,89.0,2.0
2023-09-25 22:00:00,112.0,71.0,0.0,0.0,143.0,85.0,2.0
2023-09-25 23:00:00,111.0,70.0,0.0,0.0,135.0,85.0,2.0
