Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,nuclear,oil,solar,other
42840,2023-12-07 00:00:00,2024-07-17 00:00:00,3.1,416.66,8567.0,3768.0,0.0,0.0,3164.0
42841,2023-12-07 01:00:00,2024-07-17 00:00:00,3.1,416.54,8293.0,3763.0,0.0,0.0,3221.0
42842,2023-12-07 02:00:00,2024-07-17 00:00:00,3.1,416.32,7751.0,3763.0,0.0,0.0,3350.0
42843,2023-12-07 03:00:00,2024-07-17 00:00:00,3.1,413.0,7172.0,3764.0,0.0,0.0,3335.0
42844,2023-12-07 04:00:00,2024-07-17 00:00:00,3.1,404.63,6217.0,3766.0,0.0,0.0,3209.0
42845,2023-12-07 05:00:00,2024-07-17 00:00:00,3.1,393.48,5230.0,3766.0,0.0,0.0,3040.0
42846,2023-12-07 06:00:00,2024-07-17 00:00:00,3.1,387.72,4542.0,3773.0,0.0,0.0,3052.0
42847,2023-12-07 07:00:00,2024-07-17 00:00:00,3.1,382.56,4203.0,3775.0,0.0,0.0,2984.0
42848,2023-12-07 08:00:00,2024-07-17 00:00:00,3.1,379.86,4064.0,3777.0,0.0,0.0,2942.0
42849,2023-12-07 09:00:00,2024-07-17 00:00:00,3.1,378.42,4009.0,3779.0,0.0,0.0,2915.0
42850,2023-12-07 10:00:00,2024-07-17 00:00:00,3.1,382.06,4190.0,3780.0,0.0,0.0,2977.0
42851,2023-12-07 11:00:00,2024-07-17 00:00:00,3.1,395.99,5075.0,3779.0,0.0,0.0,3204.0
42852,2023-12-07 12:00:00,2024-07-17 00:00:00,3.1,408.16,6244.0,3780.0,0.0,0.0,3380.0
42853,2023-12-07 13:00:00,2024-07-17 00:00:00,3.1,414.22,7011.0,3781.0,0.0,200.0,3721.0
42854,2023-12-07 14:00:00,2024-07-17 00:00:00,3.1,373.76,6347.0,3783.0,0.0,1516.0,3461.0
42855,2023-12-07 15:00:00,2024-07-17 00:00:00,3.1,322.69,5448.0,3786.0,0.0,2813.0,2772.0
42856,2023-12-07 16:00:00,2024-07-17 00:00:00,3.1,299.47,5227.0,3778.0,0.0,3272.0,2304.0
42857,2023-12-07 17:00:00,2024-07-17 00:00:00,3.1,284.45,4932.0,3772.0,0.0,3531.0,2068.0
42858,2023-12-07 18:00:00,2024-07-17 00:00:00,3.1,282.56,4653.0,3777.0,0.0,3585.0,2176.0
42859,2023-12-07 19:00:00,2024-07-17 00:00:00,3.1,294.55,4857.0,3783.0,0.0,3222.0,2278.0
42860,2023-12-07 20:00:00,2024-07-17 00:00:00,3.1,304.65,5043.0,3783.0,0.0,2910.0,2347.0
42861,2023-12-07 21:00:00,2024-07-17 00:00:00,3.1,329.56,5565.0,3783.0,0.0,2203.0,2525.0
42862,2023-12-07 22:00:00,2024-07-17 00:00:00,3.1,374.73,6904.0,3783.0,0.0,867.0,2651.0
42863,2023-12-07 23:00:00,2024-07-17 00:00:00,3.1,411.5,7712.0,3784.0,0.0,65.0,3224.0
