UTC time,coal,nat_gas,oil,hydro,solar,wind
2023-05-02 00:00:00,1442.0,18.0,59.0,481.0,90.0,563.0
2023-05-02 01:00:00,1438.0,17.0,60.0,483.0,71.0,654.0
2023-05-02 02:00:00,1440.0,19.0,60.0,481.0,21.0,702.0
2023-05-02 03:00:00,1444.0,17.0,60.0,481.0,1.0,735.0
2023-05-02 04:00:00,1442.0,18.0,59.0,482.0,0.0,744.0
2023-05-02 05:00:00,1441.0,18.0,60.0,465.0,0.0,718.0
2023-05-02 06:00:00,1444.0,23.0,60.0,475.0,0.0,683.0
2023-05-02 07:00:00,1431.0,21.0,59.0,486.0,0.0,614.0
2023-05-02 08:00:00,1201.0,21.0,58.0,486.0,0.0,478.0
2023-05-02 09:00:00,1189.0,22.0,58.0,497.0,0.0,422.0
2023-05-02 10:00:00,1195.0,19.0,59.0,496.0,0.0,397.0
2023-05-02 11:00:00,1203.0,19.0,60.0,501.0,0.0,369.0
2023-05-02 12:00:00,1350.0,24.0,60.0,501.0,0.0,365.0
2023-05-02 13:00:00,1442.0,43.0,60.0,508.0,7.0,350.0
2023-05-02 14:00:00,1452.0,39.0,61.0,494.0,56.0,348.0
2023-05-02 15:00:00,1451.0,17.0,60.0,505.0,88.0,345.0
2023-05-02 16:00:00,1444.0,25.0,60.0,492.0,93.0,342.0
2023-05-02 17:00:00,1443.0,17.0,60.0,497.0,93.0,342.0
2023-05-02 18:00:00,1443.0,14.0,59.0,494.0,94.0,347.0
2023-05-02 19:00:00,1435.0,17.0,60.0,508.0,93.0,366.0
2023-05-02 20:00:00,1275.0,17.0,57.0,506.0,94.0,395.0
2023-05-02 21:00:00,1254.0,18.0,55.0,509.0,94.0,392.0
2023-05-02 22:00:00,1099.0,19.0,53.0,502.0,93.0,372.0
2023-05-02 23:00:00,1198.0,18.0,51.0,504.0,93.0,365.0
