UTC time,coal,nat_gas,hydro,solar,wind,biomass,unknown
2023-11-08 00:00:00,264.0,54.0,1.0,0.0,60.0,94.0,1.0
2023-11-08 01:00:00,264.0,55.0,1.0,0.0,56.0,91.0,1.0
2023-11-08 02:00:00,277.0,51.0,1.0,0.0,46.0,95.0,1.0
2023-11-08 03:00:00,261.0,49.0,1.0,0.0,37.0,96.0,1.0
2023-11-08 04:00:00,275.0,55.0,1.0,0.0,35.0,113.0,1.0
2023-11-08 05:00:00,353.0,54.0,1.0,1.0,43.0,123.0,2.0
2023-11-08 06:00:00,419.0,53.0,1.0,9.0,47.0,130.0,2.0
2023-11-08 07:00:00,436.0,55.0,1.0,36.0,43.0,129.0,2.0
2023-11-08 08:00:00,435.0,52.0,1.0,70.0,35.0,129.0,2.0
2023-11-08 09:00:00,439.0,50.0,1.0,96.0,29.0,129.0,2.0
2023-11-08 10:00:00,434.0,52.0,1.0,90.0,29.0,129.0,2.0
2023-11-08 11:00:00,425.0,51.0,1.0,72.0,24.0,129.0,2.0
2023-11-08 12:00:00,424.0,56.0,1.0,36.0,22.0,129.0,2.0
2023-11-08 13:00:00,422.0,57.0,1.0,13.0,22.0,129.0,2.0
2023-11-08 14:00:00,433.0,57.0,1.0,3.0,24.0,129.0,2.0
2023-11-08 15:00:00,434.0,56.0,1.0,1.0,24.0,129.0,2.0
2023-11-08 16:00:00,423.0,54.0,1.0,0.0,25.0,129.0,2.0
2023-11-08 17:00:00,419.0,53.0,1.0,0.0,31.0,130.0,2.0
2023-11-08 18:00:00,354.0,52.0,1.0,0.0,40.0,128.0,2.0
2023-11-08 19:00:00,309.0,52.0,1.0,0.0,42.0,123.0,1.0
2023-11-08 20:00:00,280.0,53.0,1.0,0.0,42.0,117.0,1.0
2023-11-08 21:00:00,265.0,54.0,1.0,0.0,48.0,114.0,1.0
2023-11-08 22:00:00,282.0,53.0,1.0,0.0,43.0,115.0,1.0
2023-11-08 23:00:00,285.0,53.0,1.0,0.0,44.0,112.0,1.0
