UTC time,nat_gas,coal,solar,hydro,biomass,nuclear,wind
2019-01-01 00:00,1463.0,1612.0,0.0,1015.0,30.0,1394.0,144.0
2019-01-01 01:00,1453.0,1536.0,0.0,963.0,30.0,1394.0,195.0
2019-01-01 02:00,1456.0,1455.0,0.0,966.0,30.0,1394.0,159.0
2019-01-01 03:00,1457.0,1459.0,0.0,949.0,30.0,1394.0,92.0
2019-01-01 04:00,1451.0,1440.0,0.0,935.0,31.0,1392.0,97.0
2019-01-01 05:00,1446.0,1392.0,0.0,1181.0,34.0,1391.0,91.0
2019-01-01 06:00,1356.0,1300.0,5.0,1331.0,34.0,1390.0,52.0
2019-01-01 07:00,1326.0,1318.0,53.0,1380.0,34.0,1390.0,18.0
2019-01-01 08:00,1330.0,1322.0,120.0,1410.0,34.0,1389.0,0.0
2019-01-01 09:00,1407.0,1318.0,180.0,1397.0,34.0,1389.0,0.0
2019-01-01 10:00,1419.0,1388.0,209.0,1390.0,34.0,1389.0,0.0
2019-01-01 11:00,1413.0,1457.0,208.0,1306.0,34.0,1389.0,15.0
2019-01-01 12:00,1408.0,1401.0,168.0,1242.0,34.0,1390.0,92.0
2019-01-01 13:00,1421.0,1324.0,87.0,1346.0,34.0,1391.0,195.0
2019-01-01 14:00,1436.0,1409.0,8.0,1327.0,34.0,1391.0,313.0
2019-01-01 15:00,1445.0,1419.0,0.0,1467.0,35.0,1392.0,505.0
2019-01-01 16:00,1442.0,1297.0,0.0,1493.0,35.0,1391.0,736.0
2019-01-01 17:00,1303.0,1301.0,0.0,1559.0,34.0,1391.0,904.0
2019-01-01 18:00,1320.0,1317.0,0.0,1572.0,34.0,1391.0,998.0
2019-01-01 19:00,1340.0,1302.0,0.0,1478.0,34.0,1391.0,1135.0
2019-01-01 20:00,1251.0,1330.0,0.0,1401.0,34.0,1391.0,1190.0
2019-01-01 21:00,1330.0,1347.0,0.0,1170.0,34.0,1391.0,1180.0
2019-01-01 22:00,1314.0,1275.0,0.0,949.0,35.0,1391.0,1463.0
2019-01-01 23:00,1042.0,1261.0,0.0,684.0,35.0,1391.0,1661.0
2019-01-02 00:00,1036.0,1257.0,0.0,660.0,35.0,1391.0,1636.0
2019-01-02 01:00,1035.0,1247.0,0.0,493.0,35.0,1391.0,1830.0
2019-01-02 02:00,1021.0,1257.0,0.0,415.0,35.0,1390.0,1748.0
2019-01-02 03:00,1083.0,1264.0,0.0,496.0,35.0,1391.0,1620.0
2019-01-02 04:00,1230.0,1272.0,0.0,564.0,35.0,1391.0,1506.0
2019-01-02 05:00,1309.0,1295.0,0.0,931.0,36.0,1391.0,1359.0
2019-01-02 06:00,1492.0,1317.0,11.0,1205.0,37.0,1391.0,1362.0
2019-01-02 07:00,1549.0,1188.0,69.0,1375.0,37.0,1392.0,1394.0
2019-01-02 08:00,1855.0,1154.0,151.0,1374.0,35.0,1392.0,1466.0
2019-01-02 09:00,1803.0,1091.0,228.0,1449.0,36.0,1392.0,1444.0
2019-01-02 10:00,1842.0,1191.0,249.0,1303.0,36.0,1392.0,1442.0
2019-01-02 11:00,1847.0,1182.0,275.0,1301.0,37.0,1392.0,1359.0
2019-01-02 12:00,1849.0,1220.0,214.0,1471.0,37.0,1391.0,1025.0
2019-01-02 13:00,1906.0,1438.0,114.0,1522.0,37.0,1391.0,696.0
2019-01-02 14:00,1959.0,1453.0,18.0,1550.0,37.0,1393.0,595.0
2019-01-02 15:00,1961.0,1447.0,0.0,1755.0,37.0,1394.0,556.0
2019-01-02 16:00,1971.0,1473.0,0.0,2001.0,37.0,1394.0,466.0
2019-01-02 17:00,1972.0,1539.0,0.0,1892.0,35.0,1394.0,393.0
2019-01-02 18:00,1972.0,1615.0,0.0,1733.0,35.0,1390.0,347.0
2019-01-02 19:00,1897.0,1625.0,0.0,1629.0,35.0,1386.0,427.0
2019-01-02 20:00,1887.0,1585.0,0.0,1601.0,36.0,1387.0,498.0
