UTC time,nat_gas,hydro,wind,biomass,unknown
2023-02-23 00:00:00,367.0,440.0,16.0,31.0,16.0
2023-02-23 01:00:00,368.0,440.0,19.0,32.0,15.0
2023-02-23 02:00:00,368.0,440.0,22.0,32.0,15.0
2023-02-23 03:00:00,365.0,440.0,27.0,32.0,15.0
2023-02-23 04:00:00,387.0,441.0,24.0,32.0,15.0
2023-02-23 05:00:00,571.0,466.0,24.0,34.0,17.0
2023-02-23 06:00:00,726.0,568.0,26.0,35.0,19.0
2023-02-23 07:00:00,813.0,583.0,27.0,35.0,19.0
2023-02-23 08:00:00,833.0,564.0,27.0,35.0,19.0
2023-02-23 09:00:00,834.0,562.0,29.0,36.0,19.0
2023-02-23 10:00:00,828.0,576.0,35.0,35.0,18.0
2023-02-23 11:00:00,774.0,483.0,38.0,35.0,20.0
2023-02-23 12:00:00,620.0,512.0,31.0,35.0,20.0
2023-02-23 13:00:00,524.0,514.0,30.0,37.0,21.0
2023-02-23 14:00:00,524.0,514.0,33.0,36.0,20.0
2023-02-23 15:00:00,525.0,514.0,26.0,36.0,20.0
2023-02-23 16:00:00,523.0,514.0,31.0,35.0,19.0
2023-02-23 17:00:00,486.0,463.0,34.0,37.0,20.0
2023-02-23 18:00:00,466.0,474.0,46.0,35.0,19.0
2023-02-23 19:00:00,459.0,412.0,41.0,35.0,18.0
2023-02-23 20:00:00,370.0,353.0,39.0,34.0,18.0
2023-02-23 21:00:00,369.0,353.0,31.0,33.0,16.0
2023-02-23 22:00:00,367.0,369.0,19.0,33.0,16.0
2023-02-23 23:00:00,368.0,338.0,9.0,31.0,15.0
