Unnamed: 0,UTC time,carbon_intensity,nat_gas,hydro,wind,biomass,unknown
41064,2023-09-08 00:00:00,409.75,151.0,28.0,5.0,14.0,11.0
41065,2023-09-08 01:00:00,462.4,154.0,0.0,8.0,14.0,11.0
41066,2023-09-08 02:00:00,314.94,171.0,105.0,8.0,14.0,11.0
41067,2023-09-08 03:00:00,301.6,178.0,122.0,10.0,16.0,11.0
41068,2023-09-08 04:00:00,319.07,289.0,162.0,13.0,20.0,11.0
41069,2023-09-08 05:00:00,348.05,354.0,141.0,18.0,23.0,12.0
41070,2023-09-08 06:00:00,308.05,355.0,222.0,16.0,24.0,13.0
41071,2023-09-08 07:00:00,337.77,309.0,137.0,20.0,24.0,14.0
41072,2023-09-08 08:00:00,399.84,302.0,50.0,24.0,23.0,16.0
41073,2023-09-08 09:00:00,399.75,302.0,51.0,24.0,21.0,16.0
41074,2023-09-08 10:00:00,398.28,268.0,46.0,24.0,19.0,17.0
41075,2023-09-08 11:00:00,387.98,251.0,52.0,23.0,19.0,16.0
41076,2023-09-08 12:00:00,389.51,251.0,53.0,21.0,18.0,16.0
41077,2023-09-08 13:00:00,433.6,256.0,21.0,13.0,20.0,14.0
41078,2023-09-08 14:00:00,470.33,256.0,0.0,6.0,20.0,11.0
41079,2023-09-08 15:00:00,438.12,254.0,25.0,3.0,20.0,10.0
41080,2023-09-08 16:00:00,304.22,253.0,175.0,2.0,18.0,10.0
41081,2023-09-08 17:00:00,215.44,267.0,406.0,1.0,18.0,9.0
41082,2023-09-08 18:00:00,283.63,257.0,215.0,0.0,18.0,9.0
41083,2023-09-08 19:00:00,392.06,256.0,69.0,0.0,17.0,10.0
41084,2023-09-08 20:00:00,390.97,252.0,69.0,0.0,15.0,9.0
41085,2023-09-08 21:00:00,406.54,249.0,54.0,0.0,14.0,8.0
41086,2023-09-08 22:00:00,479.74,172.0,0.0,0.0,15.0,9.0
41087,2023-09-08 23:00:00,478.3,169.0,0.0,0.0,16.0,9.0
