UTC time,oil,wind,biomass,geothermal,unknown,hydro,nat_gas,nuclear,solar,coal
2023-01-01 00:00:00,1224.0,131564.0,20280.0,104.0,1160.0,4911.0,6272.0,9835.0,4.0,23674.0
2023-01-01 01:00:00,1223.0,132433.0,20207.0,104.0,1160.0,4894.0,6286.0,9839.0,5.0,23578.0
2023-01-01 02:00:00,1224.0,121887.0,20230.0,104.0,1160.0,4897.0,6259.0,9842.0,4.0,23607.0
2023-01-01 03:00:00,1224.0,119604.0,20298.0,101.0,1160.0,4980.0,6202.0,9844.0,6.0,23525.0
2023-01-01 04:00:00,1224.0,120540.0,20325.0,104.0,1160.0,4911.0,6159.0,9861.0,6.0,23362.0
2023-01-01 05:00:00,1224.0,119565.0,20480.0,103.0,1162.0,4896.0,6309.0,9857.0,5.0,23338.0
2023-01-01 06:00:00,1224.0,122409.0,20728.0,104.0,1163.0,5144.0,6276.0,9857.0,5.0,23446.0
2023-01-01 07:00:00,1222.0,118144.0,20966.0,104.0,1163.0,4900.0,6255.0,9851.0,2062.0,23304.0
2023-01-01 08:00:00,1221.0,114391.0,21021.0,101.0,1163.0,4930.0,6182.0,9865.0,13495.0,23258.0
2023-01-01 09:00:00,1234.0,110244.0,21034.0,97.0,1164.0,5452.0,6124.0,9856.0,25721.0,23223.0
2023-01-01 10:00:00,1232.0,106762.0,21050.0,93.0,1162.0,5257.0,6126.0,9847.0,34119.0,23320.0
2023-01-01 11:00:00,1232.0,100736.0,20882.0,90.0,1161.0,5089.0,6055.0,9834.0,35721.0,23421.0
2023-01-01 12:00:00,1232.0,97609.0,20894.0,88.0,1162.0,5010.0,6077.0,9824.0,31354.0,24261.0
2023-01-01 13:00:00,1232.0,108057.0,20820.0,88.0,1160.0,5041.0,6123.0,9815.0,20166.0,24473.0
2023-01-01 14:00:00,1232.0,115617.0,21146.0,92.0,1160.0,4881.0,6073.0,9798.0,7244.0,24716.0
2023-01-01 15:00:00,1232.0,110207.0,21460.0,98.0,1160.0,5066.0,6500.0,9808.0,425.0,26936.0
2023-01-01 16:00:00,1232.0,105460.0,21827.0,102.0,1160.0,5023.0,6406.0,9827.0,10.0,26114.0
2023-01-01 17:00:00,1232.0,102878.0,21802.0,104.0,1161.0,4854.0,6629.0,9829.0,7.0,27855.0
2023-01-01 18:00:00,1232.0,100682.0,21657.0,104.0,1188.0,4864.0,6563.0,9835.0,5.0,27563.0
2023-01-01 19:00:00,1232.0,100612.0,21470.0,104.0,1162.0,4789.0,6687.0,9849.0,5.0,26610.0
2023-01-01 20:00:00,1232.0,102106.0,21236.0,104.0,1160.0,4707.0,6546.0,9847.0,6.0,25727.0
2023-01-01 21:00:00,1221.0,94492.0,20993.0,105.0,1162.0,4846.0,6653.0,9846.0,6.0,25709.0
2023-01-01 22:00:00,1222.0,91850.0,20759.0,108.0,1161.0,4700.0,6662.0,9842.0,6.0,25867.0
2023-01-01 23:00:00,1224.0,85933.0,20387.0,108.0,1156.0,4984.0,6855.0,9851.0,6.0,26819.0
2023-01-02 00:00:00,1224.0,83468.0,20245.0,108.0,1156.0,4815.0,6743.0,9845.0,4.0,26888.0
2023-01-02 01:00:00,1224.0,88682.0,20125.0,108.0,1156.0,4949.0,6856.0,9844.0,6.0,27119.0
2023-01-02 02:00:00,1224.0,93841.0,20227.0,109.0,1156.0,4987.0,6826.0,9842.0,5.0,27331.0
2023-01-02 03:00:00,1224.0,101372.0,20378.0,109.0,1157.0,5016.0,6917.0,9837.0,5.0,30648.0
