datetime,avg_oil_production_forecast
2023-06-23T00:00:00.000000000,89.74373
2023-06-23T01:00:00.000000000,89.68496
2023-06-23T02:00:00.000000000,90.21845
2023-06-23T03:00:00.000000000,90.55424
2023-06-23T04:00:00.000000000,90.71516
2023-06-23T05:00:00.000000000,87.07687
2023-06-23T06:00:00.000000000,87.74274
2023-06-23T07:00:00.000000000,88.32073
2023-06-23T08:00:00.000000000,85.47172
2023-06-23T09:00:00.000000000,85.74274
2023-06-23T10:00:00.000000000,86.30909
2023-06-23T11:00:00.000000000,85.41648
2023-06-23T12:00:00.000000000,85.63098
2023-06-23T13:00:00.000000000,85.74755
2023-06-23T14:00:00.000000000,85.58871
2023-06-23T15:00:00.000000000,84.31471
2023-06-23T16:00:00.000000000,85.66547
2023-06-23T17:00:00.000000000,82.84278
2023-06-23T18:00:00.000000000,83.11891
2023-06-23T19:00:00.000000000,84.54367
2023-06-23T20:00:00.000000000,82.5858
2023-06-23T21:00:00.000000000,83.42651
2023-06-23T22:00:00.000000000,84.3576
2023-06-23T23:00:00.000000000,85.56678
2023-06-24T00:00:00.000000000,88.52288
2023-06-24T01:00:00.000000000,88.4851
2023-06-24T02:00:00.000000000,89.02115
2023-06-24T03:00:00.000000000,89.36994
2023-06-24T04:00:00.000000000,89.46999
2023-06-24T05:00:00.000000000,86.02818
2023-06-24T06:00:00.000000000,86.65904
2023-06-24T07:00:00.000000000,87.129
2023-06-24T08:00:00.000000000,84.38512
2023-06-24T09:00:00.000000000,84.61352
2023-06-24T10:00:00.000000000,85.12479
2023-06-24T11:00:00.000000000,84.27962
2023-06-24T12:00:00.000000000,84.71567
2023-06-24T13:00:00.000000000,84.57569
2023-06-24T14:00:00.000000000,84.57487
2023-06-24T15:00:00.000000000,83.25301
2023-06-24T16:00:00.000000000,84.4422
2023-06-24T17:00:00.000000000,81.83763
2023-06-24T18:00:00.000000000,82.13341
2023-06-24T19:00:00.000000000,83.50624
2023-06-24T20:00:00.000000000,81.58604
2023-06-24T21:00:00.000000000,82.35201
2023-06-24T22:00:00.000000000,83.35194
2023-06-24T23:00:00.000000000,84.49249
2023-06-25T00:00:00.000000000,87.42246
2023-06-25T01:00:00.000000000,87.40487
2023-06-25T02:00:00.000000000,87.94689
2023-06-25T03:00:00.000000000,88.30825
2023-06-25T04:00:00.000000000,88.40522
2023-06-25T05:00:00.000000000,85.03522
2023-06-25T06:00:00.000000000,85.66175
2023-06-25T07:00:00.000000000,86.12874
2023-06-25T08:00:00.000000000,83.43929
2023-06-25T09:00:00.000000000,83.64587
2023-06-25T10:00:00.000000000,84.15345
2023-06-25T11:00:00.000000000,83.34725
2023-06-25T12:00:00.000000000,83.82604
2023-06-25T13:00:00.000000000,83.62719
2023-06-25T14:00:00.000000000,83.623
2023-06-25T15:00:00.000000000,82.31694
2023-06-25T16:00:00.000000000,83.47971
2023-06-25T17:00:00.000000000,80.94563
2023-06-25T18:00:00.000000000,81.25924
2023-06-25T19:00:00.000000000,82.60372
2023-06-25T20:00:00.000000000,80.71139
2023-06-25T21:00:00.000000000,81.46685
2023-06-25T22:00:00.000000000,82.45535
2023-06-25T23:00:00.000000000,83.57244
2023-06-26T00:00:00.000000000,84.82739
2023-06-26T01:00:00.000000000,84.8589
2023-06-26T02:00:00.000000000,85.41929
2023-06-26T03:00:00.000000000,85.81126
2023-06-26T04:00:00.000000000,85.96107
2023-06-26T05:00:00.000000000,82.6382
2023-06-26T06:00:00.000000000,83.28616
2023-06-26T07:00:00.000000000,83.85569
2023-06-26T08:00:00.000000000,81.2478
2023-06-26T09:00:00.000000000,81.42219
2023-06-26T10:00:00.000000000,81.97436
2023-06-26T11:00:00.000000000,81.25567
2023-06-26T12:00:00.000000000,81.65313
2023-06-26T13:00:00.000000000,81.51545
2023-06-26T14:00:00.000000000,81.3341
2023-06-26T15:00:00.000000000,80.13374
2023-06-26T16:00:00.000000000,81.37252
2023-06-26T17:00:00.000000000,78.85833
2023-06-26T18:00:00.000000000,79.21405
2023-06-26T19:00:00.000000000,80.51317
2023-06-26T20:00:00.000000000,78.67946
2023-06-26T21:00:00.000000000,79.47617
2023-06-26T22:00:00.000000000,80.35247
2023-06-26T23:00:00.000000000,81.45875
