,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,wind
0,2023-08-03 00:00:00,2023-08-13 18:54:59,3.0,477.04,968.0,1476.0,243.0
1,2023-08-03 01:00:00,2023-08-13 18:54:59,3.0,464.21,912.0,1528.0,271.0
2,2023-08-03 02:00:00,2023-08-13 18:54:59,3.0,465.3,868.0,1483.0,246.0
3,2023-08-03 03:00:00,2023-08-13 18:54:59,3.0,488.46,952.0,1403.0,189.0
4,2023-08-03 04:00:00,2023-08-13 18:54:59,3.0,485.62,915.0,1239.0,222.0
5,2023-08-03 05:00:00,2023-08-13 18:54:59,3.0,481.52,862.0,1099.0,244.0
6,2023-08-03 06:00:00,2023-08-13 18:54:59,3.0,464.29,736.0,1225.0,220.0
7,2023-08-03 07:00:00,2023-08-13 18:54:59,3.0,486.98,732.0,1084.0,150.0
8,2023-08-03 08:00:00,2023-08-13 18:54:59,3.0,479.36,656.0,1210.0,108.0
9,2023-08-03 09:00:00,2023-08-13 18:54:59,3.0,476.4,624.0,1202.0,103.0
10,2023-08-03 10:00:00,2023-08-13 18:54:59,3.0,483.04,626.0,1115.0,98.0
11,2023-08-03 11:00:00,2023-08-13 18:54:59,3.0,488.88,663.0,1146.0,89.0
12,2023-08-03 12:00:00,2023-08-13 18:54:59,3.0,496.78,728.0,1053.0,117.0
13,2023-08-03 13:00:00,2023-08-13 18:54:59,3.0,499.65,732.0,1100.0,96.0
14,2023-08-03 14:00:00,2023-08-13 18:54:59,3.0,505.94,730.0,1167.0,53.0
15,2023-08-03 15:00:00,2023-08-13 18:54:59,3.0,506.85,740.0,1317.0,14.0
16,2023-08-03 16:00:00,2023-08-13 18:54:59,3.0,501.61,771.0,1468.0,12.0
17,2023-08-03 17:00:00,2023-08-13 18:54:59,3.0,508.51,897.0,1570.0,16.0
18,2023-08-03 18:00:00,2023-08-13 18:54:59,3.0,513.37,945.0,1597.0,8.0
19,2023-08-03 19:00:00,2023-08-13 18:54:59,3.0,500.78,938.0,1618.0,63.0
20,2023-08-03 20:00:00,2023-08-13 18:54:59,3.0,489.24,933.0,1778.0,83.0
21,2023-08-03 21:00:00,2023-08-13 18:54:59,3.0,489.31,916.0,1869.0,51.0
22,2023-08-03 22:00:00,2023-08-13 18:54:59,3.0,500.4,942.0,1810.0,17.0
23,2023-08-03 23:00:00,2023-08-13 18:54:59,3.0,497.7,942.0,1853.0,21.0
