,UTC time,carbon_intensity,coal,nat_gas,wind
0,2023-08-01 00:00:00,497.88,982.0,1499.0,132.0
1,2023-08-01 01:00:00,493.23,979.0,1499.0,155.0
2,2023-08-01 02:00:00,484.1,977.0,1395.0,228.0
3,2023-08-01 03:00:00,459.02,850.0,1363.0,293.0
4,2023-08-01 04:00:00,438.62,749.0,1245.0,354.0
5,2023-08-01 05:00:00,452.91,785.0,1225.0,308.0
6,2023-08-01 06:00:00,456.79,807.0,1151.0,317.0
7,2023-08-01 07:00:00,448.84,785.0,1134.0,345.0
8,2023-08-01 08:00:00,455.39,746.0,1136.0,286.0
9,2023-08-01 09:00:00,458.31,748.0,1066.0,287.0
10,2023-08-01 10:00:00,452.09,745.0,1032.0,320.0
11,2023-08-01 11:00:00,449.49,745.0,1078.0,324.0
12,2023-08-01 12:00:00,432.18,747.0,1054.0,415.0
13,2023-08-01 13:00:00,422.58,748.0,1248.0,442.0
14,2023-08-01 14:00:00,442.49,772.0,1312.0,339.0
15,2023-08-01 15:00:00,473.53,921.0,1341.0,264.0
16,2023-08-01 16:00:00,479.41,913.0,1338.0,229.0
17,2023-08-01 17:00:00,479.69,919.0,1334.0,232.0
18,2023-08-01 18:00:00,462.96,872.0,1337.0,291.0
19,2023-08-01 19:00:00,470.92,933.0,1450.0,262.0
20,2023-08-01 20:00:00,474.28,943.0,1565.0,224.0
21,2023-08-01 21:00:00,475.0,861.0,1586.0,166.0
22,2023-08-01 22:00:00,468.2,837.0,1586.0,189.0
23,2023-08-01 23:00:00,471.34,930.0,1584.0,229.0
