UTC time,creation_time (UTC),version,coal,nat_gas,oil,wind
2023-09-09 00:00:00,2023-09-11 16:15:59,3.0,1003.0,1286.0,0.0,40.0
2023-09-09 01:00:00,2023-09-11 16:15:59,3.0,1011.0,1217.0,0.0,44.0
2023-09-09 02:00:00,2023-09-11 16:15:59,3.0,1001.0,1246.0,0.0,81.0
2023-09-09 03:00:00,2023-09-11 16:15:59,3.0,796.0,1328.0,0.0,97.0
2023-09-09 04:00:00,2023-09-11 16:15:59,3.0,756.0,1208.0,0.0,91.0
2023-09-09 05:00:00,2023-09-11 16:15:59,3.0,654.0,1226.0,0.0,77.0
2023-09-09 06:00:00,2023-09-11 16:15:59,3.0,650.0,1139.0,0.0,185.0
2023-09-09 07:00:00,2023-09-11 16:15:59,3.0,651.0,1080.0,0.0,301.0
2023-09-09 08:00:00,2023-09-11 16:15:59,3.0,652.0,1074.0,0.0,273.0
2023-09-09 09:00:00,2023-09-11 16:15:59,3.0,652.0,1160.0,0.0,244.0
2023-09-09 10:00:00,2023-09-11 16:15:59,3.0,649.0,1155.0,0.0,217.0
2023-09-09 11:00:00,2023-09-11 16:15:59,3.0,655.0,1219.0,0.0,202.0
2023-09-09 12:00:00,2023-09-11 16:15:59,3.0,774.0,1200.0,0.0,113.0
2023-09-09 13:00:00,2023-09-11 16:15:59,3.0,871.0,1136.0,0.0,46.0
2023-09-09 14:00:00,2023-09-11 16:15:59,3.0,870.0,1121.0,0.0,36.0
2023-09-09 15:00:00,2023-09-11 16:15:59,3.0,891.0,1119.0,0.0,23.0
2023-09-09 16:00:00,2023-09-11 16:15:59,3.0,963.0,1127.0,0.0,17.0
2023-09-09 17:00:00,2023-09-11 16:15:59,3.0,962.0,1176.0,0.0,11.0
2023-09-09 18:00:00,2023-09-11 16:15:59,3.0,960.0,1235.0,0.0,7.0
2023-09-09 19:00:00,2023-09-11 16:15:59,3.0,961.0,1324.0,0.0,2.0
2023-09-09 20:00:00,2023-09-11 16:15:59,3.0,961.0,1349.0,0.0,7.0
2023-09-09 21:00:00,2023-09-11 16:15:59,3.0,960.0,1400.0,7.0,11.0
2023-09-09 22:00:00,2023-09-11 16:15:59,3.0,962.0,1471.0,2.0,22.0
2023-09-09 23:00:00,2023-09-11 16:15:59,3.0,955.0,1494.0,9.0,21.0
