,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,wind
0,2023-08-18 00:00:00,2023-08-20 14:50:47,3.0,468.12,665.0,1482.0,104.0
1,2023-08-18 01:00:00,2023-08-20 14:50:47,3.0,468.09,606.0,1479.0,68.0
2,2023-08-18 02:00:00,2023-08-20 14:50:47,3.0,481.0,679.0,1490.0,50.0
3,2023-08-18 03:00:00,2023-08-20 14:50:47,3.0,482.48,658.0,1409.0,50.0
4,2023-08-18 04:00:00,2023-08-20 14:50:47,3.0,460.97,539.0,1265.0,100.0
5,2023-08-18 05:00:00,2023-08-20 14:50:47,3.0,450.35,507.0,1186.0,137.0
6,2023-08-18 06:00:00,2023-08-20 14:50:47,3.0,459.95,569.0,1223.0,132.0
7,2023-08-18 07:00:00,2023-08-20 14:50:47,3.0,455.12,515.0,1112.0,137.0
8,2023-08-18 08:00:00,2023-08-20 14:50:47,3.0,453.0,485.0,1079.0,131.0
9,2023-08-18 09:00:00,2023-08-20 14:50:47,3.0,450.09,482.0,1039.0,147.0
10,2023-08-18 10:00:00,2023-08-20 14:50:47,3.0,442.5,482.0,1000.0,182.0
11,2023-08-18 11:00:00,2023-08-20 14:50:47,3.0,420.78,484.0,971.0,273.0
12,2023-08-18 12:00:00,2023-08-20 14:50:47,3.0,380.5,442.0,973.0,414.0
13,2023-08-18 13:00:00,2023-08-20 14:50:47,3.0,362.61,453.0,1106.0,519.0
14,2023-08-18 14:00:00,2023-08-20 14:50:47,3.0,385.84,463.0,1266.0,397.0
15,2023-08-18 15:00:00,2023-08-20 14:50:47,3.0,449.08,577.0,1360.0,160.0
16,2023-08-18 16:00:00,2023-08-20 14:50:47,3.0,458.44,631.0,1348.0,155.0
17,2023-08-18 17:00:00,2023-08-20 14:50:47,3.0,452.58,601.0,1344.0,163.0
18,2023-08-18 18:00:00,2023-08-20 14:50:47,3.0,463.73,679.0,1414.0,148.0
19,2023-08-18 19:00:00,2023-08-20 14:50:47,3.0,457.87,655.0,1455.0,153.0
20,2023-08-18 20:00:00,2023-08-20 14:50:47,3.0,454.0,664.0,1446.0,180.0
21,2023-08-18 21:00:00,2023-08-20 14:50:47,3.0,445.08,689.0,1479.0,238.0
22,2023-08-18 22:00:00,2023-08-20 14:50:47,3.0,428.41,670.0,1537.0,309.0
23,2023-08-18 23:00:00,2023-08-20 14:50:47,3.0,435.38,693.0,1543.0,285.0
