UTC time,coal,nat_gas,wind
2023-06-26 00:00:00,963.0,1584.0,398.0
2023-06-26 01:00:00,959.0,1530.0,349.0
2023-06-26 02:00:00,897.0,1286.0,270.0
2023-06-26 03:00:00,846.0,1276.0,234.0
2023-06-26 04:00:00,780.0,1226.0,352.0
2023-06-26 05:00:00,761.0,1239.0,376.0
2023-06-26 06:00:00,724.0,1135.0,455.0
2023-06-26 07:00:00,574.0,1282.0,444.0
2023-06-26 08:00:00,537.0,1057.0,509.0
2023-06-26 09:00:00,437.0,1067.0,540.0
2023-06-26 10:00:00,439.0,1140.0,525.0
2023-06-26 11:00:00,639.0,1154.0,443.0
2023-06-26 12:00:00,782.0,1152.0,395.0
2023-06-26 13:00:00,804.0,1337.0,342.0
2023-06-26 14:00:00,937.0,1377.0,206.0
2023-06-26 15:00:00,883.0,1369.0,209.0
2023-06-26 16:00:00,839.0,1370.0,299.0
2023-06-26 17:00:00,790.0,1354.0,515.0
2023-06-26 18:00:00,876.0,1365.0,535.0
2023-06-26 19:00:00,904.0,1484.0,514.0
2023-06-26 20:00:00,832.0,1567.0,562.0
2023-06-26 21:00:00,948.0,1598.0,465.0
2023-06-26 22:00:00,912.0,1646.0,321.0
2023-06-26 23:00:00,926.0,1645.0,231.0
