,UTC time,carbon_intensity,coal,nat_gas,wind
0,2023-08-04 00:00:00,599.18,942.0,1846.0,11.0
1,2023-08-04 01:00:00,609.15,931.0,1542.0,21.0
2,2023-08-04 02:00:00,595.83,849.0,1522.0,50.0
3,2023-08-04 03:00:00,592.47,884.0,1492.0,83.0
4,2023-08-04 04:00:00,606.56,896.0,1324.0,62.0
5,2023-08-04 05:00:00,611.82,880.0,1198.0,62.0
6,2023-08-04 06:00:00,600.11,821.0,1158.0,90.0
7,2023-08-04 07:00:00,578.06,727.0,1231.0,119.0
8,2023-08-04 08:00:00,577.76,723.0,1182.0,126.0
9,2023-08-04 09:00:00,575.54,723.0,1129.0,142.0
10,2023-08-04 10:00:00,563.34,726.0,1072.0,195.0
11,2023-08-04 11:00:00,562.65,729.0,1094.0,196.0
12,2023-08-04 12:00:00,572.69,742.0,1241.0,144.0
13,2023-08-04 13:00:00,576.54,754.0,1324.0,122.0
14,2023-08-04 14:00:00,595.02,794.0,1345.0,64.0
15,2023-08-04 15:00:00,555.27,776.0,1313.0,220.0
16,2023-08-04 16:00:00,515.79,722.0,1333.0,367.0
17,2023-08-04 17:00:00,556.73,801.0,1410.0,214.0
18,2023-08-04 18:00:00,603.93,905.0,1503.0,41.0
19,2023-08-04 19:00:00,609.56,913.0,1597.0,2.0
20,2023-08-04 20:00:00,611.12,942.0,1580.0,9.0
21,2023-08-04 21:00:00,597.99,936.0,1647.0,51.0
22,2023-08-04 22:00:00,596.28,942.0,1647.0,61.0
23,2023-08-04 23:00:00,593.88,952.0,1685.0,69.0
