,Wind Onshore
2019-01-01 01:00:00+01:00,5236.0
2019-01-01 02:00:00+01:00,5011.0
2019-01-01 03:00:00+01:00,4934.0
2019-01-01 04:00:00+01:00,4895.0
2019-01-01 05:00:00+01:00,4895.0
2019-01-01 06:00:00+01:00,4837.0
2019-01-01 07:00:00+01:00,4901.0
2019-01-01 08:00:00+01:00,5032.0
2019-01-01 09:00:00+01:00,5075.0
2019-01-01 10:00:00+01:00,5233.0
2019-01-01 11:00:00+01:00,5468.0
2019-01-01 12:00:00+01:00,5640.0
2019-01-01 13:00:00+01:00,5755.0
2019-01-01 14:00:00+01:00,5952.0
2019-01-01 15:00:00+01:00,6057.0
2019-01-01 16:00:00+01:00,6108.0
2019-01-01 17:00:00+01:00,6171.0
2019-01-01 18:00:00+01:00,6199.0
2019-01-01 19:00:00+01:00,6229.0
2019-01-01 20:00:00+01:00,6249.0
2019-01-01 21:00:00+01:00,6243.0
2019-01-01 22:00:00+01:00,6228.0
2019-01-01 23:00:00+01:00,6200.0
2019-01-02 00:00:00+01:00,6198.0
2019-01-02 01:00:00+01:00,6145.0
2019-01-02 02:00:00+01:00,6069.0
2019-01-02 03:00:00+01:00,5984.0
2019-01-02 04:00:00+01:00,5926.0
2019-01-02 05:00:00+01:00,5863.0
2019-01-02 06:00:00+01:00,5747.0
2019-01-02 07:00:00+01:00,5624.0
2019-01-02 08:00:00+01:00,5556.0
2019-01-02 09:00:00+01:00,5355.0
2019-01-02 10:00:00+01:00,5269.0
2019-01-02 11:00:00+01:00,5076.0
2019-01-02 12:00:00+01:00,4944.0
2019-01-02 13:00:00+01:00,4822.0
2019-01-02 14:00:00+01:00,4706.0
2019-01-02 15:00:00+01:00,4587.0
2019-01-02 16:00:00+01:00,4415.0
2019-01-02 17:00:00+01:00,4171.0
2019-01-02 18:00:00+01:00,3911.0
2019-01-02 19:00:00+01:00,3580.0
2019-01-02 20:00:00+01:00,3359.0
2019-01-02 21:00:00+01:00,3094.0
2019-01-02 22:00:00+01:00,2893.0
2019-01-02 23:00:00+01:00,2612.0
2019-01-03 00:00:00+01:00,2268.0
2019-01-03 01:00:00+01:00,2042.0
2019-01-03 02:00:00+01:00,1857.0
2019-01-03 03:00:00+01:00,1735.0
2019-01-03 04:00:00+01:00,1628.0
2019-01-03 05:00:00+01:00,1599.0
2019-01-03 06:00:00+01:00,1638.0
2019-01-03 07:00:00+01:00,1706.0
2019-01-03 08:00:00+01:00,1769.0
2019-01-03 09:00:00+01:00,1922.0
2019-01-03 10:00:00+01:00,2111.0
2019-01-03 11:00:00+01:00,2291.0
2019-01-03 12:00:00+01:00,2465.0
2019-01-03 13:00:00+01:00,2573.0
2019-01-03 14:00:00+01:00,2718.0
2019-01-03 15:00:00+01:00,2885.0
2019-01-03 16:00:00+01:00,3032.0
2019-01-03 17:00:00+01:00,3118.0
2019-01-03 18:00:00+01:00,3215.0
2019-01-03 19:00:00+01:00,3257.0
2019-01-03 20:00:00+01:00,3259.0
2019-01-03 21:00:00+01:00,3340.0
2019-01-03 22:00:00+01:00,3383.0
2019-01-03 23:00:00+01:00,3346.0
2019-01-04 00:00:00+01:00,3464.0
2019-01-04 01:00:00+01:00,3466.0
2019-01-04 02:00:00+01:00,3444.0
2019-01-04 03:00:00+01:00,3409.0
2019-01-04 04:00:00+01:00,3330.0
2019-01-04 05:00:00+01:00,3208.0
2019-01-04 06:00:00+01:00,3080.0
2019-01-04 07:00:00+01:00,2954.0
2019-01-04 08:00:00+01:00,2822.0
2019-01-04 09:00:00+01:00,2722.0
2019-01-04 10:00:00+01:00,2663.0
2019-01-04 11:00:00+01:00,2634.0
2019-01-04 12:00:00+01:00,2641.0
2019-01-04 13:00:00+01:00,2644.0
2019-01-04 14:00:00+01:00,2640.0
2019-01-04 15:00:00+01:00,2658.0
2019-01-04 16:00:00+01:00,2648.0
2019-01-04 17:00:00+01:00,2582.0
2019-01-04 18:00:00+01:00,2501.0
2019-01-04 19:00:00+01:00,2021.0
2019-01-04 20:00:00+01:00,1974.0
2019-01-04 21:00:00+01:00,1937.0
2019-01-04 22:00:00+01:00,1890.0
2019-01-04 23:00:00+01:00,1828.0
2019-01-05 00:00:00+01:00,1995.0
2019-01-05 01:00:00+01:00,1949.0
2019-01-05 02:00:00+01:00,1918.0
2019-01-05 03:00:00+01:00,1889.0
2019-01-05 04:00:00+01:00,1829.0
2019-01-05 05:00:00+01:00,1735.0
2019-01-05 06:00:00+01:00,1618.0
2019-01-05 07:00:00+01:00,1460.0
2019-01-05 08:00:00+01:00,1299.0
2019-01-05 09:00:00+01:00,1156.0
2019-01-05 10:00:00+01:00,1003.0
2019-01-05 11:00:00+01:00,874.0
2019-01-05 12:00:00+01:00,793.0
2019-01-05 13:00:00+01:00,752.0
2019-01-05 14:00:00+01:00,729.0
2019-01-05 15:00:00+01:00,729.0
2019-01-05 16:00:00+01:00,726.0
2019-01-05 17:00:00+01:00,698.0
2019-01-05 18:00:00+01:00,682.0
2019-01-05 19:00:00+01:00,547.0
2019-01-05 20:00:00+01:00,519.0
2019-01-05 21:00:00+01:00,508.0
2019-01-05 22:00:00+01:00,501.0
2019-01-05 23:00:00+01:00,514.0
2019-01-06 00:00:00+01:00,1007.0
2019-01-06 01:00:00+01:00,1050.0
2019-01-06 02:00:00+01:00,1078.0
2019-01-06 03:00:00+01:00,1110.0
2019-01-06 04:00:00+01:00,1151.0
2019-01-06 05:00:00+01:00,1189.0
2019-01-06 06:00:00+01:00,1236.0
2019-01-06 07:00:00+01:00,1299.0
2019-01-06 08:00:00+01:00,1385.0
2019-01-06 09:00:00+01:00,1482.0
2019-01-06 10:00:00+01:00,1580.0
2019-01-06 11:00:00+01:00,1659.0
2019-01-06 12:00:00+01:00,1747.0
2019-01-06 13:00:00+01:00,1863.0
2019-01-06 14:00:00+01:00,1982.0
2019-01-06 15:00:00+01:00,2096.0
2019-01-06 16:00:00+01:00,2186.0
2019-01-06 17:00:00+01:00,2269.0
2019-01-06 18:00:00+01:00,2358.0
2019-01-06 19:00:00+01:00,1862.0
2019-01-06 20:00:00+01:00,1998.0
2019-01-06 21:00:00+01:00,2110.0
2019-01-06 22:00:00+01:00,2184.0
2019-01-06 23:00:00+01:00,2238.0
2019-01-07 00:00:00+01:00,2934.0
2019-01-07 01:00:00+01:00,2837.0
2019-01-07 02:00:00+01:00,2688.0
2019-01-07 03:00:00+01:00,2517.0
2019-01-07 04:00:00+01:00,2348.0
2019-01-07 05:00:00+01:00,2212.0
2019-01-07 06:00:00+01:00,2105.0
2019-01-07 07:00:00+01:00,2024.0
2019-01-07 08:00:00+01:00,1975.0
2019-01-07 09:00:00+01:00,1945.0
2019-01-07 10:00:00+01:00,1935.0
2019-01-07 11:00:00+01:00,1920.0
2019-01-07 12:00:00+01:00,1925.0
2019-01-07 13:00:00+01:00,1966.0
2019-01-07 14:00:00+01:00,2055.0
2019-01-07 15:00:00+01:00,2189.0
2019-01-07 16:00:00+01:00,2318.0
2019-01-07 17:00:00+01:00,2425.0
2019-01-07 18:00:00+01:00,2557.0
2019-01-07 19:00:00+01:00,2521.0
2019-01-07 20:00:00+01:00,2652.0
2019-01-07 21:00:00+01:00,2754.0
2019-01-07 22:00:00+01:00,2745.0
2019-01-07 23:00:00+01:00,2622.0
2019-01-08 00:00:00+01:00,2355.0
