UTC time,coal,nat_gas,nuclear,hydro,solar,other
2023-04-23 00:00:00,882.0,1288.0,0.0,112.0,89.0,0.0
2023-04-23 01:00:00,801.0,1399.0,0.0,138.0,0.0,0.0
2023-04-23 02:00:00,695.0,1346.0,0.0,185.0,0.0,0.0
2023-04-23 03:00:00,575.0,1369.0,0.0,182.0,0.0,0.0
2023-04-23 04:00:00,497.0,1301.0,0.0,115.0,0.0,0.0
2023-04-23 05:00:00,450.0,1403.0,0.0,113.0,0.0,0.0
2023-04-23 06:00:00,452.0,1390.0,0.0,62.0,0.0,0.0
2023-04-23 07:00:00,447.0,1311.0,0.0,43.0,0.0,0.0
2023-04-23 08:00:00,449.0,1284.0,0.0,43.0,0.0,1.0
2023-04-23 09:00:00,453.0,1351.0,0.0,43.0,0.0,0.0
2023-04-23 10:00:00,456.0,1394.0,0.0,41.0,0.0,0.0
2023-04-23 11:00:00,455.0,1337.0,0.0,41.0,0.0,0.0
2023-04-23 12:00:00,460.0,1188.0,0.0,64.0,196.0,0.0
2023-04-23 13:00:00,459.0,954.0,0.0,44.0,666.0,0.0
2023-04-23 14:00:00,457.0,923.0,0.0,40.0,896.0,0.0
2023-04-23 15:00:00,460.0,905.0,0.0,42.0,938.0,0.0
2023-04-23 16:00:00,459.0,991.0,0.0,41.0,954.0,0.0
2023-04-23 17:00:00,456.0,1042.0,0.0,41.0,945.0,0.0
2023-04-23 18:00:00,458.0,1078.0,0.0,43.0,963.0,0.0
2023-04-23 19:00:00,457.0,1121.0,0.0,41.0,955.0,0.0
2023-04-23 20:00:00,456.0,1135.0,0.0,40.0,948.0,0.0
2023-04-23 21:00:00,454.0,1137.0,0.0,38.0,922.0,0.0
2023-04-23 22:00:00,458.0,1200.0,0.0,53.0,859.0,0.0
2023-04-23 23:00:00,488.0,1385.0,0.0,168.0,553.0,0.0
