Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,nuclear,hydro,solar,other
40368,2023-08-10 00:00:00,2024-07-17 00:00:00,3.1,297.53,535.0,2358.0,980.0,317.0,109.0,0.0
40369,2023-08-10 01:00:00,2024-07-17 00:00:00,3.1,309.9,538.0,2375.0,981.0,261.0,0.0,0.0
40370,2023-08-10 02:00:00,2024-07-17 00:00:00,3.1,325.89,536.0,2394.0,980.0,58.0,0.0,0.0
40371,2023-08-10 03:00:00,2024-07-17 00:00:00,3.1,326.24,539.0,2120.0,982.0,19.0,0.0,0.0
40372,2023-08-10 04:00:00,2024-07-17 00:00:00,3.1,315.9,483.0,1886.0,981.0,21.0,0.0,0.0
40373,2023-08-10 05:00:00,2024-07-17 00:00:00,3.1,306.87,438.0,1727.0,981.0,21.0,0.0,0.0
40374,2023-08-10 06:00:00,2024-07-17 00:00:00,3.1,304.31,438.0,1608.0,982.0,21.0,0.0,0.0
40375,2023-08-10 07:00:00,2024-07-17 00:00:00,3.1,301.44,431.0,1523.0,983.0,19.0,0.0,0.0
40376,2023-08-10 08:00:00,2024-07-17 00:00:00,3.1,306.34,437.0,1693.0,980.0,19.0,0.0,0.0
40377,2023-08-10 09:00:00,2024-07-17 00:00:00,3.1,307.98,436.0,1793.0,982.0,19.0,0.0,0.0
40378,2023-08-10 10:00:00,2024-07-17 00:00:00,3.1,309.16,439.0,1849.0,984.0,20.0,0.0,0.0
40379,2023-08-10 11:00:00,2024-07-17 00:00:00,3.1,309.95,441.0,1867.0,982.0,19.0,1.0,0.0
40380,2023-08-10 12:00:00,2024-07-17 00:00:00,3.1,302.39,438.0,1745.0,983.0,15.0,55.0,0.0
40381,2023-08-10 13:00:00,2024-07-17 00:00:00,3.1,291.59,441.0,1776.0,983.0,20.0,183.0,0.0
40382,2023-08-10 14:00:00,2024-07-17 00:00:00,3.1,286.12,458.0,1864.0,983.0,25.0,297.0,0.0
40383,2023-08-10 15:00:00,2024-07-17 00:00:00,3.1,283.23,543.0,1831.0,981.0,25.0,469.0,0.0
40384,2023-08-10 16:00:00,2024-07-17 00:00:00,3.1,264.58,556.0,1734.0,981.0,25.0,726.0,0.0
40385,2023-08-10 17:00:00,2024-07-17 00:00:00,3.1,276.75,569.0,1960.0,980.0,25.0,649.0,0.0
40386,2023-08-10 18:00:00,2024-07-17 00:00:00,3.1,295.29,652.0,2126.0,982.0,17.0,565.0,0.0
40387,2023-08-10 19:00:00,2024-07-17 00:00:00,3.1,284.23,656.0,2127.0,981.0,15.0,744.0,0.0
40388,2023-08-10 20:00:00,2024-07-17 00:00:00,3.1,279.05,657.0,2125.0,981.0,67.0,777.0,0.0
40389,2023-08-10 21:00:00,2024-07-17 00:00:00,3.1,272.74,656.0,2109.0,982.0,157.0,785.0,0.0
40390,2023-08-10 22:00:00,2024-07-17 00:00:00,3.1,280.88,739.0,2028.0,981.0,159.0,764.0,0.0
40391,2023-08-10 23:00:00,2024-07-17 00:00:00,3.1,295.6,751.0,2122.0,982.0,213.0,519.0,0.0
