Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,nuclear,hydro,solar,wind
42888,2023-11-23 00:00:00,2024-07-17 00:00:00,3.1,0.0,3021.0,969.0,0.0,7.0
42889,2023-11-23 01:00:00,2024-07-17 00:00:00,3.1,0.0,3022.0,860.0,0.0,9.0
42890,2023-11-23 02:00:00,2024-07-17 00:00:00,3.1,0.0,3021.0,859.0,0.0,14.0
42891,2023-11-23 03:00:00,2024-07-17 00:00:00,3.1,0.0,3021.0,872.0,0.0,16.0
42892,2023-11-23 04:00:00,2024-07-17 00:00:00,3.1,0.0,3020.0,932.0,0.0,14.0
42893,2023-11-23 05:00:00,2024-07-17 00:00:00,3.1,0.0,3018.0,1331.0,0.0,14.0
42894,2023-11-23 06:00:00,2024-07-17 00:00:00,3.1,0.0,3017.0,1902.0,0.0,14.0
42895,2023-11-23 07:00:00,2024-07-17 00:00:00,3.1,0.0,3017.0,2414.0,36.0,13.0
42896,2023-11-23 08:00:00,2024-07-17 00:00:00,3.1,0.0,3019.0,2430.0,213.0,13.0
42897,2023-11-23 09:00:00,2024-07-17 00:00:00,3.1,0.0,3027.0,1474.0,722.0,10.0
42898,2023-11-23 10:00:00,2024-07-17 00:00:00,3.1,0.0,3028.0,1304.0,984.0,7.0
42899,2023-11-23 11:00:00,2024-07-17 00:00:00,3.1,0.0,3027.0,1031.0,1136.0,5.0
42900,2023-11-23 12:00:00,2024-07-17 00:00:00,3.1,0.0,3013.0,1124.0,1064.0,3.0
42901,2023-11-23 13:00:00,2024-07-17 00:00:00,3.1,0.0,3017.0,1251.0,784.0,5.0
42902,2023-11-23 14:00:00,2024-07-17 00:00:00,3.1,0.0,3013.0,1737.0,403.0,5.0
42903,2023-11-23 15:00:00,2024-07-17 00:00:00,3.1,0.0,3013.0,2121.0,65.0,8.0
42904,2023-11-23 16:00:00,2024-07-17 00:00:00,3.1,0.0,3015.0,2553.0,0.0,9.0
42905,2023-11-23 17:00:00,2024-07-17 00:00:00,3.1,0.0,3017.0,2632.0,0.0,10.0
42906,2023-11-23 18:00:00,2024-07-17 00:00:00,3.1,0.0,3017.0,2101.0,0.0,9.0
42907,2023-11-23 19:00:00,2024-07-17 00:00:00,3.1,0.0,3018.0,1851.0,0.0,16.0
42908,2023-11-23 20:00:00,2024-07-17 00:00:00,3.1,0.0,3018.0,1365.0,0.0,23.0
42909,2023-11-23 21:00:00,2024-07-17 00:00:00,3.1,0.0,3016.0,1203.0,0.0,20.0
42910,2023-11-23 22:00:00,2024-07-17 00:00:00,3.1,0.0,3017.0,888.0,0.0,28.0
42911,2023-11-23 23:00:00,2024-07-17 00:00:00,3.1,0.0,3013.0,1160.0,0.0,35.0
