Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,nuclear,hydro,solar,wind
42456,2023-11-05 00:00:00,2024-07-17 00:00:00,3.1,15.12,3008.0,1083.0,0.0,52.0
42457,2023-11-05 01:00:00,2024-07-17 00:00:00,3.1,15.16,3007.0,1101.0,0.0,52.0
42458,2023-11-05 02:00:00,2024-07-17 00:00:00,3.1,15.25,3008.0,1145.0,0.0,53.0
42459,2023-11-05 03:00:00,2024-07-17 00:00:00,3.1,15.06,3004.0,1049.0,0.0,49.0
42460,2023-11-05 04:00:00,2024-07-17 00:00:00,3.1,15.03,3001.0,1037.0,0.0,47.0
42461,2023-11-05 05:00:00,2024-07-17 00:00:00,3.1,15.08,3001.0,1058.0,0.0,49.0
42462,2023-11-05 06:00:00,2024-07-17 00:00:00,3.1,15.06,3001.0,1039.0,3.0,51.0
42463,2023-11-05 07:00:00,2024-07-17 00:00:00,3.1,15.42,3002.0,1123.0,30.0,54.0
42464,2023-11-05 08:00:00,2024-07-17 00:00:00,3.1,17.21,3005.0,1321.0,252.0,53.0
42465,2023-11-05 09:00:00,2024-07-17 00:00:00,3.1,18.16,3005.0,1372.0,405.0,50.0
42466,2023-11-05 10:00:00,2024-07-17 00:00:00,3.1,18.29,3000.0,1374.0,424.0,40.0
42467,2023-11-05 11:00:00,2024-07-17 00:00:00,3.1,18.69,2999.0,1096.0,555.0,47.0
42468,2023-11-05 12:00:00,2024-07-17 00:00:00,3.1,20.81,2998.0,1141.0,958.0,43.0
42469,2023-11-05 13:00:00,2024-07-17 00:00:00,3.1,18.77,2997.0,1204.0,548.0,48.0
42470,2023-11-05 14:00:00,2024-07-17 00:00:00,3.1,17.31,2994.0,1325.0,264.0,47.0
42471,2023-11-05 15:00:00,2024-07-17 00:00:00,3.1,16.51,2996.0,1548.0,76.0,49.0
42472,2023-11-05 16:00:00,2024-07-17 00:00:00,3.1,16.16,2997.0,1612.0,2.0,48.0
42473,2023-11-05 17:00:00,2024-07-17 00:00:00,3.1,16.16,2998.0,1622.0,0.0,47.0
42474,2023-11-05 18:00:00,2024-07-17 00:00:00,3.1,16.34,3001.0,1731.0,0.0,46.0
42475,2023-11-05 19:00:00,2024-07-17 00:00:00,3.1,15.59,3002.0,1307.0,0.0,48.0
42476,2023-11-05 20:00:00,2024-07-17 00:00:00,3.1,15.34,3004.0,1185.0,0.0,49.0
42477,2023-11-05 21:00:00,2024-07-17 00:00:00,3.1,15.28,3007.0,1152.0,0.0,45.0
42478,2023-11-05 22:00:00,2024-07-17 00:00:00,3.1,15.21,3008.0,1120.0,0.0,47.0
42479,2023-11-05 23:00:00,2024-07-17 00:00:00,3.1,14.78,3007.0,924.0,0.0,45.0
