datetime,avg_solar_production_forecast
2023-06-27T00:00:00.000000000,11036.26009
2023-06-27T01:00:00.000000000,6677.43993
2023-06-27T02:00:00.000000000,1746.83
2023-06-27T03:00:00.000000000,6.09
2023-06-27T04:00:00.000000000,0.0
2023-06-27T05:00:00.000000000,0.0
2023-06-27T06:00:00.000000000,0.0
2023-06-27T07:00:00.000000000,0.0
2023-06-27T08:00:00.000000000,0.0
2023-06-27T09:00:00.000000000,0.0
2023-06-27T10:00:00.000000000,0.0
2023-06-27T11:00:00.000000000,0.0
2023-06-27T12:00:00.000000000,45.7
2023-06-27T13:00:00.000000000,2600.85012
2023-06-27T14:00:00.000000000,8045.61006
2023-06-27T15:00:00.000000000,11741.30029
2023-06-27T16:00:00.000000000,13072.48054
2023-06-27T17:00:00.000000000,13704.6098
2023-06-27T18:00:00.000000000,14054.6998
2023-06-27T19:00:00.000000000,14132.87985
2023-06-27T20:00:00.000000000,14080.09006
2023-06-27T21:00:00.000000000,13935.28018
2023-06-27T22:00:00.000000000,13549.2799
2023-06-27T23:00:00.000000000,12807.8501
2023-06-28T00:00:00.000000000,5759.15121
2023-06-28T01:00:00.000000000,4349.06228
2023-06-28T02:00:00.000000000,2356.14647
2023-06-28T03:00:00.000000000,992.21886
2023-06-28T04:00:00.000000000,0.0
2023-06-28T05:00:00.000000000,0.0
2023-06-28T06:00:00.000000000,0.0
2023-06-28T07:00:00.000000000,0.0
2023-06-28T08:00:00.000000000,0.0
2023-06-28T09:00:00.000000000,0.0
2023-06-28T10:00:00.000000000,45.555
2023-06-28T11:00:00.000000000,226.93721
2023-06-28T12:00:00.000000000,86.64883
2023-06-28T13:00:00.000000000,102.52006
2023-06-28T14:00:00.000000000,877.75882
2023-06-28T15:00:00.000000000,2402.77227
2023-06-28T16:00:00.000000000,4052.11843
2023-06-28T17:00:00.000000000,4888.43373
2023-06-28T18:00:00.000000000,4796.42272
2023-06-28T19:00:00.000000000,3990.82443
2023-06-28T20:00:00.000000000,3687.97712
2023-06-28T21:00:00.000000000,4242.41729
2023-06-28T22:00:00.000000000,5322.29942
2023-06-28T23:00:00.000000000,6057.64404
2023-06-29T00:00:00.000000000,3377.25002
2023-06-29T01:00:00.000000000,2645.31743
2023-06-29T02:00:00.000000000,1533.32521
2023-06-29T03:00:00.000000000,746.87765
2023-06-29T04:00:00.000000000,87.29049
2023-06-29T05:00:00.000000000,0.0
2023-06-29T06:00:00.000000000,0.0
2023-06-29T07:00:00.000000000,0.0
2023-06-29T08:00:00.000000000,0.0
2023-06-29T09:00:00.000000000,0.0
2023-06-29T10:00:00.000000000,49.55966
2023-06-29T11:00:00.000000000,45.00027
2023-06-29T12:00:00.000000000,0.0
2023-06-29T13:00:00.000000000,0.0
2023-06-29T14:00:00.000000000,87.74651
2023-06-29T15:00:00.000000000,804.00814
2023-06-29T16:00:00.000000000,1613.20815
2023-06-29T17:00:00.000000000,2021.47772
2023-06-29T18:00:00.000000000,2050.1437
2023-06-29T19:00:00.000000000,1788.00611
2023-06-29T20:00:00.000000000,1804.22215
2023-06-29T21:00:00.000000000,2265.87484
2023-06-29T22:00:00.000000000,2975.69858
2023-06-29T23:00:00.000000000,3460.67645
2023-06-30T00:00:00.000000000,2128.27916
2023-06-30T01:00:00.000000000,1698.75899
2023-06-30T02:00:00.000000000,1042.79308
2023-06-30T03:00:00.000000000,574.20113
2023-06-30T04:00:00.000000000,131.13196
2023-06-30T05:00:00.000000000,7.16806
2023-06-30T06:00:00.000000000,0.0
2023-06-30T07:00:00.000000000,0.0
2023-06-30T08:00:00.000000000,1.76516
2023-06-30T09:00:00.000000000,0.0
2023-06-30T10:00:00.000000000,30.22513
2023-06-30T11:00:00.000000000,21.0349
2023-06-30T12:00:00.000000000,0.0
2023-06-30T13:00:00.000000000,0.0
2023-06-30T14:00:00.000000000,68.27565
2023-06-30T15:00:00.000000000,475.51712
2023-06-30T16:00:00.000000000,931.40531
2023-06-30T17:00:00.000000000,1183.94716
2023-06-30T18:00:00.000000000,1278.89661
2023-06-30T19:00:00.000000000,1229.02263
2023-06-30T20:00:00.000000000,1313.90718
2023-06-30T21:00:00.000000000,1600.33725
2023-06-30T22:00:00.000000000,1976.00904
2023-06-30T23:00:00.000000000,2207.74042
