datetime,avg_other_production_forecast
2023-06-27T00:00:00.000000000,2427.06072
2023-06-27T01:00:00.000000000,2456.30761
2023-06-27T02:00:00.000000000,2543.52132
2023-06-27T03:00:00.000000000,2510.0614
2023-06-27T04:00:00.000000000,2529.46343
2023-06-27T05:00:00.000000000,2556.71743
2023-06-27T06:00:00.000000000,2580.80549
2023-06-27T07:00:00.000000000,2637.27633
2023-06-27T08:00:00.000000000,2613.71487
2023-06-27T09:00:00.000000000,2580.29687
2023-06-27T10:00:00.000000000,2507.17092
2023-06-27T11:00:00.000000000,2390.78803
2023-06-27T12:00:00.000000000,2232.66849
2023-06-27T13:00:00.000000000,1995.97089
2023-06-27T14:00:00.000000000,1648.14514
2023-06-27T15:00:00.000000000,1284.08905
2023-06-27T16:00:00.000000000,1013.02782
2023-06-27T17:00:00.000000000,847.17614
2023-06-27T18:00:00.000000000,778.81393
2023-06-27T19:00:00.000000000,824.90746
2023-06-27T20:00:00.000000000,999.77792
2023-06-27T21:00:00.000000000,1242.68748
2023-06-27T22:00:00.000000000,1504.87942
2023-06-27T23:00:00.000000000,1747.69929
2023-06-28T00:00:00.000000000,1569.50198
2023-06-28T01:00:00.000000000,1735.25238
2023-06-28T02:00:00.000000000,1896.98099
2023-06-28T03:00:00.000000000,2062.87144
2023-06-28T04:00:00.000000000,2142.17884
2023-06-28T05:00:00.000000000,2234.12959
2023-06-28T06:00:00.000000000,2303.9759
2023-06-28T07:00:00.000000000,2325.30944
2023-06-28T08:00:00.000000000,2292.66808
2023-06-28T09:00:00.000000000,2170.93308
2023-06-28T10:00:00.000000000,1966.58079
2023-06-28T11:00:00.000000000,1840.43466
2023-06-28T12:00:00.000000000,1615.76458
2023-06-28T13:00:00.000000000,1444.31139
2023-06-28T14:00:00.000000000,1238.31716
2023-06-28T15:00:00.000000000,1053.22695
2023-06-28T16:00:00.000000000,887.83399
2023-06-28T17:00:00.000000000,803.19079
2023-06-28T18:00:00.000000000,791.58267
2023-06-28T19:00:00.000000000,798.5274
2023-06-28T20:00:00.000000000,857.19444
2023-06-28T21:00:00.000000000,978.13128
2023-06-28T22:00:00.000000000,1087.88913
2023-06-28T23:00:00.000000000,1151.88083
2023-06-29T00:00:00.000000000,1223.93948
2023-06-29T01:00:00.000000000,1366.24278
2023-06-29T02:00:00.000000000,1507.44391
2023-06-29T03:00:00.000000000,1652.72377
2023-06-29T04:00:00.000000000,1727.60075
2023-06-29T05:00:00.000000000,1813.27044
2023-06-29T06:00:00.000000000,1881.62152
2023-06-29T07:00:00.000000000,1907.54333
2023-06-29T08:00:00.000000000,1886.86754
2023-06-29T09:00:00.000000000,1790.14155
2023-06-29T10:00:00.000000000,1625.39057
2023-06-29T11:00:00.000000000,1524.20763
2023-06-29T12:00:00.000000000,1338.06199
2023-06-29T13:00:00.000000000,1192.02747
2023-06-29T14:00:00.000000000,1016.74327
2023-06-29T15:00:00.000000000,855.71191
2023-06-29T16:00:00.000000000,710.76241
2023-06-29T17:00:00.000000000,632.26486
2023-06-29T18:00:00.000000000,612.61348
2023-06-29T19:00:00.000000000,614.17211
2023-06-29T20:00:00.000000000,660.6803
2023-06-29T21:00:00.000000000,755.70586
2023-06-29T22:00:00.000000000,841.60023
2023-06-29T23:00:00.000000000,894.60455
2023-06-30T00:00:00.000000000,993.77344
2023-06-30T01:00:00.000000000,1109.26264
2023-06-30T02:00:00.000000000,1223.96387
2023-06-30T03:00:00.000000000,1341.97777
2023-06-30T04:00:00.000000000,1402.31885
2023-06-30T05:00:00.000000000,1471.43666
2023-06-30T06:00:00.000000000,1526.30468
2023-06-30T07:00:00.000000000,1547.07683
2023-06-30T08:00:00.000000000,1530.27453
2023-06-30T09:00:00.000000000,1451.89402
2023-06-30T10:00:00.000000000,1318.39972
2023-06-30T11:00:00.000000000,1236.49314
2023-06-30T12:00:00.000000000,1085.48314
2023-06-30T13:00:00.000000000,967.66837
2023-06-30T14:00:00.000000000,825.91124
2023-06-30T15:00:00.000000000,695.43716
2023-06-30T16:00:00.000000000,578.61536
2023-06-30T17:00:00.000000000,515.52078
2023-06-30T18:00:00.000000000,500.17591
2023-06-30T19:00:00.000000000,502.60073
2023-06-30T20:00:00.000000000,541.09456
2023-06-30T21:00:00.000000000,618.47816
2023-06-30T22:00:00.000000000,688.07601
2023-06-30T23:00:00.000000000,731.54393
