UTC time,creation_time (UTC),version,coal,nat_gas,nuclear,oil,hydro,solar,wind,other
2023-08-11 00:00:00,2023-08-13 18:27:37,3.0,21155.0,57591.0,31347.0,433.0,3725.0,100.0,1763.0,2232.0
2023-08-11 01:00:00,2023-08-13 18:27:37,3.0,21301.0,56287.0,31374.0,425.0,1045.0,88.0,1962.0,2154.0
2023-08-11 02:00:00,2023-08-13 18:27:37,3.0,20537.0,52836.0,31386.0,299.0,815.0,83.0,2320.0,1456.0
2023-08-11 03:00:00,2023-08-13 18:27:37,3.0,19184.0,48942.0,31401.0,203.0,794.0,83.0,2864.0,1220.0
2023-08-11 04:00:00,2023-08-13 18:27:37,3.0,16126.0,46630.0,32643.0,612.0,611.0,4.0,775.0,997.0
2023-08-11 05:00:00,2023-08-13 18:27:37,3.0,16126.0,46630.0,32643.0,612.0,611.0,4.0,775.0,997.0
2023-08-11 06:00:00,2023-08-13 18:27:37,3.0,16126.0,46630.0,32643.0,612.0,611.0,4.0,775.0,997.0
2023-08-11 07:00:00,2023-08-13 18:27:37,3.0,16126.0,46630.0,32643.0,612.0,611.0,4.0,775.0,997.0
2023-08-11 08:00:00,2023-08-13 18:27:37,3.0,16126.0,46630.0,32643.0,612.0,611.0,4.0,775.0,997.0
2023-08-11 09:00:00,2023-08-13 18:27:37,3.0,16126.0,46630.0,32643.0,612.0,611.0,4.0,775.0,997.0
2023-08-11 10:00:00,2023-08-13 18:27:37,3.0,16126.0,46630.0,32643.0,612.0,611.0,4.0,775.0,997.0
2023-08-11 11:00:00,2023-08-13 18:27:37,3.0,16126.0,46630.0,32643.0,612.0,611.0,4.0,775.0,997.0
2023-08-11 12:00:00,2023-08-13 18:27:37,3.0,16126.0,46630.0,32643.0,612.0,611.0,4.0,775.0,997.0
2023-08-11 13:00:00,2023-08-13 18:27:37,3.0,16126.0,46630.0,32643.0,612.0,611.0,4.0,775.0,997.0
2023-08-11 14:00:00,2023-08-13 18:27:37,3.0,16126.0,46630.0,32643.0,612.0,611.0,4.0,775.0,997.0
2023-08-11 15:00:00,2023-08-13 18:27:37,3.0,16126.0,46630.0,32643.0,612.0,611.0,4.0,775.0,997.0
2023-08-11 16:00:00,2023-08-13 18:27:37,3.0,16126.0,46630.0,32643.0,612.0,611.0,4.0,775.0,997.0
2023-08-11 17:00:00,2023-08-13 18:27:37,3.0,16126.0,46630.0,32643.0,612.0,611.0,4.0,775.0,997.0
2023-08-11 18:00:00,2023-08-13 18:27:37,3.0,16126.0,46630.0,32643.0,612.0,611.0,4.0,775.0,997.0
2023-08-11 19:00:00,2023-08-13 18:27:37,3.0,16126.0,46630.0,32643.0,612.0,611.0,4.0,775.0,997.0
2023-08-11 20:00:00,2023-08-13 18:27:37,3.0,16126.0,46630.0,32643.0,612.0,611.0,4.0,775.0,997.0
2023-08-11 21:00:00,2023-08-13 18:27:37,3.0,16126.0,46630.0,32643.0,612.0,611.0,4.0,775.0,997.0
2023-08-11 22:00:00,2023-08-13 18:27:37,3.0,16126.0,46630.0,32643.0,612.0,611.0,4.0,775.0,997.0
2023-08-11 23:00:00,2023-08-13 18:27:37,3.0,16126.0,46630.0,32643.0,612.0,611.0,4.0,775.0,997.0
